condition,group,increment/A/RAC1P,increment/A/SEX,increment/AB/RAC1P,increment/AB/SEX,residence_gain_vs_H,source_allowance_all_anchors,weight
E_J_rand_k1,Controls: marginal / PCA / random,-0.0013810122129439921,0.0048735535261594425,-0.002354791468951826,0.005614110726423445,0.02044541774402538,True,person_weighted
E_J_rand_k2,Controls: marginal / PCA / random,0.002824479681524883,-0.009883143176022643,-0.0001489398454546098,0.00034467403719762313,0.019040206536149146,True,person_weighted
E_J_rand_k4,Controls: marginal / PCA / random,0.0,-0.00012345186604456604,0.0,0.003577806234387082,0.014152655908280817,True,person_weighted
E_J_rand_k6,Controls: marginal / PCA / random,7.423966807936407e-05,0.0019578762833050898,0.00016818629307195168,0.00206447109766672,0.01607912785437876,True,person_weighted
E_J_rand_k8,Controls: marginal / PCA / random,-0.0016890747863653004,0.0017233237757685593,0.0025271988849168516,0.0010886105250754359,0.013536648572930096,True,person_weighted
E_J_L_full,Track E local L / LX,-0.0010353871797423124,0.0,0.0003315966760125318,0.002675063365976745,-0.0008491667265306072,True,person_weighted
E_J_C_full,Track E coalition C,-0.0010353871797423124,0.0,0.0003315966760125318,0.002675063365976745,-0.0008491667265306072,True,person_weighted
E_J_LX_full,Track E local L / LX,-0.0010353871797423124,0.0,0.0003315966760125318,0.002675063365976745,-0.0008491667265306072,True,person_weighted
leace_J,References,-0.001502750402696984,0.0,0.0,0.0,0.011926454392953126,True,person_weighted
splince_J,References,-0.0023516815205855135,-0.0003633338304071347,-0.0009461948085281632,0.00028813140420724803,0.005966961848896483,True,person_weighted
