seed,condition,view,target,split,log_loss
2,F_Iplus,A,civilian_at_work,source_validation_person_weighted,0.3112060057794714
2,F_Iplus,A,civilian_at_work,development_evaluation,0.3038676454052798
2,F_Iplus,A,civilian_at_work,development_evaluation_person_weighted,0.2948624844576629
2,F_Iplus,B,public_coverage,source_validation,0.5431968748913483
2,F_Iplus,B,public_coverage,source_validation_person_weighted,0.5679622337727016
2,F_Iplus,B,public_coverage,development_evaluation,0.5421196006497753
2,F_Iplus,B,public_coverage,development_evaluation_person_weighted,0.5573466552074852
2,F_J,A,income_binary,source_validation,0.31251760843070764
2,F_J,A,income_binary,source_validation_person_weighted,0.3037058094899537
2,F_J,A,income_binary,development_evaluation,0.3047709950830474
2,F_J,A,income_binary,development_evaluation_person_weighted,0.32351777170829465
2,F_J,A,civilian_at_work,source_validation,0.3059024268215101
2,F_J,A,civilian_at_work,source_validation_person_weighted,0.31265038220550423
2,F_J,A,civilian_at_work,development_evaluation,0.3050674398738223
2,F_J,A,civilian_at_work,development_evaluation_person_weighted,0.29625673125586927
2,F_J,B,public_coverage,source_validation,0.5438327568577527
2,F_J,B,public_coverage,source_validation_person_weighted,0.5683330864814425
2,F_J,B,public_coverage,development_evaluation,0.5443202343981312
2,F_J,B,public_coverage,development_evaluation_person_weighted,0.5596155426551459
2,P_I,A,income_binary,source_validation,0.31354660525963407
2,P_I,A,income_binary,source_validation_person_weighted,0.3031674306544162
2,P_I,A,income_binary,development_evaluation,0.30486783527104466
2,P_I,A,income_binary,development_evaluation_person_weighted,0.3230673953711338
2,P_I,A,civilian_at_work,source_validation,0.3038303240027295
2,P_I,A,civilian_at_work,source_validation_person_weighted,0.31168555606314235
2,P_I,A,civilian_at_work,development_evaluation,0.30502286358040065
2,P_I,A,civilian_at_work,development_evaluation_person_weighted,0.2958966900084275
2,P_I,B,public_coverage,source_validation,0.5418019209364978
2,P_I,B,public_coverage,source_validation_person_weighted,0.5641274548113723
2,P_I,B,public_coverage,development_evaluation,0.5417474332267591
2,P_I,B,public_coverage,development_evaluation_person_weighted,0.55935393090615
2,P_Iplus,A,income_binary,source_validation,0.31385627100630553
2,P_Iplus,A,income_binary,source_validation_person_weighted,0.30342962748464214
2,P_Iplus,A,income_binary,development_evaluation,0.3051954896027455
2,P_Iplus,A,income_binary,development_evaluation_person_weighted,0.3232581165635339
2,P_Iplus,A,civilian_at_work,source_validation,0.30374663649332556
2,P_Iplus,A,civilian_at_work,source_validation_person_weighted,0.3112099064181629
2,P_Iplus,A,civilian_at_work,development_evaluation,0.30491828596636916
2,P_Iplus,A,civilian_at_work,development_evaluation_person_weighted,0.29656744361994314
2,P_Iplus,B,public_coverage,source_validation,0.5433418577607497
2,P_Iplus,B,public_coverage,source_validation_person_weighted,0.5668490329642937
2,P_Iplus,B,public_coverage,development_evaluation,0.5428823227816645
2,P_Iplus,B,public_coverage,development_evaluation_person_weighted,0.5595406546301062
2,P_J,A,income_binary,source_validation,0.31394404450487423
2,P_J,A,income_binary,source_validation_person_weighted,0.30307507695101654
2,P_J,A,income_binary,development_evaluation,0.3053088245997258
2,P_J,A,income_binary,development_evaluation_person_weighted,0.32417940841802106
2,P_J,A,civilian_at_work,source_validation,0.30481734321683224
2,P_J,A,civilian_at_work,source_validation_person_weighted,0.3121995149307373
2,P_J,A,civilian_at_work,development_evaluation,0.305766169709733
2,P_J,A,civilian_at_work,development_evaluation_person_weighted,0.2967282284875723
2,P_J,B,public_coverage,source_validation,0.5437303549199076
2,P_J,B,public_coverage,source_validation_person_weighted,0.5667513091897287
2,P_J,B,public_coverage,development_evaluation,0.5423028651400665
2,P_J,B,public_coverage,development_evaluation_person_weighted,0.5598902555670399
