seed,diagnostic_path,group,source_record,interface,condition,coefficients,losses,state_unchanged,rng_unchanged,source_raw_l2,individual_raw_l2,extra_local_raw_l2,coalition_raw_l2,source_individual_raw_dot,source_individual_raw_cosine,source_coalition_raw_dot,source_coalition_raw_cosine,source_extra_local_raw_dot,source_extra_local_raw_cosine,individual_extra_local_raw_dot,individual_extra_local_raw_cosine,extra_local_coalition_raw_dot,extra_local_coalition_raw_cosine,individual_coalition_raw_dot,individual_coalition_raw_cosine,source_applied_l2,individual_applied_l2,extra_local_applied_l2,coalition_applied_l2,source_individual_applied_dot,source_individual_applied_cosine,source_coalition_applied_dot,source_coalition_applied_cosine,source_extra_local_applied_dot,source_extra_local_applied_cosine,individual_extra_local_applied_dot,individual_extra_local_applied_cosine,extra_local_coalition_applied_dot,extra_local_coalition_applied_cosine,individual_coalition_applied_dot,individual_coalition_applied_cosine,combined_protection_l2,objective_l2
0,diagnostics/W/F,A_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.368158221244812,""extra_local"":2.788909673690796,""coalition"":1.3918163776397705}",True,True,0.10149084776639938,0.028007565066218376,0.0669783353805542,0.04234319180250168,-0.0001722438319120556,-0.06059564949943095,0.00015345524298027158,0.03570847138332676,0.00033167903893627226,0.048792918562388564,0.0011625443585217,0.6197261608308684,-0.000437797571066767,-0.1543673348779484,-0.00025116343749687076,-0.2117861097487843,0.10149084776639938,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.10149084776639938
0,diagnostics/W/F,B_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.368158221244812,""extra_local"":2.788909673690796,""coalition"":1.3918163776397705}",True,True,0.17017880082130432,0.027011407539248466,0.06018573045730591,0.0376555435359478,-1.644992153160274e-05,-0.0035785835080474585,-0.0001548753643874079,-0.024168403408009322,0.0002876064390875399,0.028080162077378547,0.0010114547330886126,0.6221651770694016,8.55041726026684e-05,0.037728092850497934,-0.0001228758628712967,-0.12080653956023162,0.17017880082130432,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.17017880082130432
0,diagnostics/W/F,A_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.368158221244812,""extra_local"":2.788909673690796,""coalition"":1.3918163776397705}",True,True,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0360996387898922
0,diagnostics/W/F,B_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.368158221244812,""extra_local"":2.788909673690796,""coalition"":1.3918163776397705}",True,True,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03671559318900108
0,diagnostics/W/F,all_mappers,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.368158221244812,""extra_local"":2.788909673690796,""coalition"":1.3918163776397705}",True,True,0.19814445078372955,0.03891066089272499,0.09004674851894379,0.05666467547416687,-0.00018869375344365835,-0.02447411532191686,-1.420121407136321e-06,-0.00012648270768951335,0.0006192855071276426,0.03470890933099842,0.0021739990916103125,0.6204727536349752,-0.00035229339846409857,-0.06904370108846308,-0.00037403928581625223,-0.1696431023153733,0.19814445078372955,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.19814445078372955
0,diagnostics/W/P,A_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.3458921909332275,""extra_local"":2.7366716861724854,""coalition"":1.3710212707519531}",True,True,0.10149084776639938,0.010589852929115295,0.0056137205101549625,0.012394334189593792,3.340091643622145e-05,0.03107717790464575,-0.0001671097707003355,-0.13284700296681498,2.3233085812535137e-05,0.040778310613258074,4.504382377490401e-05,0.7576951988642668,3.3245934901060537e-05,0.4778202614648507,9.956814756151289e-05,0.75859032015124,0.10149084776639938,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.10149084776639938
0,diagnostics/W/P,B_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.3458921909332275,""extra_local"":2.7366716861724854,""coalition"":1.3710212707519531}",True,True,0.17017880082130432,0.011681310832500458,0.014767060056328773,0.004979533609002829,0.0002992874360643327,0.15055370455719333,4.993473339709453e-05,0.05892622348052008,0.0006342153646983206,0.2523697276335367,0.00013746839249506593,0.7969245992264657,-3.528768866090104e-05,-0.4798886782493184,-1.236554999195505e-05,-0.21258527988216272,0.17017880082130432,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.17017880082130432
0,diagnostics/W/P,A_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.3458921909332275,""extra_local"":2.7366716861724854,""coalition"":1.3710212707519531}",True,True,0.0360996387898922,0.006316294427961111,0.002770450199022889,0.006732484791427851,3.280986493336968e-05,0.14389285186463477,-9.341969416709617e-05,-0.38437948781860415,2.260192559333518e-05,0.22599156864386546,1.616368899703957e-05,0.9236932539799914,1.3502442016033456e-05,0.7239133607158956,3.536888107191771e-05,0.831732311874159,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0360996387898922
0,diagnostics/W/P,B_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.3458921909332275,""extra_local"":2.7366716861724854,""coalition"":1.3710212707519531}",True,True,0.03671559318900108,0.003379685338586569,0.0045770383439958096,0.0009694356704130769,5.568242340814322e-05,0.44873641236340117,-1.9506596800056286e-06,-0.054803962749947734,8.240561874117702e-05,0.4903675518078999,1.3204495189711452e-05,0.8536129287626908,-3.068226305913413e-06,-0.6914867182710067,-1.058745965565322e-06,-0.32314430404121014,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03671559318900108
0,diagnostics/W/P,all_mappers,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.34904277324676514,""individual"":1.3458921909332275,""extra_local"":2.7366716861724854,""coalition"":1.3710212707519531}",True,True,0.19814445078372955,0.015766993165016174,0.01579809933900833,0.013357218354940414,0.0003326883015688509,0.10648948739971391,-0.00011717503366526216,-0.04427281609425888,0.0006574484286829829,0.2100269073151735,0.00018251221626996994,0.7327202920489941,-2.041758307314012e-06,-0.009675723860019508,8.720260666450486e-05,0.4140612245057878,0.19814445078372955,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.19814445078372955
