comparison,left,right,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,causal_replacement,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,validation_person_weighted,False,3,3,True,-0.00014326811532128225,0.007110613947658168,-0.00014326811532128225,0.007110613947658168,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,civilian_at_work,,utility,primary,,validation_person_weighted,False,3,3,True,-0.00018603924298761973,0.007333766271125575,-0.00018603924298761973,0.007333766271125575,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.010723752616571694,0.0031113690721659647,-0.010723752616571694,0.0031113690721659647,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.009183625199717013,0.002346663549893841,-0.009183625199717013,0.002346663549893841,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.010315542010021087,0.0025455744748778303,-0.010315542010021087,0.0025455744748778303,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.0009879044755672917,0.0037105599274730163,-0.0009879044755672917,0.0037105599274730163,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.0005945730696538069,0.003413524495285596,-0.0005945730696538069,0.003413524495285596,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.0001647200236437607,0.003669147261013908,-0.0001647200236437607,0.003669147261013908,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,B,public_coverage,,utility,primary,,validation,False,3,3,True,0.00814244686196434,0.006103520392341675,0.00814244686196434,0.006103520392341675,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,validation,False,3,3,True,0.0058721309751563755,0.007131591960142656,0.0058721309751563755,0.007131591960142656,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,public_coverage,,utility,primary,,validation,False,3,3,True,0.00707329915947702,0.0028787826675106183,0.00707329915947702,0.0028787826675106183,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,public_coverage,,utility,primary,,validation,False,3,3,True,0.008296107356191093,0.0037308897611577725,0.008296107356191093,0.0037308897611577725,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,validation,False,3,3,True,0.00948048806711919,0.003373237075557936,0.00948048806711919,0.003373237075557936,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,public_coverage,,utility,primary,,validation,False,3,3,True,0.009168838158444548,0.0035238552508134197,0.009168838158444548,0.0035238552508134197,3,True,False,
