seed,condition,view,target,audit_budget,left_scope,right_scope,split,signed_gain_left_minus_right,left_candidate,right_candidate
0,F_T,AB,SEX,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_independent,standard_independent,validation,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_independent,standard_independent,development_evaluation,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_independent,standard_independent,validation_person_weighted,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_catchup,expanded_independent,validation,0.0016020664164406728,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_catchup,expanded_independent,development_evaluation,0.0023767162350856186,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_catchup,expanded_independent,validation_person_weighted,-0.00021633337245385853,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.003472706003490922,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_independent,standard_independent,validation,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_independent,standard_independent,development_evaluation,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_independent,standard_independent,validation_person_weighted,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,inherited_A__wire__mlp_0,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_catchup,expanded_independent,validation,0.0016020664164406728,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_catchup,expanded_independent,development_evaluation,0.0023767162350856186,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_catchup,expanded_independent,validation_person_weighted,-0.00021633337245385853,inherited_A__catchup,inherited_A__wire__mlp_0
0,F_T,AB,RAC1P,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.003472706003490922,inherited_A__catchup,inherited_A__wire__mlp_0
0,P_T,A,public_coverage,120,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_catchup,expanded_independent,validation,0.0005587565304643327,catchup,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_catchup,expanded_independent,development_evaluation,0.0004771640871293892,catchup,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_catchup,expanded_independent,validation_person_weighted,-0.00017466345911487657,catchup,wire__mlp_0
0,P_T,A,public_coverage,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0003129462834846608,catchup,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_catchup,expanded_independent,validation,0.0005587565304643327,catchup,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_catchup,expanded_independent,development_evaluation,0.0004771640871293892,catchup,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_catchup,expanded_independent,validation_person_weighted,-0.00017466345911487657,catchup,wire__mlp_0
0,P_T,A,public_coverage,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0003129462834846608,catchup,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_catchup,expanded_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_catchup,expanded_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_catchup,expanded_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_catchup,expanded_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_catchup,expanded_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_catchup,expanded_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,P_T,A,commute_over20,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
