seed,condition,interface,family,beta,reused,training_record,training_record_sha256,loaded_base_epochs,loaded_observer_warmup_epochs,new_source_epochs,new_observer_passes,final_inherited_source_exposure_per_row,final_observer_exposure_per_row,forward_parameters,counts,source_valid_label_exposures,observer_valid_label_exposures,selected_epoch,new_warmup_epochs,new_continuation_optimizer_steps,new_observer_optimizer_steps
1,P_Iplus_b0p05,P,Iplus,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_Iplus_b0p05/training.json,c6985ca19c2cf8da581c7063546a8dd4e8bcbba4f915d9686b88fd18d26b9c32,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,P_J_b0p05,P,J,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_J_b0p05/training.json,92b83eedecc1342ffd0380fd0501117b7c076d38d94d98923ab96c861669c358,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,P_Iplus_b0p1,P,Iplus,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,0,0
1,P_J_b0p1,P,J,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,0,0
1,P_Iplus_b0p2,P,Iplus,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_Iplus_b0p2/training.json,32b9522e0b7ae7c781de57a65aa616e7eb52c5cf1b394578de8260213cf212bd,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,P_J_b0p2,P,J,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_J_b0p2/training.json,f53a1ba01726f00e5d9a4fa841408322dde2e48c5a9edc98ca17936ec46671b9,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
2,F_I,F,I,0.0,True,results/redesign_20260908_acs_coalition_v1/seed_2/training/training.json,9f1de5efa5e24902042afbdbc27708f1c23e19ba3ba88991a2c1eeab64c9623d,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1477140,""civilian_at_work"":1477140,""public_coverage"":1477140}","{""A__public_coverage"":2743260,""A__SEX"":2743260,""A__RAC1P"":2743260,""B__income_binary"":2743260,""B__civilian_at_work"":2743260,""B__SEX"":2743260,""B__RAC1P"":2743260,""AB__SEX"":2743260,""AB__RAC1P"":2743260}",80,0,0,0
2,F_Iplus_b0p025,F,Iplus,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_2/training/F_Iplus_b0p025/training.json,1763cf96d3082f7e036d22ca1340dcf37de9f7764e59670b877726328c3b8b57,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1477140,""civilian_at_work"":1477140,""public_coverage"":1477140}","{""A__public_coverage"":2743260,""A__SEX"":2743260,""A__RAC1P"":2743260,""B__income_binary"":2743260,""B__civilian_at_work"":2743260,""B__SEX"":2743260,""B__RAC1P"":2743260,""AB__SEX"":2743260,""AB__RAC1P"":2743260}",80,0,3360,10080
2,F_J_b0p025,F,J,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_2/training/F_J_b0p025/training.json,cd6f2a57f4922026a264acf56311c5f7716aaad05006e1d890c754f874c48972,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1477140,""civilian_at_work"":1477140,""public_coverage"":1477140}","{""A__public_coverage"":2743260,""A__SEX"":2743260,""A__RAC1P"":2743260,""B__income_binary"":2743260,""B__civilian_at_work"":2743260,""B__SEX"":2743260,""B__RAC1P"":2743260,""AB__SEX"":2743260,""AB__RAC1P"":2743260}",80,0,3360,10080
2,F_Iplus_b0p05,F,Iplus,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_2/training/F_Iplus_b0p05/training.json,5ed914be7c6ab4e81088607ca618a1ded4829f8eb3e1c935018f74b82a26a1e9,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1477140,""civilian_at_work"":1477140,""public_coverage"":1477140}","{""A__public_coverage"":2743260,""A__SEX"":2743260,""A__RAC1P"":2743260,""B__income_binary"":2743260,""B__civilian_at_work"":2743260,""B__SEX"":2743260,""B__RAC1P"":2743260,""AB__SEX"":2743260,""AB__RAC1P"":2743260}",80,0,3360,10080
