source,p,seed,weight,kind,endpoint,value
E,1.0,0,person_weighted,absolute_recovery,AB/SEX,0.024475485514204975
E,1.0,0,person_weighted,absolute_recovery,AB/RAC1P,0.07952721355619552
E,0.0,1,unweighted,utility_loss,income_binary,0.28877191159803195
E,0.0,1,unweighted,utility_loss,civilian_at_work,0.28747843401483153
E,0.0,1,unweighted,utility_loss,same_residence,0.5295207455947797
E,0.0,1,unweighted,utility_loss,public_coverage,0.5040753682789849
E,0.0,1,unweighted,utility_loss,commute_over20,0.6900674283001351
E,0.0,1,unweighted,absolute_recovery,A/public_coverage,0.04410677255150908
E,0.0,1,unweighted,absolute_recovery,A/commute_over20,0.014950214189786037
E,0.0,1,unweighted,absolute_recovery,A/SEX,0.00866607638839223
E,0.0,1,unweighted,absolute_recovery,A/RAC1P,0.019209469221045383
E,0.0,1,unweighted,absolute_recovery,B/income_binary,0.11796439805706721
E,0.0,1,unweighted,absolute_recovery,B/civilian_at_work,0.10387409577424345
E,0.0,1,unweighted,absolute_recovery,B/same_residence,0.011856642768453218
E,0.0,1,unweighted,absolute_recovery,B/SEX,0.0008775222370044355
E,0.0,1,unweighted,absolute_recovery,B/RAC1P,0.024095339863926757
E,0.0,1,unweighted,absolute_recovery,AB/SEX,0.01813243395612496
E,0.0,1,unweighted,absolute_recovery,AB/RAC1P,0.028331732873524418
E,0.0,1,person_weighted,utility_loss,income_binary,0.30269792672375423
E,0.0,1,person_weighted,utility_loss,civilian_at_work,0.2719906910662581
E,0.0,1,person_weighted,utility_loss,same_residence,0.49553668598644396
E,0.0,1,person_weighted,utility_loss,public_coverage,0.5084292140261927
E,0.0,1,person_weighted,utility_loss,commute_over20,0.6898316239702851
E,0.0,1,person_weighted,absolute_recovery,A/public_coverage,0.04924140160657142
E,0.0,1,person_weighted,absolute_recovery,A/commute_over20,0.01096291511741243
E,0.0,1,person_weighted,absolute_recovery,A/SEX,0.008474189790088182
E,0.0,1,person_weighted,absolute_recovery,A/RAC1P,0.015627145208457538
E,0.0,1,person_weighted,absolute_recovery,B/income_binary,0.12006296814710771
E,0.0,1,person_weighted,absolute_recovery,B/civilian_at_work,0.12057734254777513
E,0.0,1,person_weighted,absolute_recovery,B/same_residence,0.015208136476901335
E,0.0,1,person_weighted,absolute_recovery,B/SEX,0.0011414583739995932
E,0.0,1,person_weighted,absolute_recovery,B/RAC1P,0.017967179051026516
E,0.0,1,person_weighted,absolute_recovery,AB/SEX,0.017851044916498138
E,0.0,1,person_weighted,absolute_recovery,AB/RAC1P,0.021643673464573077
E,0.25,1,unweighted,utility_loss,income_binary,0.28889899574879946
E,0.25,1,unweighted,utility_loss,civilian_at_work,0.28804632700467403
E,0.25,1,unweighted,utility_loss,same_residence,0.5220769606750201
E,0.25,1,unweighted,utility_loss,public_coverage,0.5040753682789849
E,0.25,1,unweighted,utility_loss,commute_over20,0.6900674283001351
E,0.25,1,unweighted,absolute_recovery,A/public_coverage,0.05009250085146619
E,0.25,1,unweighted,absolute_recovery,A/commute_over20,0.014950214189786037
E,0.25,1,unweighted,absolute_recovery,A/SEX,0.011887111096263864
E,0.25,1,unweighted,absolute_recovery,A/RAC1P,0.03335380549445682
E,0.25,1,unweighted,absolute_recovery,B/income_binary,0.11796439805706721
E,0.25,1,unweighted,absolute_recovery,B/civilian_at_work,0.10387409577424345
E,0.25,1,unweighted,absolute_recovery,B/same_residence,0.011856642768453218
E,0.25,1,unweighted,absolute_recovery,B/SEX,0.0008775222370044355
E,0.25,1,unweighted,absolute_recovery,B/RAC1P,0.024095339863926757
E,0.25,1,unweighted,absolute_recovery,AB/SEX,0.02060783470372679
E,0.25,1,unweighted,absolute_recovery,AB/RAC1P,0.04195455829557587
E,0.25,1,person_weighted,utility_loss,income_binary,0.30275491627144796
E,0.25,1,person_weighted,utility_loss,civilian_at_work,0.27276099017379635
E,0.25,1,person_weighted,utility_loss,same_residence,0.4897757191383996
E,0.25,1,person_weighted,utility_loss,public_coverage,0.5084292140261927
E,0.25,1,person_weighted,utility_loss,commute_over20,0.6898316239702851
E,0.25,1,person_weighted,absolute_recovery,A/public_coverage,0.05333447303910688
E,0.25,1,person_weighted,absolute_recovery,A/commute_over20,0.01096291511741243
E,0.25,1,person_weighted,absolute_recovery,A/SEX,0.011005775417202629
E,0.25,1,person_weighted,absolute_recovery,A/RAC1P,0.028784144458267102
E,0.25,1,person_weighted,absolute_recovery,B/income_binary,0.12006296814710771
E,0.25,1,person_weighted,absolute_recovery,B/civilian_at_work,0.12057734254777513
E,0.25,1,person_weighted,absolute_recovery,B/same_residence,0.015208136476901335
E,0.25,1,person_weighted,absolute_recovery,B/SEX,0.0011414583739995932
E,0.25,1,person_weighted,absolute_recovery,B/RAC1P,0.017967179051026516
E,0.25,1,person_weighted,absolute_recovery,AB/SEX,0.018837547396101134
E,0.25,1,person_weighted,absolute_recovery,AB/RAC1P,0.03420713381640583
E,0.5,1,unweighted,utility_loss,income_binary,0.28902607989956697
E,0.5,1,unweighted,utility_loss,civilian_at_work,0.2886142199945166
E,0.5,1,unweighted,utility_loss,same_residence,0.5146331757552605
E,0.5,1,unweighted,utility_loss,public_coverage,0.5040753682789849
E,0.5,1,unweighted,utility_loss,commute_over20,0.6900674283001351
E,0.5,1,unweighted,absolute_recovery,A/public_coverage,0.0560782291514233
E,0.5,1,unweighted,absolute_recovery,A/commute_over20,0.014950214189786037
E,0.5,1,unweighted,absolute_recovery,A/SEX,0.015108145804135498
E,0.5,1,unweighted,absolute_recovery,A/RAC1P,0.04749814176786826
E,0.5,1,unweighted,absolute_recovery,B/income_binary,0.11796439805706721
E,0.5,1,unweighted,absolute_recovery,B/civilian_at_work,0.10387409577424345
E,0.5,1,unweighted,absolute_recovery,B/same_residence,0.011856642768453218
E,0.5,1,unweighted,absolute_recovery,B/SEX,0.0008775222370044355
E,0.5,1,unweighted,absolute_recovery,B/RAC1P,0.024095339863926757
E,0.5,1,unweighted,absolute_recovery,AB/SEX,0.02308323545132862
E,0.5,1,unweighted,absolute_recovery,AB/RAC1P,0.05557738371762733
E,0.5,1,person_weighted,utility_loss,income_binary,0.3028119058191417
E,0.5,1,person_weighted,utility_loss,civilian_at_work,0.2735312892813346
E,0.5,1,person_weighted,utility_loss,same_residence,0.48401475229035534
E,0.5,1,person_weighted,utility_loss,public_coverage,0.5084292140261927
E,0.5,1,person_weighted,utility_loss,commute_over20,0.6898316239702851
E,0.5,1,person_weighted,absolute_recovery,A/public_coverage,0.05742754447164233
E,0.5,1,person_weighted,absolute_recovery,A/commute_over20,0.01096291511741243
E,0.5,1,person_weighted,absolute_recovery,A/SEX,0.013537361044317076
E,0.5,1,person_weighted,absolute_recovery,A/RAC1P,0.04194114370807667
E,0.5,1,person_weighted,absolute_recovery,B/income_binary,0.12006296814710771
E,0.5,1,person_weighted,absolute_recovery,B/civilian_at_work,0.12057734254777513
E,0.5,1,person_weighted,absolute_recovery,B/same_residence,0.015208136476901335
E,0.5,1,person_weighted,absolute_recovery,B/SEX,0.0011414583739995932
E,0.5,1,person_weighted,absolute_recovery,B/RAC1P,0.017967179051026516
E,0.5,1,person_weighted,absolute_recovery,AB/SEX,0.01982404987570413
E,0.5,1,person_weighted,absolute_recovery,AB/RAC1P,0.04677059416823859
E,0.75,1,unweighted,utility_loss,income_binary,0.28915316405033453
E,0.75,1,unweighted,utility_loss,civilian_at_work,0.28918211298435914
E,0.75,1,unweighted,utility_loss,same_residence,0.507189390835501
E,0.75,1,unweighted,utility_loss,public_coverage,0.5040753682789849
E,0.75,1,unweighted,utility_loss,commute_over20,0.6900674283001351
E,0.75,1,unweighted,absolute_recovery,A/public_coverage,0.06206395745138041
E,0.75,1,unweighted,absolute_recovery,A/commute_over20,0.014950214189786037
E,0.75,1,unweighted,absolute_recovery,A/SEX,0.01832918051200713
E,0.75,1,unweighted,absolute_recovery,A/RAC1P,0.0616424780412797
E,0.75,1,unweighted,absolute_recovery,B/income_binary,0.11796439805706721
E,0.75,1,unweighted,absolute_recovery,B/civilian_at_work,0.10387409577424345
E,0.75,1,unweighted,absolute_recovery,B/same_residence,0.011856642768453218
E,0.75,1,unweighted,absolute_recovery,B/SEX,0.0008775222370044355
E,0.75,1,unweighted,absolute_recovery,B/RAC1P,0.024095339863926757
E,0.75,1,unweighted,absolute_recovery,AB/SEX,0.02555863619893045
E,0.75,1,unweighted,absolute_recovery,AB/RAC1P,0.06920020913967878
E,0.75,1,person_weighted,utility_loss,income_binary,0.3028688953668354
E,0.75,1,person_weighted,utility_loss,civilian_at_work,0.2743015883888728
E,0.75,1,person_weighted,utility_loss,same_residence,0.478253785442311
E,0.75,1,person_weighted,utility_loss,public_coverage,0.5084292140261927
E,0.75,1,person_weighted,utility_loss,commute_over20,0.6898316239702851
E,0.75,1,person_weighted,absolute_recovery,A/public_coverage,0.06152061590417779
E,0.75,1,person_weighted,absolute_recovery,A/commute_over20,0.01096291511741243
E,0.75,1,person_weighted,absolute_recovery,A/SEX,0.016068946671431522
E,0.75,1,person_weighted,absolute_recovery,A/RAC1P,0.05509814295788623
E,0.75,1,person_weighted,absolute_recovery,B/income_binary,0.12006296814710771
E,0.75,1,person_weighted,absolute_recovery,B/civilian_at_work,0.12057734254777513
E,0.75,1,person_weighted,absolute_recovery,B/same_residence,0.015208136476901335
E,0.75,1,person_weighted,absolute_recovery,B/SEX,0.0011414583739995932
E,0.75,1,person_weighted,absolute_recovery,B/RAC1P,0.017967179051026516
E,0.75,1,person_weighted,absolute_recovery,AB/SEX,0.020810552355307127
E,0.75,1,person_weighted,absolute_recovery,AB/RAC1P,0.059334054520071344
E,1.0,1,unweighted,utility_loss,income_binary,0.28928024820110204
E,1.0,1,unweighted,utility_loss,civilian_at_work,0.28975000597420164
E,1.0,1,unweighted,utility_loss,same_residence,0.4997456059157413
