seed,condition,weight,scope,kind,endpoint,value
0,A0,person_weighted,common_fresh,absolute_recovery,A/SEX,0.03246575508790395
0,A0,person_weighted,common_fresh,additional_recovery,A/SEX,0.02618571405621306
0,A0,person_weighted,common_fresh,absolute_recovery,A/RAC1P,0.08286068059374285
0,A0,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.062397170438077465
0,A0,person_weighted,common_fresh,absolute_recovery,B/income_binary,0.10587971082207881
0,A0,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
0,A0,person_weighted,common_fresh,absolute_recovery,B/civilian_at_work,0.1265659938103304
0,A0,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
0,A0,person_weighted,common_fresh,absolute_recovery,B/same_residence,0.01001874337995945
0,A0,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
0,A0,person_weighted,common_fresh,absolute_recovery,B/SEX,-0.0004106134712759113
0,A0,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
0,A0,person_weighted,common_fresh,absolute_recovery,B/RAC1P,0.024745359786336074
0,A0,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
0,A0,person_weighted,common_fresh,absolute_recovery,AB/SEX,0.034943660970959245
0,A0,person_weighted,common_fresh,additional_recovery,AB/SEX,0.02866361993926836
0,A0,person_weighted,common_fresh,absolute_recovery,AB/RAC1P,0.08570200675181305
0,A0,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.049371620375290304
0,A0,person_weighted,transport_all,utility_gain_vs_H,same_residence,0.027639204973753106
0,A0,person_weighted,transport_all,absolute_recovery,A/public_coverage,0.06686432421826372
0,A0,person_weighted,transport_all,additional_recovery,A/public_coverage,0.017581157536452507
0,A0,person_weighted,transport_all,absolute_recovery,A/commute_over20,0.006174171002942042
0,A0,person_weighted,transport_all,additional_recovery,A/commute_over20,0.00456594048046588
0,A0,person_weighted,transport_all,absolute_recovery,A/SEX,0.03246575508790395
0,A0,person_weighted,transport_all,additional_recovery,A/SEX,0.0244923759204404
0,A0,person_weighted,transport_all,absolute_recovery,A/RAC1P,0.08644898960965652
0,A0,person_weighted,transport_all,additional_recovery,A/RAC1P,0.06511226388715796
0,A0,person_weighted,transport_all,absolute_recovery,B/income_binary,0.10587971082207881
0,A0,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
0,A0,person_weighted,transport_all,absolute_recovery,B/civilian_at_work,0.1265659938103304
0,A0,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
0,A0,person_weighted,transport_all,absolute_recovery,B/same_residence,0.01001874337995945
0,A0,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
0,A0,person_weighted,transport_all,absolute_recovery,B/SEX,-0.0002929064998229425
0,A0,person_weighted,transport_all,additional_recovery,B/SEX,0.0
0,A0,person_weighted,transport_all,absolute_recovery,B/RAC1P,0.025237958593029575
0,A0,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
0,A0,person_weighted,transport_all,absolute_recovery,AB/SEX,0.034943660970959245
