seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,L1,3,0.05785257365105193,1,3.3185201150793455e-11,128
0,L1,4,0.057012847597303705,1,3.3185201150793455e-11,128
0,L1,5,0.03849932380984944,1,3.3185201150793455e-11,128
0,L1,6,0.033610654711122095,1,3.3185201150793455e-11,128
0,L1,7,0.032294201128993304,1,3.3185201150793455e-11,128
0,L1,8,0.0286334577897311,1,3.3185201150793455e-11,128
0,L1,9,0.025903468618941015,1,3.3185201150793455e-11,128
0,L1,10,0.017484199813601557,1,3.3185201150793455e-11,128
0,L1,11,0.014932184008045808,1,3.3185201150793455e-11,128
0,L1,12,0.01184729154846726,1,3.3185201150793455e-11,128
0,L1,13,0.011280747094616704,1,3.3185201150793455e-11,128
0,L1,14,0.00905661173997843,1,3.3185201150793455e-11,128
0,L1,15,0.008397331510045755,1,3.3185201150793455e-11,128
0,L1,16,0.007517483504971974,1,3.3185201150793455e-11,128
0,L1,17,0.0072427812693664165,1,3.3185201150793455e-11,128
0,L1,18,0.006563636233426228,1,3.3185201150793455e-11,128
0,L1,19,0.0061464530137934304,1,3.3185201150793455e-11,128
0,L1,20,0.006057986072674629,1,3.3185201150793455e-11,128
0,L1,21,0.00549522140266825,1,3.3185201150793455e-11,128
0,L1,22,0.005152709425686406,1,3.3185201150793455e-11,128
0,L1,23,0.004744601828406245,1,3.3185201150793455e-11,128
0,L1,24,0.003907047427614889,1,3.3185201150793455e-11,128
0,L1,25,0.0034680155192718994,1,3.3185201150793455e-11,128
0,L1,26,0.003369011809903066,1,3.3185201150793455e-11,128
0,L1,27,0.003197146881686317,1,3.3185201150793455e-11,128
0,L1,28,0.002902423142803452,1,3.3185201150793455e-11,128
0,L1,29,0.0021727169161612925,1,3.3185201150793455e-11,128
0,L1,30,0.001865618709520937,1,3.3185201150793455e-11,128
0,L1,31,0.0007974265901797295,1,3.3185201150793455e-11,128
0,L1,32,1.936353511933564e-17,0,3.3185201150793455e-11,128
0,L1,33,1.706324361147088e-17,0,3.3185201150793455e-11,128
0,L1,34,1.3311527169375123e-17,0,3.3185201150793455e-11,128
0,L1,35,1.2740114606741507e-17,0,3.3185201150793455e-11,128
0,L1,36,8.672719322883448e-18,0,3.3185201150793455e-11,128
0,L1,37,7.992590491318608e-18,0,3.3185201150793455e-11,128
0,L1,38,7.835788616663556e-18,0,3.3185201150793455e-11,128
0,L1,39,5.765028258268336e-18,0,3.3185201150793455e-11,128
0,L1,40,4.369803043025481e-18,0,3.3185201150793455e-11,128
0,L1,41,3.8667726945471004e-18,0,3.3185201150793455e-11,128
0,L1,42,2.6730340892197338e-18,0,3.3185201150793455e-11,128
0,L1,43,2.241093919393076e-18,0,3.3185201150793455e-11,128
0,L1,44,1.8421237624452557e-18,0,3.3185201150793455e-11,128
0,L1,45,9.814708061511606e-19,0,3.3185201150793455e-11,128
0,L1,46,6.579713587195132e-19,0,3.3185201150793455e-11,128
0,L1,47,4.650409284935131e-19,0,3.3185201150793455e-11,128
0,L1,48,2.0761465597129593e-19,0,3.3185201150793455e-11,128
0,L1,49,4.36447061348203e-20,0,3.3185201150793455e-11,128
0,L1,50,-6.860785750135388e-19,0,3.3185201150793455e-11,128
0,L1,51,-1.3193143978597347e-18,0,3.3185201150793455e-11,128
0,L1,52,-1.4843252044909022e-18,0,3.3185201150793455e-11,128
0,L1,53,-2.0941207853607322e-18,0,3.3185201150793455e-11,128
0,L1,54,-2.1302554073120806e-18,0,3.3185201150793455e-11,128
0,L1,55,-2.7270869368447906e-18,0,3.3185201150793455e-11,128
0,L1,56,-3.493697999342562e-18,0,3.3185201150793455e-11,128
0,L1,57,-4.124840982648179e-18,0,3.3185201150793455e-11,128
0,L1,58,-4.780458208092196e-18,0,3.3185201150793455e-11,128
