seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,80,960,1.2669079660709155,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,85,1020,1.2700349651727116,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,90,1080,1.276406154037899,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,95,1140,1.2782046754343515,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,100,1200,1.2837985961915326,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,105,1260,1.2863533169382133,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,110,1320,1.2906720831780776,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,115,1380,1.2979710085173741,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,120,1440,1.301531047509255,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,0,2.2133743699753885,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,5,60,1.3122521253903114,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,10,120,1.2385494374616266,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,15,180,1.225201709093704,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,20,240,1.2251362774675079,True
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,25,300,1.227597487288157,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,30,360,1.229486383099218,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,35,420,1.2334136729075913,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,40,480,1.2351459830405227,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,45,540,1.239899077268269,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,50,600,1.2438950456402262,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,55,660,1.2483747509211998,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,60,720,1.253422245691255,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,65,780,1.2586972559849576,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,70,840,1.2635486080420242,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,75,900,1.2683365451282442,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,80,960,1.2723657381585118,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,85,1020,1.2788756776512986,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,90,1080,1.2828161577358705,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,95,1140,1.2881423871029174,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,100,1200,1.2944292509520468,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,105,1260,1.299386915979378,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,110,1320,1.3056689844197678,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,115,1380,1.3098569097847395,False
0,audit,PCA16,RAC1P,mlp_1,mlp,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,120,1440,1.3186062417593705,False
1,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[495,1553]",True,0,0,0.7250015540720144,False
1,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[495,1553]",True,5,40,0.5180724810505797,False
1,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[495,1553]",True,10,80,0.501843565008988,True
1,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[495,1553]",True,15,120,0.5061916444374149,False
1,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[495,1553]",True,20,160,0.508778517681278,False
