seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fallback_reason
1,audit,PCA16,RAC1P,hist_gb_5,histgb,False,False,True,False,3021,"[1694,181,30,0,2,476,11,469,158]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6290371250361204,,
2,transfer,PCA16,same_residence,logistic,logistic,True,True,True,False,2048,"[481,1567]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002586625050753355,,
2,transfer,PCA16,same_residence,mlp,mlp,False,False,True,False,2048,"[481,1567]",True,320,25,200,81920,ef065467e395a1b91e0f6e77d7c43e0936f256fa428add2fe5c387e913c13388,1250200,1950200,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08177375001832843,,
2,transfer,PCA16,commute_over20,logistic,logistic,True,True,True,False,2048,"[1033,1015]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002158291987143457,,
2,transfer,PCA16,commute_over20,mlp,mlp,False,False,True,False,2048,"[1033,1015]",True,320,10,80,81920,b0fed3f00a7da99840d194a0ce28aaadc263d5cc1e6aeb2647553c92339acb57,1250201,1950201,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08291354193352163,,
2,transfer,PCA16,income_binary,logistic,logistic,False,False,True,False,2048,"[1679,369]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.00285966694355011,,
2,transfer,PCA16,income_binary,mlp,mlp,True,True,True,False,2048,"[1679,369]",True,320,25,200,81920,63f016cb68c1560b49c538647e88e782052669121006fb899539d7acf23a9745,1250202,1950202,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08825895900372416,,
2,transfer,PCA16,civilian_at_work,logistic,logistic,False,False,True,False,2048,"[632,1416]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002664458006620407,,
2,transfer,PCA16,civilian_at_work,mlp,mlp,True,True,True,False,2048,"[632,1416]",True,320,20,160,81920,077bce027bde3ef9ac9a49fe80eb1206b20cbf0f9ce7b461dd3430bb77c00624,1250203,1950203,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08782887505367398,,
2,transfer,PCA16,public_coverage,logistic,logistic,True,True,True,False,2048,"[1541,507]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0022530410205945373,,
2,transfer,PCA16,public_coverage,mlp,mlp,False,False,True,False,2048,"[1541,507]",True,320,20,160,81920,df0b56c1b07421bb4cdcdaf18cfccced19d784454aa235de9db31a58146464fb,1250204,1950204,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08707608305849135,,
