year,seed,condition,weight,scope,kind,endpoint,value
2017,0,A0,person_weighted,transport_all,additional_recovery,A/public_coverage,0.017581157536452507
2017,0,A0,person_weighted,transport_all,additional_recovery,A/commute_over20,0.00456594048046588
2017,0,A0,person_weighted,transport_all,additional_recovery,A/SEX,0.0244923759204404
2017,0,A0,person_weighted,transport_all,additional_recovery,A/RAC1P,0.06511226388715796
2017,0,A0,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,A0,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,A0,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,A0,person_weighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,A0,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,A0,person_weighted,transport_all,additional_recovery,AB/SEX,0.02448353598954367
2017,0,A0,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.0464389780959491
2017,0,A0,person_weighted,transport_all,residence_gain_vs_H,utility/same_residence,0.027639204973753106
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,A/public_coverage,0.019452589374850004
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0017746536480932606
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,A/SEX,0.030861958194556283
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,A/RAC1P,0.07378388400427194
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,AB/SEX,0.029155920835564286
2017,0,spectral_S0,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.057078177237168015
2017,0,spectral_S0,unweighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.030400257206359638
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,A/public_coverage,0.01873293568974993
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,A/commute_over20,0.003293170558124503
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,A/SEX,0.02859852106030414
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,A/RAC1P,0.07301991185706158
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,AB/SEX,0.024532547430315965
2017,0,spectral_S0,unweighted,transport_all,additional_recovery,AB/RAC1P,0.05484396516167611
2017,0,spectral_S0,unweighted,transport_all,residence_gain_vs_H,utility/same_residence,0.030400257206359638
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.01875747889791901
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0014428894978670836
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,A/SEX,0.03139229059873738
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.06913961343751662
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,AB/SEX,0.029184828739308943
2017,0,spectral_S0,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.05310568147461425
2017,0,spectral_S0,person_weighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.027343619882325587
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,A/public_coverage,0.018198578612805827
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,A/commute_over20,0.004177108628543591
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,A/SEX,0.029698952462964723
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,A/RAC1P,0.06826639787068345
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
