year,seed,condition,weight,scope,kind,endpoint,value,absolute_recovery,selected_candidate
2017,0,E,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0,0.025237958593029575,catchup
2017,0,E,person_weighted,transport_all,additional_recovery,AB/SEX,0.014449423903244552,0.024909548884660127,catchup
2017,0,E,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.040740519987282564,0.08075053150098999,catchup
2017,0,E,person_weighted,transport_all,utility_gain_vs_H,income_binary,-0.0001544780796273182,0.2821325976226973,
2017,0,E,person_weighted,transport_all,utility_gain_vs_H,civilian_at_work,-0.005517659374401296,0.30205722084404796,
2017,0,E,person_weighted,transport_all,utility_gain_vs_H,same_residence,0.01705497347744589,0.5056074659026049,
2017,0,E,person_weighted,transport_all,utility_gain_vs_H,public_coverage,0.0,0.5010399670950519,
2017,0,E,person_weighted,transport_all,utility_gain_vs_H,commute_over20,0.0,0.692762840032161,
2017,0,A0,unweighted,common_fresh,additional_recovery,A/public_coverage,0.018495696210165502,0.06899285986488218,wire__mlp_1
2017,0,A0,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0013462457088520008,0.00909652301539976,wire__mlp_1
2017,0,A0,unweighted,common_fresh,additional_recovery,A/SEX,0.027791570075508587,0.035341056805079596,wire__mlp_1
2017,0,A0,unweighted,common_fresh,additional_recovery,A/RAC1P,0.06440286381327653,0.0829835812446702,wire__mlp_0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/income_binary,0.0,0.11318382174447267,wire__mlp_0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0,0.12939487326426502,wire__hist_gb_5
2017,0,A0,unweighted,common_fresh,additional_recovery,B/same_residence,0.0,0.007410065052168235,wire__mlp_0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/SEX,0.0,-6.643951747031807e-05,wire__mlp_0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0,0.025258634050528528,wire__mlp_1
2017,0,A0,unweighted,common_fresh,additional_recovery,AB/SEX,0.03026817683323535,0.03781766356280636,wire__mlp_0
2017,0,A0,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.050459415750782055,0.08735597777740844,wire__mlp_0
2017,0,A0,unweighted,common_fresh,utility_gain_vs_H,income_binary,0.011691510256712612,0.27445958884943095,
2017,0,A0,unweighted,common_fresh,utility_gain_vs_H,civilian_at_work,0.005807811563434573,0.29179038425375886,
2017,0,A0,unweighted,common_fresh,utility_gain_vs_H,same_residence,0.028525142604407527,0.5146418928360915,
2017,0,A0,unweighted,common_fresh,utility_gain_vs_H,public_coverage,0.0,0.49303362462409717,
2017,0,A0,unweighted,common_fresh,utility_gain_vs_H,commute_over20,0.0,0.6908776829664436,
2017,0,A0,unweighted,transport_all,additional_recovery,A/public_coverage,0.017776042525065427,0.06899285986488218,wire__mlp_1
