seed,condition,weight,endpoint,recovery_budget_120,recovery_budget_360,catchup_gain
0,dax8_L1_b030,unweighted,AB/RAC1P,0.07208986717569488,0.07208986717569488,0.0
0,dax8_L1_b030,person_weighted,A/SEX,0.03749110566671898,0.03749110566671898,0.0
0,dax8_L1_b030,person_weighted,AB/SEX,0.035701764704784145,0.035701764704784145,0.0
0,dax8_L1_b030,person_weighted,A/RAC1P,0.057809521564137656,0.057809521564137656,0.0
0,dax8_L1_b030,person_weighted,AB/RAC1P,0.06944704693618897,0.06944704693618897,0.0
0,dax8_L1_b100,unweighted,A/SEX,0.022739161562785215,0.022739161562785215,0.0
0,dax8_L1_b100,unweighted,AB/SEX,0.026145436390240695,0.026145436390240695,0.0
0,dax8_L1_b100,unweighted,A/RAC1P,0.017035674699698244,0.019686413052045104,0.0026507383523468597
0,dax8_L1_b100,unweighted,AB/RAC1P,0.05194119763425942,0.05194119763425942,0.0
0,dax8_L1_b100,person_weighted,A/SEX,0.02642034742069177,0.02642034742069177,0.0
0,dax8_L1_b100,person_weighted,AB/SEX,0.030837988322980237,0.030837988322980237,0.0
0,dax8_L1_b100,person_weighted,A/RAC1P,0.018724007365358064,0.01945925749108146,0.0007352501257233968
0,dax8_L1_b100,person_weighted,AB/RAC1P,0.05266211297174084,0.05266211297174084,0.0
0,dax8_L1_b300,unweighted,A/SEX,0.01565051772762116,0.01565051772762116,0.0
0,dax8_L1_b300,unweighted,AB/SEX,0.019789410711554822,0.019789410711554822,0.0
0,dax8_L1_b300,unweighted,A/RAC1P,0.017035674699698244,0.019686413052045104,0.0026507383523468597
0,dax8_L1_b300,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,dax8_L1_b300,person_weighted,A/SEX,0.01678232338637764,0.01678232338637764,0.0
0,dax8_L1_b300,person_weighted,AB/SEX,0.020010698255446324,0.020010698255446324,0.0
0,dax8_L1_b300,person_weighted,A/RAC1P,0.018724007365358064,0.01945925749108146,0.0007352501257233968
0,dax8_L1_b300,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,dax8_L2_b010,unweighted,A/SEX,0.03417008030214963,0.03417008030214963,0.0
0,dax8_L2_b010,unweighted,AB/SEX,0.03147958318545585,0.03147958318545585,0.0
0,dax8_L2_b010,unweighted,A/RAC1P,0.06675981364833716,0.06675981364833716,0.0
0,dax8_L2_b010,unweighted,AB/RAC1P,0.07208986717569488,0.07208986717569488,0.0
0,dax8_L2_b010,person_weighted,A/SEX,0.03749110566671898,0.03749110566671898,0.0
0,dax8_L2_b010,person_weighted,AB/SEX,0.035701764704784145,0.035701764704784145,0.0
