left,right,family,weight,endpoint,seed,estimate,sign
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,0,-0.007105715878344965,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,1,-0.005438204839630423,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.0005431801869117958,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,0.0024366937925068832,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,0.0025643189742772243,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,-0.014079833637002048,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,-0.0028608511858636554,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,-0.0022719339606600553,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,2,-0.016595253430628176,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,utility/same_residence,0,0.0018642836157020115,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,utility/same_residence,1,-0.0025330829551521994,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,utility/same_residence,2,0.005515692327157262,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/A/SEX,0,0.011970873643904811,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.004318060081730635,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/A/SEX,2,0.0012990301979237673,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/AB/SEX,0,0.008660812351853342,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/AB/SEX,1,-0.00094642094041264,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.01137764085100923,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/A/RAC1P,0,0.00296964886899187,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/A/RAC1P,1,0.0062892663472617905,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/A/RAC1P,2,-0.011696161170607011,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,0.005212125075322982,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,0.0016029388300611291,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,-0.014483609309801748,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,utility/same_residence,0,0.002665516775242349,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,utility/same_residence,1,-0.0020646498642377664,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,utility/same_residence,2,0.005925631681022392,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/A/SEX,0,0.01215718836352131,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.0015913909506655166,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/A/SEX,2,0.00387080010063634,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/AB/SEX,0,0.011698765598440186,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/AB/SEX,1,-0.0018189161525145048,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.006861145673860092,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,0.001244666953810869,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,0.005059335979666013,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,-0.011002189394011097,-1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,0.0043123111428138294,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,0.002542474934937866,1
dax16_C1_b300,dax16_L1_b300,coalition_vs_local,person_weighted,recovery/AB/RAC1P,2,-0.019249465516113284,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,utility/same_residence,0,-0.013196183594032518,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,utility/same_residence,1,-0.0011310673091637913,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,utility/same_residence,2,-0.005951147241729848,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/A/SEX,0,0.011640048043744078,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.0035651076301381757,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/A/SEX,2,0.010321548431621141,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/AB/SEX,0,0.002064765689679726,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/AB/SEX,1,0.0008605252775937267,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.006161450005873315,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/A/RAC1P,0,0.009529234119841412,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/A/RAC1P,1,0.0036569914403308257,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/A/RAC1P,2,0.00744296198039085,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,0.000213285493158466,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,-0.00028395070768594266,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,0.003924928577317521,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,utility/same_residence,0,-0.013960542135401766,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,utility/same_residence,1,-0.001931584647334672,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,utility/same_residence,2,-0.004292758764478821,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/A/SEX,0,0.007157828906768193,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.003045025201782625,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/A/SEX,2,0.010384462747778489,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/AB/SEX,0,0.0034305356565491607,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/AB/SEX,1,0.0027591357668345085,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.0010206682466760153,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,0.011288309519808859,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,0.003915570272869262,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,0.007318113852720076,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,0.005059397021140111,1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,-0.0010394993212432535,-1
dax16_C1_b300,dax16_L2_b300,coalition_vs_local,person_weighted,recovery/AB/RAC1P,2,0.00726646421139332,1
dax8_C1_b010,dax8_L1_b010,coalition_vs_local,unweighted,utility/same_residence,0,0.0,0
dax8_C1_b010,dax8_L1_b010,coalition_vs_local,unweighted,utility/same_residence,1,0.0,0
dax8_C1_b010,dax8_L1_b010,coalition_vs_local,unweighted,utility/same_residence,2,0.0,0
dax8_C1_b010,dax8_L1_b010,coalition_vs_local,unweighted,recovery/A/SEX,0,-0.0,0
