seed,condition,ambient_width,numerical_rank_1e-10,effective_rank_entropy,components_for_99pct,top_singular_share,per_coordinate_std_mean
2,dax8_none,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax16_L2_b030_single,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L2_b100_single,16,16,2.469515314223588,10,0.752061800835294,1.440215401538506
2,dax16_C1_b030_single,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_C1_b100_single,16,16,2.5557825438224886,10,0.7432913641342769,1.4549193495480361
2,dax16_L2_b030_r1,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L2_b030_r2,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L2_b100_r1,16,16,2.5275450818027156,10,0.7440869984853535,1.450265799541726
2,dax16_L2_b100_r2,16,16,2.501871024824429,10,0.7472410831953157,1.4503352459610581
2,dax16_C1_b030_r1,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_C1_b030_r2,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_C1_b100_r1,16,16,2.5382016334056563,10,0.743071436402577,1.4553842541359385
2,dax16_C1_b100_r2,16,16,2.5339797946197695,10,0.7433374542206669,1.4542131758883983
2,leace_dax16_none,16,7,2.933846984220769,7,0.6295747111248078,0.6810420930843819
2,splince_dax16_none,16,7,1.3888821695407736,2,0.9101503437691384,3.6222201063193515
2,leace_dax8_none,8,0,1.0,1,1.0,1.3133560175810697e-21
