release,target,split,n_seeds,n_defined,complete,mean,sample_sd
S_K_W,public_coverage,development_evaluation,3,3,True,0.5160647867910686,0.010941137130991069
S_K_W,public_coverage,development_evaluation_person_weighted,3,3,True,0.5219816865067789,0.011971214313604504
S_K_C,income_binary,source_validation,3,3,True,0.3199829863131802,0.010594365405122139
S_K_C,income_binary,source_validation_person_weighted,3,3,True,0.31479361797940375,0.012184280434676087
S_K_C,civilian_at_work,source_validation,3,3,True,0.3489165935530593,0.015726234906086326
S_K_C,civilian_at_work,source_validation_person_weighted,3,3,True,0.344773048277053,0.01902345117682447
S_K_C,public_coverage,source_validation,3,3,True,0.4996921719512774,0.003671519451745145
S_K_C,public_coverage,source_validation_person_weighted,3,3,True,0.5088046565135554,0.0026610620826006894
S_K_C,income_binary,development_evaluation,3,3,True,0.31415267793971774,0.007913846216533136
S_K_C,income_binary,development_evaluation_person_weighted,3,3,True,0.326856700559475,0.006499052565509435
S_K_C,civilian_at_work,development_evaluation,3,3,True,0.33663975859087414,0.006011810831964444
S_K_C,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.32256045408798534,0.00818572751597359
S_K_C,public_coverage,development_evaluation,3,3,True,0.5118855942246092,0.014934092344703656
S_K_C,public_coverage,development_evaluation_person_weighted,3,3,True,0.5190310642018215,0.0172785665221445
S_K_D,income_binary,source_validation,3,3,True,0.3204136549131055,0.011853032411614116
S_K_D,income_binary,source_validation_person_weighted,3,3,True,0.3149962270058911,0.013428909671598644
S_K_D,civilian_at_work,source_validation,3,3,True,0.3487297477923071,0.015511039198770293
S_K_D,civilian_at_work,source_validation_person_weighted,3,3,True,0.344786196169446,0.018873107242606088
S_K_D,public_coverage,source_validation,3,3,True,0.50051735804269,0.0034911321305549814
S_K_D,public_coverage,source_validation_person_weighted,3,3,True,0.509734115197525,0.0024930142869768624
S_K_D,income_binary,development_evaluation,3,3,True,0.3141280645306152,0.008010885417204716
S_K_D,income_binary,development_evaluation_person_weighted,3,3,True,0.3272302156759515,0.006659599957018198
S_K_D,civilian_at_work,development_evaluation,3,3,True,0.3366123968109462,0.0056311311828302875
S_K_D,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.3225881358379317,0.007346837558963294
S_K_D,public_coverage,development_evaluation,3,3,True,0.5122072403516894,0.015079020636355986
S_K_D,public_coverage,development_evaluation_person_weighted,3,3,True,0.5192448238590872,0.01733190422455914
S_bank,income_binary,source_validation,3,3,True,0.31434196829013766,0.01434413405341544
S_bank,income_binary,source_validation_person_weighted,3,3,True,0.30788947764567515,0.014271654690073285
S_bank,civilian_at_work,source_validation,3,3,True,0.34279671709862125,0.022627379278598165
S_bank,civilian_at_work,source_validation_person_weighted,3,3,True,0.337249019754563,0.023072385129362116
S_bank,public_coverage,source_validation,3,3,True,0.4974987161128399,0.002745910073152353
S_bank,public_coverage,source_validation_person_weighted,3,3,True,0.5065033538607342,0.0034104967936178176
S_bank,income_binary,development_evaluation,3,3,True,0.30848535403969385,0.004882493280738589
S_bank,income_binary,development_evaluation_person_weighted,3,3,True,0.3209619701643793,0.0029042352472956182
S_bank,civilian_at_work,development_evaluation,3,3,True,0.3271820833087789,0.006308579034979369
S_bank,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.3092332524777111,0.004398670921815244
S_bank,public_coverage,development_evaluation,3,3,True,0.5082229275640163,0.011053507767210887
S_bank,public_coverage,development_evaluation_person_weighted,3,3,True,0.5158997525063886,0.013533084414716113
