seed,release,target,split,audit_budget,independent_loss,independent_candidate,independent_epoch,pooled_loss,pooled_candidate,pooled_epoch,catchup_loss,catchup_candidate,catchup_epoch,saved_loss,saved_candidate,saved_epoch
0,S_F_C,RAC1P,validation,360,1.2248470696780205,logistic,,1.2072080344317377,catchup,5,1.2072080344317377,catchup,5,1.2086794691260216,saved_adversary,0
0,S_F_C,RAC1P,development_evaluation,120,1.216262470245854,logistic,,1.2014682308622475,catchup,5,1.2014682308622475,catchup,5,1.2132344352313076,saved_adversary,0
0,S_F_C,RAC1P,development_evaluation,360,1.216262470245854,logistic,,1.2014682308622475,catchup,5,1.2014682308622475,catchup,5,1.2132344352313076,saved_adversary,0
0,S_F_C,RAC1P,validation_person_weighted,120,1.2338153727931582,logistic,,1.2214429644614404,catchup,5,1.2214429644614404,catchup,5,1.2330137308549443,saved_adversary,0
0,S_F_C,RAC1P,validation_person_weighted,360,1.2338153727931582,logistic,,1.2214429644614404,catchup,5,1.2214429644614404,catchup,5,1.2330137308549443,saved_adversary,0
0,S_F_C,RAC1P,development_evaluation_person_weighted,120,1.19751616114572,logistic,,1.1825650048600647,catchup,5,1.1825650048600647,catchup,5,1.1950778922607062,saved_adversary,0
0,S_F_C,RAC1P,development_evaluation_person_weighted,360,1.19751616114572,logistic,,1.1825650048600647,catchup,5,1.1825650048600647,catchup,5,1.1950778922607062,saved_adversary,0
0,S_F_D,SEX,validation,120,0.6631882343591036,mlp_0,30,0.6597109172683756,catchup,15,0.6597109172683756,catchup,15,0.6735455472887862,saved_adversary,0
0,S_F_D,SEX,validation,360,0.6631882343591036,mlp_0,30,0.6597109172683756,catchup,15,0.6597109172683756,catchup,15,0.6735455472887862,saved_adversary,0
0,S_F_D,SEX,development_evaluation,120,0.6736102560407039,mlp_0,30,0.673813610328822,catchup,15,0.673813610328822,catchup,15,0.6881930163175475,saved_adversary,0
0,S_F_D,SEX,development_evaluation,360,0.6736102560407039,mlp_0,30,0.673813610328822,catchup,15,0.673813610328822,catchup,15,0.6881930163175475,saved_adversary,0
