seed,release,target,split,selector,loss120,loss360,difference,candidate120,candidate360
0,E_K_C,SEX,development_evaluation,candidate:catchup,0.6773455389504729,0.6773455389504729,0.0,catchup,catchup
0,E_K_C,SEX,development_evaluation,candidate:saved_adversary,0.6806873463050599,0.6806873463050599,0.0,saved_adversary,saved_adversary
0,E_K_C,SEX,validation_person_weighted,primary,0.6844064992012836,0.6844064992012836,0.0,mlp_0,mlp_0
0,E_K_C,SEX,validation_person_weighted,pooled,0.6758142205965004,0.6758142205965004,0.0,catchup,catchup
0,E_K_C,SEX,validation_person_weighted,candidate:logistic,0.6931227411642725,0.6931227411642725,0.0,logistic,logistic
0,E_K_C,SEX,validation_person_weighted,candidate:mlp_0,0.6844064992012836,0.6844064992012836,0.0,mlp_0,mlp_0
0,E_K_C,SEX,validation_person_weighted,candidate:mlp_1,0.6858428340550142,0.6858428340550142,0.0,mlp_1,mlp_1
0,E_K_C,SEX,validation_person_weighted,candidate:hist_gb_20,0.7108899955257014,0.7108899955257014,0.0,hist_gb_20,hist_gb_20
0,E_K_C,SEX,validation_person_weighted,candidate:hist_gb_5,0.7094373187650633,0.7094373187650633,0.0,hist_gb_5,hist_gb_5
0,E_K_C,SEX,validation_person_weighted,candidate:catchup,0.6758142205965004,0.6758142205965004,0.0,catchup,catchup
0,E_K_C,SEX,validation_person_weighted,candidate:saved_adversary,0.6820743558741641,0.6820743558741641,0.0,saved_adversary,saved_adversary
0,E_K_C,SEX,development_evaluation_person_weighted,primary,0.6914150036289739,0.6914150036289739,0.0,mlp_0,mlp_0
0,E_K_C,SEX,development_evaluation_person_weighted,pooled,0.6812504794898354,0.6812504794898354,0.0,catchup,catchup
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:logistic,0.6942951861178455,0.6942951861178455,0.0,logistic,logistic
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:mlp_0,0.6914150036289739,0.6914150036289739,0.0,mlp_0,mlp_0
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:mlp_1,0.6948525377373033,0.6948525377373033,0.0,mlp_1,mlp_1
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:hist_gb_20,0.71827751735933,0.71827751735933,0.0,hist_gb_20,hist_gb_20
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:hist_gb_5,0.7164002746000441,0.7164002746000441,0.0,hist_gb_5,hist_gb_5
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:catchup,0.6812504794898354,0.6812504794898354,0.0,catchup,catchup
0,E_K_C,SEX,development_evaluation_person_weighted,candidate:saved_adversary,0.6810520723952981,0.6810520723952981,0.0,saved_adversary,saved_adversary
0,E_K_C,RAC1P,validation,primary,1.2541465303068167,1.2541465303068167,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,validation,pooled,1.2301156343997715,1.2301156343997715,0.0,catchup,catchup
0,E_K_C,RAC1P,validation,candidate:logistic,1.268841650511622,1.268841650511622,0.0,logistic,logistic
0,E_K_C,RAC1P,validation,candidate:mlp_0,1.2541465303068167,1.2541465303068167,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,validation,candidate:mlp_1,1.2590310726437424,1.2590310726437424,0.0,mlp_1,mlp_1
0,E_K_C,RAC1P,validation,candidate:hist_gb_20,1.4795806121987738,1.4795806121987738,0.0,hist_gb_20,hist_gb_20
0,E_K_C,RAC1P,validation,candidate:hist_gb_5,1.4755594162431351,1.4755594162431351,0.0,hist_gb_5,hist_gb_5
0,E_K_C,RAC1P,validation,candidate:catchup,1.2301156343997715,1.2301156343997715,0.0,catchup,catchup
0,E_K_C,RAC1P,validation,candidate:saved_adversary,1.2317047996341788,1.2317047996341788,0.0,saved_adversary,saved_adversary
0,E_K_C,RAC1P,development_evaluation,primary,1.2348383268997085,1.2348383268997085,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,development_evaluation,pooled,1.2048883767202472,1.2048883767202472,0.0,catchup,catchup
0,E_K_C,RAC1P,development_evaluation,candidate:logistic,1.263565902652147,1.263565902652147,0.0,logistic,logistic
0,E_K_C,RAC1P,development_evaluation,candidate:mlp_0,1.2348383268997085,1.2348383268997085,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,development_evaluation,candidate:mlp_1,1.240953465871366,1.240953465871366,0.0,mlp_1,mlp_1
0,E_K_C,RAC1P,development_evaluation,candidate:hist_gb_20,1.4361994934796243,1.4361994934796243,0.0,hist_gb_20,hist_gb_20
0,E_K_C,RAC1P,development_evaluation,candidate:hist_gb_5,1.4229950152837036,1.4229950152837036,0.0,hist_gb_5,hist_gb_5
0,E_K_C,RAC1P,development_evaluation,candidate:catchup,1.2048883767202472,1.2048883767202472,0.0,catchup,catchup
0,E_K_C,RAC1P,development_evaluation,candidate:saved_adversary,1.2114144338615591,1.2114144338615591,0.0,saved_adversary,saved_adversary
0,E_K_C,RAC1P,validation_person_weighted,primary,1.2616344943800877,1.2616344943800877,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,validation_person_weighted,pooled,1.2391615781058314,1.2391615781058314,0.0,catchup,catchup
0,E_K_C,RAC1P,validation_person_weighted,candidate:logistic,1.2784668054116206,1.2784668054116206,0.0,logistic,logistic
0,E_K_C,RAC1P,validation_person_weighted,candidate:mlp_0,1.2616344943800877,1.2616344943800877,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,validation_person_weighted,candidate:mlp_1,1.2627044032723542,1.2627044032723542,0.0,mlp_1,mlp_1
0,E_K_C,RAC1P,validation_person_weighted,candidate:hist_gb_20,1.4775384715939037,1.4775384715939037,0.0,hist_gb_20,hist_gb_20
0,E_K_C,RAC1P,validation_person_weighted,candidate:hist_gb_5,1.4749876851397927,1.4749876851397927,0.0,hist_gb_5,hist_gb_5
0,E_K_C,RAC1P,validation_person_weighted,candidate:catchup,1.2391615781058314,1.2391615781058314,0.0,catchup,catchup
0,E_K_C,RAC1P,validation_person_weighted,candidate:saved_adversary,1.249652771599737,1.249652771599737,0.0,saved_adversary,saved_adversary
0,E_K_C,RAC1P,development_evaluation_person_weighted,primary,1.2144491410253866,1.2144491410253866,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,development_evaluation_person_weighted,pooled,1.1873505768092065,1.1873505768092065,0.0,catchup,catchup
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:logistic,1.2380430655237828,1.2380430655237828,0.0,logistic,logistic
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:mlp_0,1.2144491410253866,1.2144491410253866,0.0,mlp_0,mlp_0
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:mlp_1,1.21954599653838,1.21954599653838,0.0,mlp_1,mlp_1
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_20,1.403535838766401,1.403535838766401,0.0,hist_gb_20,hist_gb_20
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_5,1.392217776266977,1.392217776266977,0.0,hist_gb_5,hist_gb_5
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:catchup,1.1873505768092065,1.1873505768092065,0.0,catchup,catchup
0,E_K_C,RAC1P,development_evaluation_person_weighted,candidate:saved_adversary,1.1985067043282212,1.1985067043282212,0.0,saved_adversary,saved_adversary
0,E_K_D,SEX,validation,primary,0.6833150010880634,0.6833150010880634,0.0,mlp_0,mlp_0
0,E_K_D,SEX,validation,pooled,0.6742990498859284,0.6742990498859284,0.0,catchup,catchup
0,E_K_D,SEX,validation,candidate:logistic,0.6924179289644153,0.6924179289644153,0.0,logistic,logistic
