seed,comparison,left,right,target,split,left_minus_right,left_value,right_value
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation,0.02956951369776256,0.41176452035434835,0.3821950066565858
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation,0.0022350746342504335,0.34669438329358704,0.3444593086593366
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation,-0.0020460402494579255,0.3472140737164442,0.3492601139659021
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation_person_weighted,0.034561157592560066,0.3929557017891865,0.3583945441966264
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation_person_weighted,0.0011753674003826542,0.33132279357477107,0.3301474261743884
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation_person_weighted,-0.0027933233885802378,0.3334619285782335,0.3362552519668137
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation,0.0007537105617794193,0.5078010362563317,0.5070473256945522
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation,0.0046740789079902645,0.4968552427459468,0.4921811638379565
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation,-0.006154074928914455,0.4942499766722143,0.5004040516011288
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation_person_weighted,0.0040026477613654965,0.517577154912768,0.5135745071514025
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation_person_weighted,0.0015465698550463092,0.5065581221854956,0.5050115523304493
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation_person_weighted,-0.007566392627633922,0.5078580378326651,0.5154244304602991
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation,0.0009617328920963342,0.5268184381296172,0.5258567052375208
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation,0.007732811870496126,0.5111239112122457,0.5033910993417495
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation,0.011532311291299668,0.5001889191521753,0.48865660786087567
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation_person_weighted,0.002298297471468369,0.5355912782845059,0.5332929808130376
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation_person_weighted,0.0030000040319426713,0.5111214744928195,0.5081214704608769
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation_person_weighted,0.011900231343071943,0.5082094374511735,0.4963092061081016
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation,-0.004883727733595078,0.29600071680740075,0.30088444454099583
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation,-0.01650968203692227,0.29619890290970285,0.3127085849466251
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation,-0.019157911128678762,0.3102749642541132,0.329432875382792
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation_person_weighted,-0.0031416864538098,0.28954736518010615,0.29268905163391595
