seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,evidence_audit_budget,origin_metrics,origin_release,validation_auroc,validation_coverage_complete
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,5,40,0.6877066989613688,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,10,80,0.6874408433169331,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,15,120,0.6856280003441627,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,20,160,0.6863440210190446,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,25,200,0.6864074425585044,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,30,240,0.6890457459872781,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,35,280,0.6905622733769073,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,40,320,0.6922013760198091,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,0,0,0.7046275674363195,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,5,40,0.4259912724363172,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,10,80,0.3390177827028666,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,15,120,0.31118009138247615,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,20,160,0.3076340962829666,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
