comparison,left,right,target,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,development_evaluation_person_weighted,3,3,True,-0.016027199210545868,0.010926750160076699,"{""0"":-0.019862040466688546,""1"":-0.02451959911242968,""2"":-0.003699958052519381}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,civilian_at_work,source_validation,3,3,True,-0.03405885564566519,0.013585182704725293,"{""0"":-0.03776519363556152,""1"":-0.04540623524345572,""2"":-0.01900513805797832}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,civilian_at_work,source_validation_person_weighted,3,3,True,-0.03033283030172218,0.01278107998776295,"{""0"":-0.033103449411734875,""1"":-0.04150135513960229,""2"":-0.016393686353829373}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,civilian_at_work,development_evaluation,3,3,True,-0.03658629264978588,0.012160477654365724,"{""0"":-0.036570550631741194,""1"":-0.048754633671269865,""2"":-0.024433693646346566}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,civilian_at_work,development_evaluation_person_weighted,3,3,True,-0.029885016085828293,0.013807066813055126,"{""0"":-0.03716407370917346,""1"":-0.03852948434624848,""2"":-0.013961490202062943}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,public_coverage,source_validation,3,3,True,-0.008861319919943655,0.005707244513426547,"{""0"":-0.006028330335494325,""1"":-0.015430800977125625,""2"":-0.005124828447211016}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,public_coverage,source_validation_person_weighted,3,3,True,-0.006640835473537758,0.006859412239439545,"{""0"":-0.0061940657239033525,""1"":-0.013712711705119729,""2"":-1.5728991590191477e-05}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,public_coverage,development_evaluation,3,3,True,-0.004392810349539478,0.010728612649333344,"{""0"":0.007363264921480206,""1"":-0.013654507253655579,""2"":-0.00688718871644306}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,public_coverage,development_evaluation_person_weighted,3,3,True,-0.004659099210084487,0.010923721245542417,"{""0"":0.006143094213542755,""1"":-0.015700421872976933,""2"":-0.004419969970819282}"
native_main_minus_equal_exposure_bank,S_K_C,S_bank,income_binary,source_validation,3,3,True,0.005641018023042528,0.005151497476978034,"{""0"":0.007544651727787843,""1"":0.009569781084361406,""2"":-0.00019137874302166402}"
native_main_minus_equal_exposure_bank,S_K_C,S_bank,income_binary,source_validation_person_weighted,3,3,True,0.006904140333728585,0.0063121685346988685,"{""0"":0.008059926343478852,""1"":0.012558549522681317,""2"":9.394513502558599e-05}"
