comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
representation_minus_source_bank,S_F_D,S_bank,transfer,civilian_at_work,,primary,validation,3,3,True,-0.03568500777681749,0.012783840279314878,"{""0"":-0.02340105448631241,""1"":-0.048916056360945426,""2"":-0.03473791248319463}"
representation_minus_source_bank,S_F_D,S_bank,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,-0.03854058611163935,0.009765653158773702,"{""0"":-0.02887072243965122,""1"":-0.048399289841473736,""2"":-0.0383517460537931}"
representation_minus_source_bank,S_F_D,S_bank,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,-0.028423062413853988,0.005336663409858419,"{""0"":-0.02238106646256216,""1"":-0.03249319815145091,""2"":-0.030394922627548893}"
representation_minus_source_bank,S_F_D,S_bank,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,-0.030933551059608617,0.004699737143457905,"{""0"":-0.029011927125527193,""1"":-0.03628959343125521,""2"":-0.027499132622043454}"
representation_minus_source_bank,S_F_D,S_bank,transfer,public_coverage,,primary,validation,3,3,True,-0.007635069525502432,0.012251886851117584,"{""0"":-0.009954590353171977,""1"":-0.01856140023990649,""2"":0.00561078201657117}"
representation_minus_source_bank,S_F_D,S_bank,transfer,public_coverage,,primary,development_evaluation,3,3,True,-0.007437325210692421,0.005608868619987356,"{""0"":-0.008152800562770568,""1"":-0.012654125942602956,""2"":-0.0015050491267037391}"
representation_minus_source_bank,S_F_D,S_bank,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,-0.005454675807732419,0.011408073458586234,"{""0"":-0.0034733368663556474,""1"":-0.01772363690596962,""2"":0.004832946349128009}"
representation_minus_source_bank,S_F_D,S_bank,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,-0.0056870439357248155,0.006239956849471273,"{""0"":-0.00759060744851614,""1"":-0.010753517403880586,""2"":0.0012829930452222804}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,primary,validation,3,3,True,-0.015418417095286352,0.007062349243957022,"{""0"":-0.018396952938000477,""1"":-0.020503570822931638,""2"":-0.007354727524926941}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,primary,development_evaluation,3,3,True,-0.01086159399273475,0.0017211846062316768,"{""0"":-0.012459504620462858,""1"":-0.011086107128835843,""2"":-0.009039170228905546}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,primary,validation_person_weighted,3,3,True,-0.014899420337653235,0.010115813078902297,"{""0"":-0.02114578864675265,""1"":-0.02032415034139967,""2"":-0.003228322024807384}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,primary,development_evaluation_person_weighted,3,3,True,-0.008034093498531939,0.00020759332731913442,"{""0"":-0.008155617932530057,""1"":-0.008152269395146239,""2"":-0.007794393167919522}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,primary,validation,3,3,True,-0.038742499164325116,0.010918150084184154,"{""0"":-0.031222096543723987,""1"":-0.05126561434951982,""2"":-0.033739786599731536}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,primary,development_evaluation,3,3,True,-0.04187391029180584,0.009675800647857074,"{""0"":-0.04568507211322337,""1"":-0.049063789916732325,""2"":-0.03087286884546181}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,-0.030992510779155397,0.01155776279860721,"{""0"":-0.025682190892527323,""1"":-0.04425107856783361,""2"":-0.02304426287710526}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,-0.033324123847699116,0.0037405241071524088,"{""0"":-0.03158202582970859,""1"":-0.0376179409569275,""2"":-0.030772404756461258}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,pooled,validation,3,3,True,-0.018570489412703266,0.009982678215956392,"{""0"":-0.021874270028728438,""1"":-0.026482470684454418,""2"":-0.007354727524926941}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,pooled,development_evaluation,3,3,True,-0.011327122983210073,0.001993050159703204,"{""0"":-0.012256150332344729,""1"":-0.012686048388379945,""2"":-0.009039170228905546}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,pooled,validation_person_weighted,3,3,True,-0.015335310785125325,0.010502988091146984,"{""0"":-0.02200392808871232,""1"":-0.020773682241856273,""2"":-0.003228322024807384}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,120,pooled,development_evaluation_person_weighted,3,3,True,-0.008841733564865875,0.0015777268227643185,"{""0"":-0.010656345472698225,""1"":-0.00807446205397988,""2"":-0.007794393167919522}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,pooled,validation,3,3,True,-0.05292787893197056,0.007349149343354359,"{""0"":-0.04655223292673272,""1"":-0.05126561434951982,""2"":-0.06096578951965914}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,pooled,development_evaluation,3,3,True,-0.04949693102724958,0.005397740007140256,"{""0"":-0.055098191802796403,""1"":-0.049063789916732325,""2"":-0.04432881136222}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,pooled,validation_person_weighted,3,3,True,-0.04311238520176001,0.003417495280700118,"{""0"":-0.03927091274834815,""1"":-0.04425107856783361,""2"":-0.045815164289098265}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,120,pooled,development_evaluation_person_weighted,3,3,True,-0.041998375965021616,0.0037948047264066737,"{""0"":-0.044285468473358014,""1"":-0.0376179409569275,""2"":-0.04409171846477933}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,primary,validation,3,3,True,-0.014979757678289962,0.006821609392744184,"{""0"":-0.017080974687011308,""1"":-0.020503570822931638,""2"":-0.007354727524926941}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,primary,development_evaluation,3,3,True,-0.011488855078265062,0.0026739048827096245,"{""0"":-0.014341287877053799,""1"":-0.011086107128835843,""2"":-0.009039170228905546}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,primary,validation_person_weighted,3,3,True,-0.014568795705389345,0.009821507140664676,"{""0"":-0.020153914749960977,""1"":-0.02032415034139967,""2"":-0.003228322024807384}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,primary,development_evaluation_person_weighted,3,3,True,-0.008407729740994574,0.0007733853588293384,"{""0"":-0.00927652665991796,""1"":-0.008152269395146239,""2"":-0.007794393167919522}"
