seed,release,role,target,selector,split,log_loss,prior_relative_gain,candidate,evidence_audit_budget
0,S_direct,audit,SEX,pooled,development_evaluation_person_weighted,0.6862812119541546,0.006502794393712263,mlp_1,360
0,S_direct,audit,RAC1P,pooled,validation,1.233206354105493,0.04380330565328783,mlp_0,360
0,S_direct,audit,RAC1P,pooled,development_evaluation,1.2212790054137392,0.0659493078308433,mlp_0,360
0,S_direct,audit,RAC1P,pooled,validation_person_weighted,1.2432636902481942,0.04223791663187071,mlp_0,360
0,S_direct,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2026306348645657,0.05832951175242118,mlp_0,360
1,S_direct,transfer,same_residence,primary,validation,0.5134545805182351,,logistic,
1,S_direct,transfer,same_residence,primary,development_evaluation,0.5156197446747322,,logistic,
1,S_direct,transfer,same_residence,primary,validation_person_weighted,0.48853812066503755,,logistic,
1,S_direct,transfer,same_residence,primary,development_evaluation_person_weighted,0.48665029185030306,,logistic,
1,S_direct,transfer,commute_over20,primary,validation,0.685715939984312,,mlp,
1,S_direct,transfer,commute_over20,primary,development_evaluation,0.6856157479748108,,mlp,
1,S_direct,transfer,commute_over20,primary,validation_person_weighted,0.6833452913490201,,mlp,
1,S_direct,transfer,commute_over20,primary,development_evaluation_person_weighted,0.6892378643904002,,mlp,
1,S_direct,transfer,income_binary,primary,validation,0.37512476993871363,,mlp,
1,S_direct,transfer,income_binary,primary,development_evaluation,0.3691191727358393,,mlp,
1,S_direct,transfer,income_binary,primary,validation_person_weighted,0.37083717193633625,,mlp,
1,S_direct,transfer,income_binary,primary,development_evaluation_person_weighted,0.38092962969440763,,mlp,
1,S_direct,transfer,civilian_at_work,primary,validation,0.4118507489760555,,mlp,
1,S_direct,transfer,civilian_at_work,primary,development_evaluation,0.4028120876859634,,mlp,
1,S_direct,transfer,civilian_at_work,primary,validation_person_weighted,0.4014989477336748,,mlp,
1,S_direct,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.384096710998326,,mlp,
1,S_direct,transfer,public_coverage,primary,validation,0.5293637143036283,,mlp,
1,S_direct,transfer,public_coverage,primary,development_evaluation,0.5298043442044535,,mlp,
1,S_direct,transfer,public_coverage,primary,validation_person_weighted,0.5388598646061741,,mlp,
1,S_direct,transfer,public_coverage,primary,development_evaluation_person_weighted,0.5352752156164455,,mlp,
1,S_direct,audit,SEX,primary,validation,0.666448754148558,0.02570963042809149,mlp_0,360
1,S_direct,audit,SEX,primary,development_evaluation,0.6671557347331186,0.024880951194236944,mlp_0,360
1,S_direct,audit,SEX,primary,validation_person_weighted,0.66566273296411,0.026382921603917864,mlp_0,360
1,S_direct,audit,SEX,primary,development_evaluation_person_weighted,0.670260288578476,0.02101985775788906,mlp_0,360
1,S_direct,audit,RAC1P,primary,validation,1.2265882651303466,0.06215141968133353,logistic,360
1,S_direct,audit,RAC1P,primary,development_evaluation,1.2665509858161628,0.05038549945925519,logistic,360
1,S_direct,audit,RAC1P,primary,validation_person_weighted,1.2219432159182406,0.06679023624032343,logistic,360
1,S_direct,audit,RAC1P,primary,development_evaluation_person_weighted,1.2969786397219494,0.03520221688922476,logistic,360
1,S_direct,audit,SEX,pooled,validation,0.666448754148558,0.02570963042809149,mlp_0,360
1,S_direct,audit,SEX,pooled,development_evaluation,0.6671557347331186,0.024880951194236944,mlp_0,360
1,S_direct,audit,SEX,pooled,validation_person_weighted,0.66566273296411,0.026382921603917864,mlp_0,360
1,S_direct,audit,SEX,pooled,development_evaluation_person_weighted,0.670260288578476,0.02101985775788906,mlp_0,360
1,S_direct,audit,RAC1P,pooled,validation,1.2265882651303466,0.06215141968133353,logistic,360
1,S_direct,audit,RAC1P,pooled,development_evaluation,1.2665509858161628,0.05038549945925519,logistic,360
1,S_direct,audit,RAC1P,pooled,validation_person_weighted,1.2219432159182406,0.06679023624032343,logistic,360
1,S_direct,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2969786397219494,0.03520221688922476,logistic,360
2,S_direct,transfer,same_residence,primary,validation,0.5175642494130633,,mlp,
2,S_direct,transfer,same_residence,primary,development_evaluation,0.5085688224960043,,mlp,
2,S_direct,transfer,same_residence,primary,validation_person_weighted,0.5011191296592193,,mlp,
2,S_direct,transfer,same_residence,primary,development_evaluation_person_weighted,0.4778436301269337,,mlp,
2,S_direct,transfer,commute_over20,primary,validation,0.6765244366523039,,logistic,
2,S_direct,transfer,commute_over20,primary,development_evaluation,0.6854891919588539,,logistic,
2,S_direct,transfer,commute_over20,primary,validation_person_weighted,0.6774123092508442,,logistic,
2,S_direct,transfer,commute_over20,primary,development_evaluation_person_weighted,0.6867802787061019,,logistic,
2,S_direct,transfer,income_binary,primary,validation,0.31533393163515694,,mlp,
2,S_direct,transfer,income_binary,primary,development_evaluation,0.30973360896279856,,mlp,
2,S_direct,transfer,income_binary,primary,validation_person_weighted,0.3226169353592766,,mlp,
2,S_direct,transfer,income_binary,primary,development_evaluation_person_weighted,0.32396539828590976,,mlp,
2,S_direct,transfer,civilian_at_work,primary,validation,0.3424584343922149,,mlp,
2,S_direct,transfer,civilian_at_work,primary,development_evaluation,0.3710058333153708,,mlp,
2,S_direct,transfer,civilian_at_work,primary,validation_person_weighted,0.3380322013905256,,mlp,
2,S_direct,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.34907341935426284,,mlp,
2,S_direct,transfer,public_coverage,primary,validation,0.5039204076228543,,mlp,
2,S_direct,transfer,public_coverage,primary,development_evaluation,0.5101302991863258,,mlp,
2,S_direct,transfer,public_coverage,primary,validation_person_weighted,0.5151533258452905,,mlp,
2,S_direct,transfer,public_coverage,primary,development_evaluation_person_weighted,0.5190392569580552,,mlp,
2,S_direct,audit,SEX,primary,validation,0.6735565438660538,0.018583539188603004,mlp_0,360
2,S_direct,audit,SEX,primary,development_evaluation,0.6776036720520158,0.01551752102104964,mlp_0,360
2,S_direct,audit,SEX,primary,validation_person_weighted,0.6752220089369008,0.0172172531172905,mlp_0,360
2,S_direct,audit,SEX,primary,development_evaluation_person_weighted,0.6770304655095332,0.015245650266198618,mlp_0,360
2,S_direct,audit,RAC1P,primary,validation,1.2348540306751834,0.04988778472852329,mlp_0,360
2,S_direct,audit,RAC1P,primary,development_evaluation,1.2171079888848413,0.048855160087354355,mlp_0,360
2,S_direct,audit,RAC1P,primary,validation_person_weighted,1.2423530736484147,0.037526063682666866,mlp_0,360
2,S_direct,audit,RAC1P,primary,development_evaluation_person_weighted,1.2157440146672012,0.0528407481612696,mlp_0,360
2,S_direct,audit,SEX,pooled,validation,0.6735565438660538,0.018583539188603004,mlp_0,360
2,S_direct,audit,SEX,pooled,development_evaluation,0.6776036720520158,0.01551752102104964,mlp_0,360
2,S_direct,audit,SEX,pooled,validation_person_weighted,0.6752220089369008,0.0172172531172905,mlp_0,360
2,S_direct,audit,SEX,pooled,development_evaluation_person_weighted,0.6770304655095332,0.015245650266198618,mlp_0,360
2,S_direct,audit,RAC1P,pooled,validation,1.2348540306751834,0.04988778472852329,mlp_0,360
2,S_direct,audit,RAC1P,pooled,development_evaluation,1.2171079888848413,0.048855160087354355,mlp_0,360
2,S_direct,audit,RAC1P,pooled,validation_person_weighted,1.2423530736484147,0.037526063682666866,mlp_0,360
2,S_direct,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2157440146672012,0.0528407481612696,mlp_0,360
0,E_F_C,transfer,same_residence,primary,validation,0.5169225362889904,,mlp,
0,E_F_C,transfer,same_residence,primary,development_evaluation,0.5062237321102718,,mlp,
0,E_F_C,transfer,same_residence,primary,validation_person_weighted,0.4871642317105253,,mlp,
0,E_F_C,transfer,same_residence,primary,development_evaluation_person_weighted,0.491689139711262,,mlp,
0,E_F_C,transfer,commute_over20,primary,validation,0.6830075375685856,,logistic,
0,E_F_C,transfer,commute_over20,primary,development_evaluation,0.687758484123448,,logistic,
0,E_F_C,transfer,commute_over20,primary,validation_person_weighted,0.6815475529597292,,logistic,
0,E_F_C,transfer,commute_over20,primary,development_evaluation_person_weighted,0.6870644961013529,,logistic,
0,E_F_C,transfer,income_binary,primary,validation,0.30285698372790526,,logistic,
0,E_F_C,transfer,income_binary,primary,development_evaluation,0.3060986084617026,,logistic,
0,E_F_C,transfer,income_binary,primary,validation_person_weighted,0.2883987558444691,,logistic,
0,E_F_C,transfer,income_binary,primary,development_evaluation_person_weighted,0.31391456846657967,,logistic,
0,E_F_C,transfer,civilian_at_work,primary,validation,0.3166388039096081,,logistic,
0,E_F_C,transfer,civilian_at_work,primary,development_evaluation,0.2859316895333967,,logistic,
0,E_F_C,transfer,civilian_at_work,primary,validation_person_weighted,0.31363558492518695,,logistic,
0,E_F_C,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.26800632579208944,,logistic,
0,E_F_C,transfer,public_coverage,primary,validation,0.495789939615989,,logistic,
0,E_F_C,transfer,public_coverage,primary,development_evaluation,0.5138284369320303,,logistic,
0,E_F_C,transfer,public_coverage,primary,validation_person_weighted,0.5100801232309068,,logistic,
0,E_F_C,transfer,public_coverage,primary,development_evaluation_person_weighted,0.5256478466740103,,logistic,
0,E_F_C,audit,SEX,primary,validation,0.6736821573001165,0.019182230769042352,mlp_1,360
0,E_F_C,audit,SEX,primary,development_evaluation,0.6812109668901247,0.011691265379454308,mlp_1,360
0,E_F_C,audit,SEX,primary,validation_person_weighted,0.6724362572637164,0.0200538660796189,mlp_1,360
0,E_F_C,audit,SEX,primary,development_evaluation_person_weighted,0.6847815142068717,0.008002492140995132,mlp_1,360
0,E_F_C,audit,RAC1P,primary,validation,1.2462505527254966,0.030759107033284216,mlp_0,360
0,E_F_C,audit,RAC1P,primary,development_evaluation,1.2308692561384535,0.056359057106128985,mlp_0,360
0,E_F_C,audit,RAC1P,primary,validation_person_weighted,1.2551885940234588,0.030313012856606036,mlp_0,360
0,E_F_C,audit,RAC1P,primary,development_evaluation_person_weighted,1.2136239833684748,0.047336163248512086,mlp_0,360
