anchor,configuration,arm,budget,role,weighting,fit_status,audit_status,registered_feasible,fallback,release_sha256,alias_of,n_people,n_households,release_loss,H_loss,H_minus_release,audit_selected_route
0,a0_u1p0_b010,U1P0,b010,attack:A/RAC1P,PWGTP,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u1p0_b010,U1P0,b010,attack:AB/SEX,U,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u1p0_b010,U1P0,b010,attack:AB/SEX,PWGTP,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u1p0_b010,U1P0,b010,attack:AB/RAC1P,U,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u1p0_b010,U1P0,b010,attack:AB/RAC1P,PWGTP,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
0,a0_u1p0_b020,U1P0,b020,utility:A/same_residence,U,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,0.5028527262510961,0.5328579213725678,0.030005195121471706,own/mlp_120
0,a0_u1p0_b020,U1P0,b020,utility:A/same_residence,PWGTP,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,0.46967792505089034,0.5008645741906776,0.031186649139787304,own/mlp_120
0,a0_u1p0_b020,U1P0,b020,attack:A/SEX,U,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u1p0_b020,U1P0,b020,attack:A/SEX,PWGTP,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
0,a0_u1p0_b020,U1P0,b020,attack:A/RAC1P,U,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u1p0_b020,U1P0,b020,attack:A/RAC1P,PWGTP,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u1p0_b020,U1P0,b020,attack:AB/SEX,U,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u1p0_b020,U1P0,b020,attack:AB/SEX,PWGTP,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u1p0_b020,U1P0,b020,attack:AB/RAC1P,U,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u1p0_b020,U1P0,b020,attack:AB/RAC1P,PWGTP,optimal,complete,True,False,f8aceb1e8d88593d7729e12810a4c15ad0141937d8f9c3aadbae0b0e3cfbc8db,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
