unit,seed,release,split,target,mean_mse,per_coordinate_mse
static,2,E_direct,source_validation,S,0.4975318087344544,"[0.4358463334858093,0.4081991654448883,0.5593902185965347,0.6136547695919164,0.5230941911731467,0.5602886055280525,0.5348264523542318,0.3652288606075341,0.5450241963393161,0.25366564617797466,0.3803816546847033,0.5804699478290447,0.5444418821758601,0.6224322835859536,0.5375237679760659,0.4960409642002377]"
static,2,E_direct,development_evaluation,R,0.5037648351593014,"[0.6353214654739546,0.6268270482918179,0.6965219284547595,0.5661337447624414,0.8482767810950017,0.47448924689862343,0.468196152206135,0.56984114433857,0.3777177156664707,0.7718322158214842,0.07189358531311732,0.3894979709939746,0.38198613448286184,0.3338519345337008,0.31467361217369993,0.5331766820422091]"
static,2,E_direct,development_evaluation,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,2,E_direct,development_evaluation,S,0.512276268997436,"[0.4622389910786957,0.42542034244918325,0.6035987602357356,0.6216305352911886,0.5575961235780105,0.5795975747017269,0.5507809803673406,0.3435988464946007,0.5609950018472879,0.26134503586685953,0.37771288089768296,0.5750041292722934,0.5643504124126404,0.6531099843339561,0.5540441539251021,0.505396551206671]"
static,2,S_direct,fit,R,0.4999999652920129,"[0.18629470442248874,0.5860156276932226,0.5556693074769479,0.3322366552750018,0.6828192641423264,0.1495657966861425,0.4151835266634212,0.5273370521208962,0.46747463131982936,0.6283894125517129,0.37715023209005244,0.7218919185084072,0.37988466214963645,0.8778023708489721,0.780297470788046,0.33198681193510293]"
static,2,S_direct,fit,E,0.5011545866519309,"[0.4425549601327225,0.41138630879747273,0.5892238867957148,0.6012577654580898,0.5399410260141727,0.5658560413970558,0.5435407644386957,0.35541932118409575,0.5568137613144422,0.25655235012905825,0.3740421038958341,0.5873547614750094,0.5264024893018051,0.6083769630145753,0.5544924257094648,0.5052584573726856]"
static,2,S_direct,fit,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,2,S_direct,source_validation,R,0.4996984290616418,"[0.18596822200101853,0.5939557852440348,0.5522010762701857,0.3200471702626156,0.7067285743463059,0.1412610037610749,0.4073361677259317,0.5541812624672612,0.4464543352363499,0.6477319713588493,0.3878095699504831,0.6986177653964343,0.40430030519048676,0.8962655645517593,0.7176244739693335,0.3346916172541443]"
static,2,S_direct,source_validation,E,0.4975318087344544,"[0.4358463334858093,0.4081991654448883,0.5593902185965347,0.6136547695919164,0.5230941911731467,0.5602886055280525,0.5348264523542318,0.3652288606075341,0.5450241963393161,0.25366564617797466,0.3803816546847033,0.5804699478290447,0.5444418821758601,0.6224322835859536,0.5375237679760659,0.4960409642002377]"
static,2,S_direct,source_validation,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,2,S_direct,development_evaluation,R,0.5118921706756556,"[0.18832139793399066,0.6239332866743956,0.5549664510003856,0.3268820986346642,0.6863939873081727,0.15301336680649738,0.4111916327466933,0.5506238117691342,0.4774139721158827,0.6369228122446741,0.38536510131839796,0.7108639624438572,0.4079565803300246,0.9729003180895475,0.7634978947519974,0.340028056642175]"
static,2,S_direct,development_evaluation,E,0.512276268997436,"[0.4622389910786957,0.42542034244918325,0.6035987602357356,0.6216305352911886,0.5575961235780105,0.5795975747017269,0.5507809803673406,0.3435988464946007,0.5609950018472879,0.26134503586685953,0.37771288089768296,0.5750041292722934,0.5643504124126404,0.6531099843339561,0.5540441539251021,0.505396551206671]"
static,2,S_direct,development_evaluation,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R_rho0,0,I,fit,R,1.6824473632019383e-15,"[2.4387312619949683e-15,8.549901424311907e-16,2.033207913258644e-15,1.889116761161135e-15,1.9274583956275005e-15,1.8290880051832878e-15,1.5868494974278735e-15,5.004035235753742e-16,1.0688809257090039e-15,3.2557584862846724e-15,7.997626333338839e-16,7.483857568586965e-16,4.764382329323438e-15,7.974388818321129e-16,6.614398769746761e-16,1.7632634202545555e-15]"
R_rho0,0,I,fit,E,0.562499974103791,"[0.6631268139960171,0.5669923605687214,0.6753757163382149,0.7970196299579476,0.6666856451806425,0.4478627358758044,0.7253811141428843,0.8872773884216639,0.5165343409185996,0.7236390439657535,0.20361903164298656,0.49206870327542096,0.5073028730564044,0.2952644195681056,0.48657511323170194,0.3452746555197875]"
