seed,release,target,split,selector,loss_120,loss_360,loss_360_minus_120
0,R_rho0_C,RAC1P,validation,pooled,1.2198284939391515,1.2198284939391515,0.0
0,R_rho0_C,RAC1P,validation,candidate:logistic,1.2207879932034102,1.2207879932034102,0.0
0,R_rho0_C,RAC1P,validation,candidate:mlp_0,1.2198284939391515,1.2198284939391515,0.0
0,R_rho0_C,RAC1P,validation,candidate:mlp_1,1.2237328976747972,1.2237328976747972,0.0
0,R_rho0_C,RAC1P,validation,candidate:hist_gb_20,1.4675354326301762,1.4675354326301762,0.0
0,R_rho0_C,RAC1P,validation,candidate:hist_gb_5,1.4579910732569084,1.4579910732569084,0.0
0,R_rho0_C,RAC1P,validation,candidate:catchup,1.233499662277253,1.233499662277253,0.0
0,R_rho0_C,RAC1P,validation,candidate:saved_adversary,1.2364671793754598,1.2364671793754598,0.0
0,R_rho0_C,RAC1P,development_evaluation,primary,1.2112627761453876,1.2112627761453876,0.0
0,R_rho0_C,RAC1P,development_evaluation,pooled,1.2112627761453876,1.2112627761453876,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:logistic,1.2087994006176381,1.2087994006176381,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:mlp_0,1.2112627761453876,1.2112627761453876,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:mlp_1,1.2147207913325402,1.2147207913325402,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:hist_gb_20,1.439434695650947,1.439434695650947,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:hist_gb_5,1.428008063087738,1.428008063087738,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:catchup,1.231045961051272,1.231045961051272,0.0
0,R_rho0_C,RAC1P,development_evaluation,candidate:saved_adversary,1.2425525349510909,1.2425525349510909,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,primary,1.2258098467763239,1.2258098467763239,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,pooled,1.2258098467763239,1.2258098467763239,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:logistic,1.2281073649880838,1.2281073649880838,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:mlp_0,1.2258098467763239,1.2258098467763239,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:mlp_1,1.231928438373297,1.231928438373297,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:hist_gb_20,1.4889099262316763,1.4889099262316763,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:hist_gb_5,1.4745195443521126,1.4745195443521126,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:catchup,1.2366826225764078,1.2366826225764078,0.0
0,R_rho0_C,RAC1P,validation_person_weighted,candidate:saved_adversary,1.25034675154735,1.25034675154735,0.0
0,R_rho0_C,RAC1P,development_evaluation_person_weighted,primary,1.1896768625735001,1.1896768625735001,0.0
0,R_rho0_C,RAC1P,development_evaluation_person_weighted,pooled,1.1896768625735001,1.1896768625735001,0.0
0,R_rho0_C,RAC1P,development_evaluation_person_weighted,candidate:logistic,1.1894259235844664,1.1894259235844664,0.0
