seed,role,target,audit_budget,selector,split,reference_teacher,arm,comparison,E_rho0,E_rho0p1,reference_rho0,reference_rho0p1,E_reconstruction_delta,reference_reconstruction_delta,left_minus_right,signed_gain_interaction
0,audit,RAC1P,120,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.002329122685172269,0.003190038970817044,-0.000860916285644775,0.000860916285644775
0,audit,RAC1P,120,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0018884287004214961,0.0007216105615672763,0.0011668181388542198,-0.0011668181388542198
0,audit,RAC1P,120,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0018884287004214961,0.0040961549523890195,-0.0022077262519675234,0.0022077262519675234
0,audit,RAC1P,120,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0009830369857544152,0.00035955562865463975,-0.001342592614409055,0.001342592614409055
0,audit,RAC1P,120,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0009830369857544152,6.294664468220468e-05,-0.00104598363043662,0.00104598363043662
0,audit,RAC1P,120,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.001234288349458712,0.0005626225664956408,-0.0017969109159543528,0.0017969109159543528
0,audit,RAC1P,120,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.001234288349458712,0.004872304214525558,-0.00610659256398427,0.00610659256398427
0,audit,SEX,120,pooled,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.008158492519740101,0.001786583676199216,0.0063719088435408855,-0.0063719088435408855
0,audit,SEX,120,pooled,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.008158492519740101,0.004992174532762461,0.0031663179869776403,-0.0031663179869776403
0,audit,SEX,120,pooled,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.006898801698570378,0.0013741882206077527,0.0055246134779626255,-0.0055246134779626255
0,audit,SEX,120,pooled,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.006898801698570378,0.0020716921953968237,0.0048271095031735545,-0.0048271095031735545
0,audit,SEX,120,pooled,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.007893449396974117,-0.00028278278197912954,0.008176232178953247,-0.008176232178953247
0,audit,SEX,120,pooled,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.007893449396974117,0.0042347684623536,0.0036586809346205174,-0.0036586809346205174
0,audit,SEX,120,pooled,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.00871680680714082,-0.00024368512738792703,0.008960491934528747,-0.008960491934528747
0,audit,SEX,120,pooled,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.00871680680714082,0.00038679687758969017,0.00833000992955113,-0.00833000992955113
0,audit,RAC1P,120,pooled,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.010799833277716608,0.001131031548421646,0.009668801729294962,-0.009668801729294962
0,audit,RAC1P,120,pooled,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.010799833277716608,0.004067923468148438,0.006731909809568171,-0.006731909809568171
0,audit,RAC1P,120,pooled,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.012448069436654885,0.0007216105615672763,0.011726458875087609,-0.011726458875087609
0,audit,RAC1P,120,pooled,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.012448069436654885,0.005466955764243275,0.00698111367241161,-0.00698111367241161
0,audit,RAC1P,120,pooled,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.002861480283135709,0.00035955562865463975,0.002501924654481069,-0.002501924654481069
0,audit,RAC1P,120,pooled,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.002861480283135709,0.0064849900081227485,-0.0036235097249870396,0.0036235097249870396
0,audit,RAC1P,120,pooled,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.011227313651199111,0.0005626225664956408,0.01066469108470347,-0.01066469108470347
0,audit,RAC1P,120,pooled,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.011227313651199111,0.004164820036709038,0.007062493614490073,-0.007062493614490073
0,audit,SEX,360,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.001704645999888954,0.001786583676199216,-8.193767631026194e-05,8.193767631026194e-05
0,audit,SEX,360,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.001704645999888954,0.0018733129744257226,-0.0001686669745367686,0.0001686669745367686
0,audit,SEX,360,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.009531920154223328,0.0013741882206077527,0.008157731933615575,-0.008157731933615575
0,audit,SEX,360,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.009531920154223328,-0.00014166465508758108,0.009673584809310909,-0.009673584809310909
0,audit,SEX,360,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0006588197844709098,-0.00028278278197912954,0.0009416025664500394,-0.0009416025664500394
