seed,release,target,candidate,new_fitting,selected_epoch,last_epoch,last_minus_best_validation_loss
0,S_direct,RAC1P,mlp_1,True,40,360,0.11992817166324055
1,E_direct,SEX,mlp_0,True,10,360,0.12694010564022207
1,E_direct,SEX,mlp_1,True,10,360,0.14734172907541532
1,E_direct,RAC1P,mlp_0,True,50,360,0.13614038488917934
1,E_direct,RAC1P,mlp_1,True,35,360,0.11509346554667754
1,S_direct,SEX,mlp_0,True,30,360,0.10977275609818093
1,S_direct,SEX,mlp_1,True,25,360,0.10848897958458492
1,S_direct,RAC1P,mlp_0,True,40,360,0.17724544501074657
1,S_direct,RAC1P,mlp_1,True,40,360,0.12138809996526967
2,E_direct,SEX,mlp_0,True,25,360,0.12175680594134453
2,E_direct,SEX,mlp_1,True,30,360,0.12455286849372182
2,E_direct,RAC1P,mlp_0,True,50,360,0.15273859782280508
2,E_direct,RAC1P,mlp_1,True,50,360,0.18602557432624756
2,S_direct,SEX,mlp_0,True,20,360,0.1250125934694587
2,S_direct,SEX,mlp_1,True,25,360,0.1447261142641323
2,S_direct,RAC1P,mlp_0,True,35,360,0.2113640779169943
2,S_direct,RAC1P,mlp_1,True,50,360,0.18571576205844287
0,R_rho0_C,SEX,mlp_0,True,20,360,0.2679462224883683
0,R_rho0_C,SEX,mlp_1,True,20,360,0.2745888288253886
0,R_rho0_C,SEX,catchup,True,15,360,0.3236914052407779
0,R_rho0_C,RAC1P,mlp_0,True,15,360,0.381000174957534
0,R_rho0_C,RAC1P,mlp_1,True,15,360,0.3443663191907371
0,R_rho0_C,RAC1P,catchup,True,5,360,0.31241003834923875
0,R_rho0_D,SEX,mlp_0,True,20,360,0.25525366750434864
0,R_rho0_D,SEX,mlp_1,True,20,360,0.2880925153963724
0,R_rho0_D,SEX,catchup,True,15,360,0.34885583576532475
0,R_rho0_D,RAC1P,mlp_0,True,15,360,0.3553904258612022
0,R_rho0_D,RAC1P,mlp_1,True,15,360,0.3366341339872403
0,R_rho0_D,RAC1P,catchup,True,5,360,0.32895386355488543
1,R_rho0_C,SEX,mlp_0,True,20,360,0.30905202551034094
1,R_rho0_C,SEX,mlp_1,True,15,360,0.3600477168749606
1,R_rho0_C,SEX,catchup,True,5,360,0.33751471920369414
1,R_rho0_C,RAC1P,mlp_0,True,20,360,0.32607772532232415
1,R_rho0_C,RAC1P,mlp_1,True,20,360,0.37276834739360054
1,R_rho0_C,RAC1P,catchup,True,5,360,0.2933594053056905
1,R_rho0_D,SEX,mlp_0,True,20,360,0.31912744066023846
1,R_rho0_D,SEX,mlp_1,True,10,360,0.37324767772638623
1,R_rho0_D,SEX,catchup,True,5,360,0.32859507448804914
1,R_rho0_D,RAC1P,mlp_0,True,20,360,0.3327940361157049
1,R_rho0_D,RAC1P,mlp_1,True,20,360,0.3649647072974753
1,R_rho0_D,RAC1P,catchup,True,5,360,0.29222826203566243
2,R_rho0_C,SEX,mlp_0,True,15,360,0.3404504368950063
2,R_rho0_C,SEX,mlp_1,True,15,360,0.30860141289630627
