seed,comparison,left,right,role,target,audit_budget,selector,split,left_value,right_value,left_candidate,right_candidate,left_evidence_audit_budget,right_evidence_audit_budget,left_minus_right,signed_gain_left_minus_right
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,pooled,development_evaluation,0.6601121424332013,0.6677135142893367,catchup,catchup,360,360,-0.007601371856135408,0.007601371856135408
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,pooled,validation_person_weighted,0.6537004458637422,0.6510574312939169,catchup,catchup,360,360,0.002643014569825297,-0.002643014569825297
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,pooled,development_evaluation_person_weighted,0.6608655612686152,0.6689649789123261,catchup,catchup,360,360,-0.008099417643710916,0.008099417643710916
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,pooled,validation,1.21004844544999,1.1998118121233858,catchup,catchup,360,360,0.010236633326604183,-0.010236633326604183
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation,1.2101468107168447,1.1927858057640772,catchup,catchup,360,360,0.01736100495276749,-0.01736100495276749
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,pooled,validation_person_weighted,1.224391707162241,1.2130470252857746,catchup,catchup,360,360,0.011344681876466423,-0.011344681876466423
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,1.1930496379934576,1.1702304818071427,catchup,catchup,360,360,0.022819156186314915,-0.022819156186314915
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,same_residence,,primary,validation,0.5194942314466078,0.5114708604581084,mlp,logistic,,,0.008023370988499368,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,same_residence,,primary,development_evaluation,0.504779481710692,0.49474185982669727,mlp,logistic,,,0.010037621883994707,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,same_residence,,primary,validation_person_weighted,0.4890025874611014,0.4785016414333914,mlp,logistic,,,0.010500946027710012,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,same_residence,,primary,development_evaluation_person_weighted,0.48982622003562226,0.4835448239074046,mlp,logistic,,,0.006281396128217653,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,commute_over20,,primary,validation,0.6822370418554701,0.6771149346099224,logistic,logistic,,,0.005122107245547625,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,commute_over20,,primary,development_evaluation,0.6898364966480494,0.6876313846032944,logistic,logistic,,,0.002205112044754931,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,commute_over20,,primary,validation_person_weighted,0.6849264104535794,0.6760041598821485,logistic,logistic,,,0.008922250571430923,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,commute_over20,,primary,development_evaluation_person_weighted,0.6905081571799225,0.6863275658794873,logistic,logistic,,,0.0041805913004352435,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,income_binary,,primary,validation,0.292776390904012,0.29520315797036517,logistic,logistic,,,-0.002426767066353197,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,income_binary,,primary,development_evaluation,0.29430236591418885,0.2940224274586051,logistic,logistic,,,0.0002799384555837725,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,income_binary,,primary,validation_person_weighted,0.27660125193630547,0.27972565967705104,logistic,logistic,,,-0.0031244077407455717,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,income_binary,,primary,development_evaluation_person_weighted,0.3022811261900898,0.3047515757721081,logistic,logistic,,,-0.002470449582018308,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,civilian_at_work,,primary,validation,0.311484161586073,0.30726807163300873,logistic,logistic,,,0.004216089953064273,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,civilian_at_work,,primary,development_evaluation,0.28328732892940905,0.2747341826898421,logistic,logistic,,,0.008553146239566933,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,civilian_at_work,,primary,validation_person_weighted,0.3061795605692098,0.3035692399317794,logistic,logistic,,,0.0026103206374303856,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,0.26662877003704255,0.25952904307934316,logistic,logistic,,,0.007099726957699393,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,public_coverage,,primary,validation,0.4899081576097357,0.4891786687933812,logistic,mlp,,,0.0007294888163545399,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,public_coverage,,primary,development_evaluation,0.5112699494772379,0.5120611311354646,logistic,mlp,,,-0.0007911816582266695,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,public_coverage,,primary,validation_person_weighted,0.5061692345026362,0.5029599644208596,logistic,mlp,,,0.0032092700817766273,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,transfer,public_coverage,,primary,development_evaluation_person_weighted,0.5198298895530203,0.51986311061728,logistic,mlp,,,-3.3221064259625344e-05,
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,SEX,120,primary,validation,0.6744434002262027,0.6488642739946809,mlp_0,mlp_1,120,120,0.02557912623152181,-0.02557912623152181
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,SEX,120,primary,development_evaluation,0.6813154850551808,0.6606035210915451,mlp_0,mlp_1,120,120,0.020711963963635727,-0.020711963963635727
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,SEX,120,primary,validation_person_weighted,0.6763692114661777,0.6451465980484122,mlp_0,mlp_1,120,120,0.031222613417765444,-0.031222613417765444
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,SEX,120,primary,development_evaluation_person_weighted,0.6844561268203667,0.6598364830406231,mlp_0,mlp_1,120,120,0.024619643779743572,-0.024619643779743572
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,RAC1P,120,primary,validation,1.250664561707042,1.2192688681425952,mlp_0,mlp_0,120,120,0.031395693564446825,-0.031395693564446825
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,RAC1P,120,primary,development_evaluation,1.2329434132225683,1.2111194892839057,mlp_0,mlp_0,120,120,0.021823923938662615,-0.021823923938662615
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,RAC1P,120,primary,validation_person_weighted,1.2585241978156325,1.2258115385304238,mlp_0,mlp_0,120,120,0.03271265928520872,-0.03271265928520872
0,E_minus_R,E_rho0p1_D,R_rho0p1_D,audit,RAC1P,120,primary,development_evaluation_person_weighted,1.2138100857965244,1.1897687831488657,mlp_0,mlp_0,120,120,0.02404130264765869,-0.02404130264765869
