seed,release,target,split,audit_budget,saved_loss,saved_candidate,fresh_loss,fresh_candidate,catchup_loss,catchup_candidate,pooled_loss,pooled_candidate
0,E_rho0_D,RAC1P,development_evaluation,120,1.2299801396444363,saved_adversary,1.2344543831531856,mlp_0,1.2190189628749326,catchup,1.2190189628749326,catchup
0,E_rho0_D,RAC1P,development_evaluation,360,1.2299801396444363,saved_adversary,1.2344543831531856,mlp_0,1.2190189628749326,catchup,1.2190189628749326,catchup
0,E_rho0_D,RAC1P,validation_person_weighted,120,1.2503883328753789,saved_adversary,1.2590081003528317,mlp_0,1.2332935031836296,catchup,1.2332935031836296,catchup
0,E_rho0_D,RAC1P,validation_person_weighted,360,1.2503883328753789,saved_adversary,1.2590081003528317,mlp_0,1.2332935031836296,catchup,1.2332935031836296,catchup
0,E_rho0_D,RAC1P,development_evaluation_person_weighted,120,1.2212116879397468,saved_adversary,1.2135740113235765,mlp_0,1.2031894864970585,catchup,1.2031894864970585,catchup
0,E_rho0_D,RAC1P,development_evaluation_person_weighted,360,1.2212116879397468,saved_adversary,1.2135740113235765,mlp_0,1.2031894864970585,catchup,1.2031894864970585,catchup
0,S_rho0p1_C,SEX,validation,120,0.6685880874211417,saved_adversary,0.6593866346613602,mlp_0,0.6519705291112552,catchup,0.6519705291112552,catchup
0,S_rho0p1_C,SEX,validation,360,0.6685880874211417,saved_adversary,0.6593866346613602,mlp_0,0.6519705291112552,catchup,0.6519705291112552,catchup
0,S_rho0p1_C,SEX,development_evaluation,120,0.6840128595339909,saved_adversary,0.6715240979832063,mlp_0,0.6677135142893367,catchup,0.6677135142893367,catchup
0,S_rho0p1_C,SEX,development_evaluation,360,0.6840128595339909,saved_adversary,0.6715240979832063,mlp_0,0.6677135142893367,catchup,0.6677135142893367,catchup
0,S_rho0p1_C,SEX,validation_person_weighted,120,0.6676948560789218,saved_adversary,0.6538346180385255,mlp_0,0.6510574312939169,catchup,0.6510574312939169,catchup
0,S_rho0p1_C,SEX,validation_person_weighted,360,0.6676948560789218,saved_adversary,0.6538346180385255,mlp_0,0.6510574312939169,catchup,0.6510574312939169,catchup
0,S_rho0p1_C,SEX,development_evaluation_person_weighted,120,0.6812347108281158,saved_adversary,0.6731100533241595,mlp_0,0.6689649789123261,catchup,0.6689649789123261,catchup
0,S_rho0p1_C,SEX,development_evaluation_person_weighted,360,0.6812347108281158,saved_adversary,0.6731100533241595,mlp_0,0.6689649789123261,catchup,0.6689649789123261,catchup
0,S_rho0p1_C,RAC1P,validation,120,1.2024937514488157,saved_adversary,1.2172527162227353,logistic,1.1998118121233858,catchup,1.1998118121233858,catchup
0,S_rho0p1_C,RAC1P,validation,360,1.2024937514488157,saved_adversary,1.2172527162227353,logistic,1.1998118121233858,catchup,1.1998118121233858,catchup
0,S_rho0p1_C,RAC1P,development_evaluation,120,1.2048537051237267,saved_adversary,1.2063365581430048,logistic,1.1927858057640772,catchup,1.1927858057640772,catchup
0,S_rho0p1_C,RAC1P,development_evaluation,360,1.2048537051237267,saved_adversary,1.2063365581430048,logistic,1.1927858057640772,catchup,1.1927858057640772,catchup
0,S_rho0p1_C,RAC1P,validation_person_weighted,120,1.2258872991713654,saved_adversary,1.2284351044528883,logistic,1.2130470252857746,catchup,1.2130470252857746,catchup
0,S_rho0p1_C,RAC1P,validation_person_weighted,360,1.2258872991713654,saved_adversary,1.2284351044528883,logistic,1.2130470252857746,catchup,1.2130470252857746,catchup
0,S_rho0p1_C,RAC1P,development_evaluation_person_weighted,120,1.1830340782864817,saved_adversary,1.187978107683532,logistic,1.1702304818071427,catchup,1.1702304818071427,catchup
0,S_rho0p1_C,RAC1P,development_evaluation_person_weighted,360,1.1830340782864817,saved_adversary,1.187978107683532,logistic,1.1702304818071427,catchup,1.1702304818071427,catchup
0,S_rho0p1_D,SEX,validation,120,0.6724757280689605,saved_adversary,0.6612615943776726,mlp_0,0.6569374276090582,catchup,0.6569374276090582,catchup
0,S_rho0p1_D,SEX,validation,360,0.6724757280689605,saved_adversary,0.6612615943776726,mlp_0,0.6569374276090582,catchup,0.6569374276090582,catchup
0,S_rho0p1_D,SEX,development_evaluation,120,0.6855400668707391,saved_adversary,0.673939370608722,mlp_0,0.6692432499673932,catchup,0.6692432499673932,catchup
0,S_rho0p1_D,SEX,development_evaluation,360,0.6855400668707391,saved_adversary,0.673939370608722,mlp_0,0.6692432499673932,catchup,0.6692432499673932,catchup
0,S_rho0p1_D,SEX,validation_person_weighted,120,0.6714263647456667,saved_adversary,0.6557877753286814,mlp_0,0.657075644140276,catchup,0.657075644140276,catchup
0,S_rho0p1_D,SEX,validation_person_weighted,360,0.6714263647456667,saved_adversary,0.6557877753286814,mlp_0,0.657075644140276,catchup,0.657075644140276,catchup
0,S_rho0p1_D,SEX,development_evaluation_person_weighted,120,0.6861893963203602,saved_adversary,0.6749064304284178,mlp_0,0.6739834396987195,catchup,0.6739834396987195,catchup
0,S_rho0p1_D,SEX,development_evaluation_person_weighted,360,0.6861893963203602,saved_adversary,0.6749064304284178,mlp_0,0.6739834396987195,catchup,0.6739834396987195,catchup
0,S_rho0p1_D,RAC1P,validation,120,1.2028003849008813,saved_adversary,1.2221053121660126,logistic,1.1987448709584336,catchup,1.1987448709584336,catchup
0,S_rho0p1_D,RAC1P,validation,360,1.2028003849008813,saved_adversary,1.2221053121660126,logistic,1.1987448709584336,catchup,1.1987448709584336,catchup
0,S_rho0p1_D,RAC1P,development_evaluation,120,1.204875681593239,saved_adversary,1.2113443184535027,logistic,1.1946966649479127,catchup,1.1946966649479127,catchup
