comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,pooled,validation,3,3,True,0.001120418978414454,0.004509715258417534,"{""0"":0.0031663179869776403,""1"":0.0042445473184798965,""2"":-0.004049608370214175}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,pooled,development_evaluation,3,3,True,0.006004431090406899,0.003168038214818272,"{""0"":0.0055246134779626255,""1"":0.009385008205228362,""2"":0.0031036715880297105}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,pooled,development_evaluation,3,3,True,0.0019490707310518829,0.003452189964015721,"{""0"":0.0048271095031735545,""1"":0.002898625222281459,""2"":-0.0018785225322993648}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,pooled,validation_person_weighted,3,3,True,0.0034800767405795594,0.005804866742953929,"{""0"":0.008176232178953247,""1"":0.005273987792192014,""2"":-0.003009989749406583}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,pooled,validation_person_weighted,3,3,True,0.002144509651154388,0.009576786186673817,"{""0"":0.0036586809346205174,""1"":0.010874009151531805,""2"":-0.008099161132689159}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,pooled,development_evaluation_person_weighted,3,3,True,0.006969731219049906,0.0018270346017365369,"{""0"":0.008960491934528747,""1"":0.005369611854612377,""2"":0.006579089868008592}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,pooled,development_evaluation_person_weighted,3,3,True,0.0045328924232093115,0.003292723099597771,"{""0"":0.00833000992955113,""1"":0.0028030031483061713,""2"":0.0024656641917706335}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,pooled,validation,3,3,True,0.008217423982541142,0.004488405818588943,"{""0"":0.009668801729294962,""1"":0.0031829169684771674,""2"":0.011800553249851298}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,pooled,validation,3,3,True,0.0006738417972254052,0.0056518764729377065,"{""0"":0.006731909809568171,""1"":-0.0002531535238312621,""2"":-0.004457230894060693}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,pooled,development_evaluation,3,3,True,0.005980236320531092,0.00520979978897076,"{""0"":0.011726458875087609,""1"":0.004649107081504011,""2"":0.0015651430050016568}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,pooled,development_evaluation,3,3,True,0.0010319968419202723,0.007102279890007503,"{""0"":0.00698111367241161,""1"":0.0029460360107347316,""2"":-0.006831159157385525}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,pooled,validation_person_weighted,3,3,True,0.005544221411129424,0.008991421701513472,"{""0"":0.002501924654481069,""1"":-0.001531373026742111,""2"":0.015662112605649314}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,pooled,validation_person_weighted,3,3,True,-0.002056546334145389,0.0013813945537842086,"{""0"":-0.0036235097249870396,""1"":-0.0010147620796079337,""2"":-0.0015313671978411936}"
