seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,validation,0,2275,2275.0,0.7623994638069705,2717,2717.0,0.798675009201325,0.9538461538461539,0.8693910256410257,0.7275816426169036,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,validation,1,709,709.0,0.23760053619302948,267,267.0,0.6067415730337079,0.22849083215796898,0.3319672131147541,0.7275816426169035,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,development_evaluation,0,2199,2199.0,0.7374245472837022,2681,2681.0,0.773591943304737,0.943155979990905,0.85,0.7319462521278394,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,development_evaluation,1,783,783.0,0.2625754527162978,301,301.0,0.584717607973422,0.2247765006385696,0.3247232472324723,0.7319462521278394,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,validation_person_weighted,0,2275,263229.0,0.7555584259020064,2717,314763.0,0.7883391631163764,0.9426772885966211,0.8586278010768316,0.7110079854074937,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,validation_person_weighted,1,709,85161.0,0.24444157409799364,267,33627.0,0.5512831950515954,0.21768180270311527,0.3121190692662559,0.7110079854074935,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,development_evaluation_person_weighted,0,2199,244261.0,0.7310117585091324,2681,302011.0,0.7650085592908867,0.9458775653911186,0.8458826372210181,0.7276754316959946,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,development_evaluation_person_weighted,1,783,89880.0,0.26898824149086764,301,32130.0,0.5885465297230004,0.21039163328882954,0.3099745922465372,0.7276754316959946,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,validation,0,2275,2275.0,0.7623994638069705,2727,2727.0,0.7997799779977998,0.9586813186813187,0.8720511795281887,0.7226541018924658,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,validation,1,709,709.0,0.23760053619302948,257,257.0,0.6342412451361867,0.229901269393512,0.33747412008281574,0.7226541018924658,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,development_evaluation,0,2199,2199.0,0.7374245472837022,2677,2677.0,0.7736271946208443,0.9417917235106866,0.8494667760459393,0.7273087093459989,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,development_evaluation,1,783,783.0,0.2625754527162978,305,305.0,0.580327868852459,0.2260536398467433,0.32536764705882354,0.727308709345999,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,validation_person_weighted,0,2275,263229.0,0.7555584259020064,2727,315210.0,0.7921988515592779,0.9486378780453522,0.8633892251386922,0.7024511222931281,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,validation_person_weighted,1,709,85161.0,0.24444157409799364,257,33180.0,0.5925256178420736,0.23085684761804112,0.33226016342603154,0.7024511222931282,True,True,,517,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,development_evaluation_person_weighted,0,2199,244261.0,0.7310117585091324,2677,300822.0,0.7619655477325462,0.9384060492669726,0.841031549323681,0.7227209256502234,True,True,,1531,True
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,development_evaluation_person_weighted,1,783,89880.0,0.26898824149086764,305,33319.0,0.5484558360094841,0.20331553182020473,0.29665825209620206,0.7227209256502235,True,True,,517,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,validation,0,1541,1541.0,0.5162479061976549,1551,1551.0,0.6086395873629916,0.6125892277741726,0.610608020698577,0.6287924612754606,True,True,1,1512,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,validation,1,1444,1444.0,0.4837520938023451,1434,1434.0,0.5836820083682008,0.5796398891966759,0.5816539263377345,0.6287924612754605,True,True,2,1481,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,development_evaluation,0,1534,1534.0,0.5144198524480215,1559,1559.0,0.5965362411802437,0.60625814863103,0.6013579049466538,0.6210638960720898,True,True,1,1512,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,development_evaluation,1,1448,1448.0,0.48558014755197854,1423,1423.0,0.5755446240337315,0.5656077348066298,0.5705329153605015,0.6210638960720898,True,True,2,1481,True
