seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,selected_epoch,selected_optimizer_steps,optimizer_steps,boosting_iterations,training_row_exposures,row_exposure_min,row_exposure_max,initialization_seed,schedule_seed,schedule_hash,restart_index,restart_seed_offset,fit_runtime_seconds,fallback_reason,warnings,parameters,checkpoint_criterion,selection,audit_kind,provided_attacker_fit_rows,provided_attacker_fit_support,preprocessing,preprocessing_fit_rows,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256
0,transfer,D_protected,public_coverage,mlp,mlp,E_pca,False,True,True,False,False,False,2048,"[1531,517]",True,False,15,120,320,,81920,40,40,1250004,1950004,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,,,0.08153070800472051,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,,,18,,,,,,,,,,0.00326941697858274,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,SEX,mlp_0,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,30,360,1440,,359160,120,120,1260000,1960000,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,0,0,0.33267183403950185,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",validation_log_loss,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,SEX,mlp_1,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,35,420,1440,,359160,120,120,1270000,1970000,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1,10000,0.32804912503343076,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",validation_log_loss,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,SEX,hist_gb_20,histgb,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,,,0,150,,,,,,,,,0.07963812502566725,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,SEX,hist_gb_5,histgb,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,,,0,150,,,,,,,,,0.08242558396887034,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,15,180,1440,,359160,120,120,,2000000,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,"minimum attacker-validation log loss, then earliest epoch; no evaluation data",catchup,2993,"[1512,1481]",identity; direct mapper16 coordinates; no mean/scale fitted,0,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,D_protected,SEX,saved_adversary,saved_adversary,E_pca,False,False,True,False,False,True,0,,,False,0,0,0,,0,,,,,,,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,unchanged saved adversary; no fitting or validation selection,saved,2993,"[1512,1481]",identity; direct mapper16 coordinates; no mean/scale fitted,0,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,D_protected,RAC1P,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,,,110,,,,,,,,,,0.027083792025223374,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,55,660,1440,,359160,120,120,1260001,1960001,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,0,0,0.4016729159047827,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",validation_log_loss,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,RAC1P,mlp_1,mlp,E_pca,False,False,True,False,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,45,540,1440,,359160,120,120,1270001,1970001,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1,10000,0.4118847909849137,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",validation_log_loss,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,RAC1P,hist_gb_20,histgb,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,,,0,150,,,,,,,,,0.6122696249512956,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,audit,D_protected,RAC1P,hist_gb_5,histgb,E_pca,False,False,True,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,,,0,150,,,,,,,,,0.6535859169671312,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",fixed_configuration,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
