seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,total_optimizer_steps,total_training_row_exposures,validation_auroc,validation_coverage_complete
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,10,120,0.6630909538918272,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,15,180,0.6614330067101571,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,20,240,0.6605919890471658,True,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,25,300,0.6613756968162147,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,30,360,0.662992612050727,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,35,420,0.6621315634587714,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,40,480,0.6643870304133664,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,45,540,0.6648853431873788,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,50,600,0.6702840006674492,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,55,660,0.6680894080621833,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,60,720,0.6705532662320552,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,65,780,0.674350981375666,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,70,840,0.6736819854195688,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,75,900,0.678520491158687,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,80,960,0.6787149220766655,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,85,1020,0.6808542479361991,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,90,1080,0.6828092563898536,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,95,1140,0.6840084297663793,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,100,1200,0.68895930029037,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,105,1260,0.689540706582111,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,110,1320,0.6978459426282458,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,115,1380,0.6964661612213638,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,120,1440,0.7008991249512171,False,1440,359160,,
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,0,0,0.6892816600937955,False,1440,359160,0.6490670068901548,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,5,60,0.6702261526073753,True,1440,359160,0.6586859002590324,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,10,120,0.671215191265372,False,1440,359160,0.6600390346233425,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,15,180,0.6728683899035036,False,1440,359160,0.6614555339645264,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,20,240,0.6784405045295175,False,1440,359160,0.6592719139458675,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,25,300,0.6810603008248916,False,1440,359160,0.6585793931702442,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,30,360,0.6857560524498452,False,1440,359160,0.6554331647794988,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,35,420,0.6911398214473099,False,1440,359160,0.653608612963126,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,40,480,0.6950457045341696,False,1440,359160,0.653106636515124,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,45,540,0.6976999554930661,False,1440,359160,0.6523763663915758,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,50,600,0.7035085202868254,False,1440,359160,0.6491753115669394,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,55,660,0.7095170422121767,False,1440,359160,0.6482953922426887,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,60,720,0.7127292700052127,False,1440,359160,0.648676031500932,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,65,780,0.7213067852214035,False,1440,359160,0.6456929342208624,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,70,840,0.7248730710100215,False,1440,359160,0.6453828502914789,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,75,900,0.7317009749904857,False,1440,359160,0.6443200263885918,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,80,960,0.7332484368780935,False,1440,359160,0.6427197236747733,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,85,1020,0.7423553858438239,False,1440,359160,0.6428352187035435,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,90,1080,0.7482531504357784,False,1440,359160,0.6404722892822412,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,95,1140,0.753536208094646,False,1440,359160,0.6406709227558463,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,100,1200,0.7599390620776192,False,1440,359160,0.6406754167258373,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,105,1260,0.7681874389523421,False,1440,359160,0.6413360303145239,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,110,1320,0.7743687363805165,False,1440,359160,0.6396570831258617,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,115,1380,0.7837226867173612,False,1440,359160,0.6375467148180571,True
0,audit,C_bottleneck,SEX,catchup,catchup,E_pca,False,False,True,True,False,False,2993,"[1512,1481]",True,False,120,1440,0.791708317744744,False,1440,359160,0.6359783192911751,True
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,0,0,2.1167401513466237,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,5,60,1.3084854741324674,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,10,120,1.26265218895735,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,15,180,1.2457722081061766,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,20,240,1.239070365363421,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,25,300,1.2361775064339866,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,30,360,1.2347928109558146,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,35,420,1.2342406850396348,True,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,40,480,1.2351468472991278,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,45,540,1.2355866704212186,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,50,600,1.2379926642595787,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,55,660,1.2394319636399909,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,60,720,1.2420484844308466,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,65,780,1.2449593277770976,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,70,840,1.2487092745325552,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,75,900,1.2516285620364374,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,80,960,1.256649064147374,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,85,1020,1.2614274245246098,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,90,1080,1.2663301057851648,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,95,1140,1.269505269669975,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,100,1200,1.274042548727606,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,105,1260,1.277562979401095,False,1440,359160,,
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,False,110,1320,1.2817207966552668,False,1440,359160,,
