family,left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,one_sided_upper_95_percentile,degenerate,adjusted_low,adjusted_high,critical_value,one_sided_critical_value,one_sided_upper_95_simultaneous
F2_neural_replication,J,L025,utility/same_residence,unweighted,-0.0014220650168544535,0.0021638641857413266,-0.011464145667574588,0.005034086431269902,0.0007374490364122704,-0.0029125613863576344,3.9195699304032284e-05,-0.00024006638229697353,False,-0.0036519484945899926,0.0008078184608810853,3.0237797700354228,2.6928126899483567,0.0005637471065866957
F2_neural_replication,J,L025,utility/same_residence,person_weighted,-0.0011503888224425236,0.00299230828281849,-0.011422116699563611,0.0049786419494175504,0.0009156064334278981,-0.0029692431138430737,0.0006162138625602197,0.0002859146382400515,False,-0.003918981033156088,0.0016182033882710409,3.0237797700354228,2.6928126899483567,0.0013151678004904765
F2_neural_replication,J,L025,recovery/A/SEX,unweighted,-0.0019012822322902966,-0.005670668424712413,0.0,-3.317827215847634e-05,0.001126130503126343,-0.004116236084520006,0.00013388756682638047,-8.466744680959179e-05,False,-0.0053064528660635435,0.0015038884014829507,3.0237797700354228,2.6928126899483567,0.0011311762770662465
F2_neural_replication,J,L025,recovery/A/SEX,person_weighted,-0.00275262296559174,-0.006272921273630119,0.0,-0.0019849476231451006,0.0013284633124913932,-0.005466299122189644,-0.0002949569986140703,-0.0006180317818732969,False,-0.006769603455137458,0.001264357523953978,3.0237797700354228,2.6928126899483567,0.0008246799004159107
F2_neural_replication,J,L025,recovery/AB/SEX,unweighted,-0.0042883320983574886,-0.004774482080695164,-3.516557414757343e-05,-0.008055348640229729,0.0014248486709938048,-0.0071300841951700885,-0.0014723380593268391,-0.0019329828823860331,False,-0.008596760685070414,2.0096488355436648e-05,3.0237797700354228,2.6928126899483567,-0.00045148151584931996
F2_neural_replication,J,L025,recovery/AB/SEX,person_weighted,-0.0029597702391946095,-0.0028411807431538445,0.0020330387444465418,-0.008071168718876526,0.0016379147092440791,-0.006249340222237407,0.00013599126743224575,-0.00038070771987591093,False,-0.007912463602050303,0.001992923123661084,3.0237797700354228,2.6928126899483567,0.0014508272749109157
F2_neural_replication,J,L025,recovery/A/RAC1P,unweighted,-0.001741524207470321,-0.004715418106652627,-0.004633620508274823,0.0041244659925164864,0.0013955705635168313,-0.004507881434771076,0.0008895064586691488,0.00047444200899490405,False,-0.005961422245089456,0.002478373830148814,3.0237797700354228,2.6928126899483567,0.002016485915686186
F2_neural_replication,J,L025,recovery/A/RAC1P,person_weighted,-0.002870301936952164,-0.0056246899917467875,-0.00718159898220096,0.004195383163091256,0.0015866760813039679,-0.006121039293825087,9.965943652753922e-05,-0.00038938026588416835,False,-0.007668060973198182,0.001927457099293854,3.0237797700354228,2.6928126899483567,0.001402319549620691
F2_neural_replication,J,L025,recovery/AB/RAC1P,unweighted,-0.00462417328482635,-0.004443922477822583,-0.00573363934766425,-0.0036949580289922165,0.0012399800910454207,-0.007022771037857889,-0.0020532844009473927,-0.002516428518094032,False,-0.008373599999376173,-0.000874746570276527,3.0237797700354228,2.6928126899483567,-0.0012851391603759242
F2_neural_replication,J,L025,recovery/AB/RAC1P,person_weighted,-0.005996114808697606,-0.0056451338774125975,-0.009934527082390593,-0.0024086834662896267,0.0014718341437313558,-0.008842043505822622,-0.0031526885616267666,-0.003553403030974865,False,-0.010446617117359894,-0.0015456125000353161,3.0237797700354228,2.6928126899483567,-0.0020327411489585306
F2_neural_replication,J,L20,utility/same_residence,unweighted,-0.0007539172251897671,0.007265526458830496,-0.010166911985183158,0.000639633850783361,0.0009451298725094352,-0.0025823277932502126,0.0010497433831874372,0.0007647575233387476,False,-0.003611781813739957,0.0021039473633604226,3.0237797700354228,2.6928126899483567,0.0017911404891529136
F2_neural_replication,J,L20,utility/same_residence,person_weighted,-0.001286748704128482,0.007293888193942388,-0.011399212793241076,0.00024507848691324163,0.0011303130550084357,-0.0034690025538924524,0.0009280138203642051,0.000614101754881469,False,-0.004704566453669927,0.0021310690454129626,3.0237797700354228,2.6928126899483567,0.0017569726340125294
F2_neural_replication,J,L20,recovery/A/SEX,unweighted,-0.0024475469015136624,-0.004356262114399397,0.0,-0.0029863785901415897,0.0013383372781446794,-0.005111702459611074,3.5915414277552324e-05,-0.0002812486070772572,False,-0.006494384088651816,0.0015992902856244908,3.0237797700354228,2.6928126899483567,0.0011563447045052741
F2_neural_replication,J,L20,recovery/A/SEX,person_weighted,-0.0024624966328017175,-0.006443723826400745,0.0,-0.0009437660720044072,0.0015296409968109973,-0.00552312600811545,0.00045304044132878817,9.42001008682491e-05,False,-0.007087794134375632,0.0021628008687721973,3.0237797700354228,2.6928126899483567,0.001656540054476192
F2_neural_replication,J,L20,recovery/AB/SEX,unweighted,-0.007117543312073301,-0.004154403746108664,-0.00559561363980671,-0.011602612550304528,0.001269796146905366,-0.009655429901386901,-0.0046184465701100425,-0.005114982410693388,False,-0.010957127213154675,-0.003277959410991927,3.0237797700354228,2.6928126899483567,-0.0036982201340390033
F2_neural_replication,J,L20,recovery/AB/SEX,person_weighted,-0.006106660949437769,-0.0024540341726552485,-0.0027359869865067193,-0.013129961689151337,0.001508446143780584,-0.009104520392444793,-0.0031169060991737326,-0.0036869207324867863,False,-0.010667869883189445,-0.0015454520156860923,3.0237797700354228,2.6928126899483567,-0.0020446980313617476
F2_neural_replication,J,L20,recovery/A/RAC1P,unweighted,-0.0006578266224952615,-0.009179878180633042,0.002174942247116368,0.005031456066030889,0.0013452861598470982,-0.003193187745629752,0.002043685691758532,0.0016369361091044302,False,-0.00472567569754956,0.0034100224525590375,3.0237797700354228,2.6928126899483567,0.002964777020352901
F2_neural_replication,J,L20,recovery/A/RAC1P,person_weighted,-0.003133133985183379,-0.01321367174070727,-0.001710060636042312,0.005524330421199444,0.0016859590522421608,-0.0064630921780200945,9.068771037387974e-05,-0.00035391464702562827,False,-0.008231102860461317,0.0019648348900945583,3.0237797700354228,2.6928126899483567,0.0014068379454276131
F2_neural_replication,J,L20,recovery/AB/RAC1P,unweighted,-0.009363611062103464,-0.013269848568637499,-0.005854463165047806,-0.008966521452625088,0.001323201442416023,-0.011969212498242555,-0.006861077337226584,-0.007162591262902457,False,-0.013364680815362726,-0.005362541308844202,3.0237797700354228,2.6928126899483567,-0.005800477426607628
F2_neural_replication,J,L20,recovery/AB/RAC1P,person_weighted,-0.007161485406929909,-0.01084258824955938,-0.0063547395085418595,-0.004287128462688486,0.0015327296868361444,-0.010117715497279052,-0.004060063824096953,-0.004585598158421371,False,-0.011796122426917771,-0.002526848386942046,3.0237797700354228,2.6928126899483567,-0.0030341314559569673
F3_secondary,spectral_C1,J,utility/same_residence,unweighted,-0.009316138012003372,-0.014133227539697257,-0.0020465070164427113,-0.011768679479870148,0.002083094814289545,-0.013468389998714048,-0.005215153040033342,-0.005828708069427702,False,-0.014999834014617894,-0.0036324420093888496,2.728486463326437,2.532745039709851,-0.004040189953866213
F3_secondary,spectral_C1,J,utility/same_residence,person_weighted,-0.008147583500035582,-0.014133843955129288,0.00022623877545596693,-0.010535145320433426,0.002567397185927669,-0.013256447308442254,-0.003066731485328985,-0.0039544776520214295,False,-0.015152691967821617,-0.0011424750322495472,2.728486463326437,2.532745039709851,-0.0016450210124122457
F3_secondary,spectral_C1,J,recovery/A/SEX,unweighted,0.013008799019867352,0.02005023987083674,0.0034428663527038238,0.015533290836061487,0.002006337674645335,0.009132686880013188,0.017040836955016323,0.0163841266678754,False,0.00753453383373571,0.018483064205998996,2.728486463326437,2.532745039709851,0.018090340813308327
