mode,scope,budget,weight,interface,residence_gain_vs_H,residence_gain_low,residence_gain_high,absolute/A/SEX,H_baseline/A/SEX,additional/A/SEX,absolute/AB/SEX,H_baseline/AB/SEX,additional/AB/SEX,absolute/A/RAC1P,H_baseline/A/RAC1P,additional/A/RAC1P,absolute/AB/RAC1P,H_baseline/AB/RAC1P,additional/AB/RAC1P,absolute/B/SEX,H_baseline/B/SEX,additional/B/SEX,absolute/B/RAC1P,H_baseline/B/RAC1P,additional/B/RAC1P
A,kernel_expanded_catchup,360,person_weighted,L20,0.016654871748235878,0.012882923556825835,0.02061637865825027,0.001480061888290983,0.00795434500001494,-0.006474283111723956,0.014452669035588736,0.008501826308126133,0.005950842727462604,0.018609197851559577,0.015797050637937734,0.0028121472136218434,0.04067802685260913,0.030030284560922344,0.010647742291686784,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,J,0.017699408660289278,0.014178822806526522,0.021293223000476647,0.003084063649942117,0.00795434500001494,-0.004870281350072822,0.008831375883254335,0.008501826308126133,0.00032954957512820217,0.025265285621044863,0.015797050637937734,0.00946823498310713,0.0346810224780997,0.030030284560922344,0.0046507379171773534,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_S0,0.02958591874105624,0.023125559473059325,0.03590808569509214,0.0339147028661538,0.00795434500001494,0.02596035786613886,0.03499888089721322,0.008501826308126133,0.02649705458908709,0.0795843098950685,0.015797050637937734,0.06378725925713076,0.07882510316696094,0.030030284560922344,0.0487948186060386,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_M025,0.0273246996063818,0.022014299733779923,0.03248961634134968,0.02665021262401143,0.00795434500001494,0.01869586762399649,0.028919283280618924,0.008501826308126133,0.02041745697249279,0.06985836945663107,0.015797050637937734,0.05406131881869333,0.06956596477558237,0.030030284560922344,0.03953568021466003,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_M1,0.02995051547690325,0.023465048231930217,0.03624532232009922,0.0251072737944452,0.00795434500001494,0.017152928794430262,0.026563695163170975,0.008501826308126133,0.018061868855044842,0.06578950969836427,0.015797050637937734,0.04999245906042653,0.06602262608526106,0.030030284560922344,0.03599234152433872,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_L025,0.028657181932860785,0.021682852706506883,0.03526261894624399,0.02786448399767337,0.00795434500001494,0.01991013899765843,0.02896305638394268,0.008501826308126133,0.020461230075816548,0.07070826547959379,0.015797050637937734,0.05491121484165605,0.07368015685989772,0.030030284560922344,0.04364987229897538,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_L1,0.026352215133798852,0.01962670190622313,0.03272453642153218,0.023399724376567455,0.00795434500001494,0.015445379376552515,0.0248433837547662,0.008501826308126133,0.01634155744664007,0.0582868064242729,0.015797050637937734,0.04248975578633517,0.06401031809955299,0.030030284560922344,0.03398003353863065,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_C025,0.028309082527758083,0.02134676404302096,0.03494045595608991,0.026330863290066796,0.00795434500001494,0.01837651829005186,0.02675874109577206,0.008501826308126133,0.018256914787645927,0.06368341003149465,0.015797050637937734,0.04788635939355691,0.0683809873465558,0.030030284560922344,0.03835070278563346,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_C1,0.026205015002290853,0.020312696238852207,0.03169429931698918,0.019828949741153703,0.00795434500001494,0.011874604741138764,0.02084699501166665,0.008501826308126133,0.012345168703540518,0.04547067636595955,0.015797050637937734,0.029673625728021815,0.04932984716972048,0.030030284560922344,0.019299562608798133,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,spectral_L2,0.025817811475949026,0.01975462600423763,0.0316054645447574,0.020588385076214733,0.00795434500001494,0.012634040076199794,0.021481598128094696,0.008501826308126133,0.012979771819968563,0.05299099592863088,0.015797050637937734,0.03719394529069314,0.057198731109765415,0.030030284560922344,0.02716844654884307,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
