mode,condition,seed,weight,residence_gain_vs_H,residence_loss,pca32_residence_loss,best_bank_residence_loss,half_headroom_pass,source_excess_income_binary,source_excess_civilian_at_work,source_excess_public_coverage,source_allowance_pass
B,spectral_S0,0,person_weighted,0.027343619882325587,0.49531881949772516,0.4862819636501566,0.5055070918984559,True,-0.012768112648613161,-0.0021286361357094052,-0.004448557076482285,True
B,spectral_S0,1,unweighted,0.027000399212721127,0.5150822086740082,0.5018166121519154,0.528971550013074,True,-0.001485187261506371,0.002754839208011506,-0.00531500017019465,True
B,spectral_S0,1,person_weighted,0.021549170597575107,0.4994014036677754,0.48708809737077435,0.5112066753757144,False,-0.004286492203345149,0.0039042730266967696,-0.004584058848469241,True
B,spectral_S0,2,unweighted,0.03365346479975628,0.5117967720765142,0.5010528039666508,0.5213934708300845,False,-0.0011742556137967486,-0.0005083841891391216,-0.002309216102091116,True
B,spectral_S0,2,person_weighted,0.02994434158663134,0.4945436219348733,0.48411397765274866,0.5031477112267765,False,-0.001664730832111383,0.0009573267315187706,-0.0018739719958760226,True
B,spectral_M025,0,unweighted,0.02784148588232338,0.5153255495581757,0.5023152323020558,0.5229011915563391,False,-0.013794217863198122,-0.0046307958692640705,-0.004641033835220187,True
B,spectral_M025,0,person_weighted,0.025716971693456436,0.4969454676865943,0.4862819636501566,0.5055070918984559,False,-0.014031567697931513,-0.0023277286805405972,-0.004448557076482285,True
B,spectral_M025,1,unweighted,0.028268373827555093,0.5138142340591743,0.5018166121519154,0.528971550013074,True,-0.0027291703908413067,0.004179610997136318,-0.00531500017019465,True
B,spectral_M025,1,person_weighted,0.023956312542667002,0.4969942617226835,0.48708809737077435,0.5112066753757144,True,-0.005783932559316418,0.004951539452256626,-0.004584058848469241,True
B,spectral_M025,2,unweighted,0.03276109090701573,0.5126891459692547,0.5010528039666508,0.5213934708300845,False,-0.003630899522506559,0.0010707123995659096,-0.002309216102091116,True
B,spectral_M025,2,person_weighted,0.03010453303714794,0.4943834304843567,0.48411397765274866,0.5031477112267765,False,-0.0038488200787499816,0.002392881795609758,-0.0018739719958760226,True
B,spectral_M1,0,unweighted,0.02809056226607165,0.5150764731744274,0.5023152323020558,0.5229011915563391,False,-0.012878296659496191,-0.002247174196089108,-0.004641033835220187,True
B,spectral_M1,0,person_weighted,0.025456562424230944,0.4972058769558198,0.4862819636501566,0.5055070918984559,False,-0.013560688443874425,-0.0007784247430110969,-0.004448557076482285,True
B,spectral_M1,1,unweighted,0.028123629918872517,0.5139589779678568,0.5018166121519154,0.528971550013074,True,-0.001790091651095782,0.005812321792213637,-0.00531500017019465,True
B,spectral_M1,1,person_weighted,0.02362140321186168,0.49732917105348884,0.48708809737077435,0.5112066753757144,True,-0.0045990161058088175,0.007478148845227961,-0.004584058848469241,True
B,spectral_M1,2,unweighted,0.03319377257028189,0.5122564643059886,0.5010528039666508,0.5213934708300845,False,-0.0009478757650570047,-0.0001358144624371005,-0.002309216102091116,True
B,spectral_M1,2,person_weighted,0.031095440909390037,0.4933925226121146,0.48411397765274866,0.5031477112267765,True,-0.0018352096846659949,0.0005743418746842477,-0.0018739719958760226,True
B,spectral_L025,0,unweighted,0.02962978759756385,0.5135372478429352,0.5023152323020558,0.5229011915563391,False,-0.011641184362733092,-0.00549194832775568,-0.004641033835220187,True
B,spectral_L025,0,person_weighted,0.025811615868612803,0.49685082351143794,0.4862819636501566,0.5055070918984559,False,-0.012209726622005701,-0.003323938186405473,-0.004448557076482285,True
B,spectral_L025,1,unweighted,0.027926579149710085,0.5141560287370193,0.5018166121519154,0.528971550013074,True,-0.0004852514126290064,0.004129134927021827,-0.00531500017019465,True
B,spectral_L025,1,person_weighted,0.023233471387744675,0.49771710287760584,0.48708809737077435,0.5112066753757144,True,-0.003066597383356018,0.006132986006136709,-0.004584058848469241,True
B,spectral_L025,2,unweighted,0.03205300279675538,0.5133972340795151,0.5010528039666508,0.5213934708300845,False,-0.005168726790076128,-0.0004909615306160076,-0.002309216102091116,True
B,spectral_L025,2,person_weighted,0.029543893545955102,0.4949440699755495,0.48411397765274866,0.5031477112267765,False,-0.006549800771094905,0.0005215455977546912,-0.0018739719958760226,True
B,spectral_L1,0,unweighted,0.028059227151248423,0.5151078082892506,0.5023152323020558,0.5229011915563391,False,-0.009498492637288969,-0.00047319269940798714,-0.004641033835220187,True
B,spectral_L1,0,person_weighted,0.025178019865862544,0.4974844195141882,0.4862819636501566,0.5055070918984559,False,-0.010994798537829198,-0.0002544903993462744,-0.004448557076482285,True
B,spectral_L1,1,unweighted,0.02825833642272757,0.5138242714640018,0.5018166121519154,0.528971550013074,True,0.0005255121137555663,0.004870452098259925,-0.00531500017019465,True
B,spectral_L1,1,person_weighted,0.023627165157956154,0.49732340910739437,0.48708809737077435,0.5112066753757144,True,-0.0020057083128355857,0.006310152114534784,-0.004584058848469241,True
B,spectral_L1,2,unweighted,0.02915595713358088,0.5162942797426896,0.5010528039666508,0.5213934708300845,False,-0.005093580612957005,-0.0006092768635421741,-0.002309216102091116,True
B,spectral_L1,2,person_weighted,0.02728272447295771,0.4972052390485469,0.48411397765274866,0.5031477112267765,False,-0.0060967159881699096,-0.00011156814879981214,-0.0018739719958760226,True
B,spectral_C025,0,unweighted,0.02979964223596432,0.5133673932045347,0.5023152323020558,0.5229011915563391,False,-0.01144016023820621,-0.004143266729672357,-0.004641033835220187,True
B,spectral_C025,0,person_weighted,0.02692433787556059,0.49573810150449016,0.4862819636501566,0.5055070918984559,True,-0.011382861748900297,-0.0020704467514533476,-0.004448557076482285,True
B,spectral_C025,1,unweighted,0.02815920609017053,0.5139234017965588,0.5018166121519154,0.528971550013074,True,0.0006690500580883163,0.002856076609531466,-0.00531500017019465,True
B,spectral_C025,1,person_weighted,0.024336050590489267,0.49661452367486125,0.48708809737077435,0.5112066753757144,True,-0.0016054461207617998,0.0050931794667634644,-0.004584058848469241,True
B,spectral_C025,2,unweighted,0.030535161464931626,0.5149150754113389,0.5010528039666508,0.5213934708300845,False,-0.0052279802199446945,-0.00017633100420200165,-0.002309216102091116,True
B,spectral_C025,2,person_weighted,0.027998190284519164,0.49648977323698545,0.48411397765274866,0.5031477112267765,False,-0.00644619455237716,0.0006160936797487415,-0.0018739719958760226,True
B,spectral_C1,0,unweighted,0.027519534431815762,0.5156475010086833,0.5023152323020558,0.5229011915563391,False,-0.008811869904139957,9.374614558038674e-05,-0.004641033835220187,True
B,spectral_C1,0,person_weighted,0.025260840408546703,0.49740159897150404,0.4862819636501566,0.5055070918984559,False,-0.010110371853689237,0.0014844474658229356,-0.004448557076482285,True
B,spectral_C1,1,unweighted,0.027825571904755764,0.5142570359819736,0.5018166121519154,0.528971550013074,True,0.004297411944691798,0.005086927105827199,-0.00531500017019465,True
B,spectral_C1,1,person_weighted,0.023629548314568483,0.49732102595078204,0.48708809737077435,0.5112066753757144,True,0.0013637636149231858,0.006183388049857685,-0.004584058848469241,True
B,spectral_C1,2,unweighted,0.029259316220397902,0.5161909206558726,0.5010528039666508,0.5213934708300845,False,-0.003800375414471202,0.0004752447283549732,-0.002309216102091116,True
B,spectral_C1,2,person_weighted,0.026899390876615414,0.4975885726448892,0.48411397765274866,0.5031477112267765,False,-0.005662911288440153,8.319304384352133e-05,-0.0018739719958760226,True
B,spectral_L2,0,unweighted,0.028759778645877865,0.5144072567946212,0.5023152323020558,0.5229011915563391,False,-0.009153650915598222,-0.00018220841938004773,-0.004641033835220187,True
