mode,scope,seed,condition,endpoint,weight,selected_minus_routed_H_selected
B,transport_all,1,spectral_L1,A/RAC1P,person_weighted,-0.05606486358139451
B,transport_all,1,spectral_L1,AB/SEX,unweighted,-0.01077979233573656
B,transport_all,1,spectral_L1,AB/SEX,person_weighted,-0.01548121401556335
B,transport_all,1,spectral_L1,AB/RAC1P,unweighted,-0.05103831483247401
B,transport_all,1,spectral_L1,AB/RAC1P,person_weighted,-0.045787433592265
B,transport_all,1,spectral_C025,A/SEX,unweighted,-0.014818709915306871
B,transport_all,1,spectral_C025,A/SEX,person_weighted,-0.017890040501587712
B,transport_all,1,spectral_C025,A/RAC1P,unweighted,-0.0593736379608889
B,transport_all,1,spectral_C025,A/RAC1P,person_weighted,-0.05421704733314847
B,transport_all,1,spectral_C025,AB/SEX,unweighted,-0.013142886727722902
B,transport_all,1,spectral_C025,AB/SEX,person_weighted,-0.016971151641757776
B,transport_all,1,spectral_C025,AB/RAC1P,unweighted,-0.05605884242870296
B,transport_all,1,spectral_C025,AB/RAC1P,person_weighted,-0.05168156563542281
B,transport_all,1,spectral_C1,A/SEX,unweighted,-0.003442866352703855
B,transport_all,1,spectral_C1,A/SEX,person_weighted,-0.0009678733310054533
B,transport_all,1,spectral_C1,A/RAC1P,unweighted,-0.04621955706560543
B,transport_all,1,spectral_C1,A/RAC1P,person_weighted,-0.0392785749851261
B,transport_all,1,spectral_C1,AB/SEX,unweighted,-0.0014002022171637485
B,transport_all,1,spectral_C1,AB/SEX,person_weighted,-0.0011812646382770575
B,transport_all,1,spectral_C1,AB/RAC1P,unweighted,-0.040132649149522415
B,transport_all,1,spectral_C1,AB/RAC1P,person_weighted,-0.03768959252560378
B,transport_all,1,spectral_L2,A/SEX,unweighted,-0.008522446109155202
B,transport_all,1,spectral_L2,A/SEX,person_weighted,-0.011374120183384795
B,transport_all,1,spectral_L2,A/RAC1P,unweighted,-0.05359940158347354
B,transport_all,1,spectral_L2,A/RAC1P,person_weighted,-0.048436878306132414
B,transport_all,1,spectral_L2,AB/SEX,unweighted,-0.007377771472375505
B,transport_all,1,spectral_L2,AB/SEX,person_weighted,-0.00915859752487791
B,transport_all,1,spectral_L2,AB/RAC1P,unweighted,-0.04399934588981891
B,transport_all,1,spectral_L2,AB/RAC1P,person_weighted,-0.04111412176640594
B,transport_all,2,E,A/SEX,unweighted,-0.02682513052661628
B,transport_all,2,E,A/SEX,person_weighted,-0.02475099211334919
B,transport_all,2,E,A/RAC1P,unweighted,-0.07375839710976373
B,transport_all,2,E,A/RAC1P,person_weighted,-0.06802201637674288
B,transport_all,2,E,AB/SEX,unweighted,-0.021089485470619396
B,transport_all,2,E,AB/SEX,person_weighted,-0.021464450535226054
B,transport_all,2,E,AB/RAC1P,unweighted,-0.06217080576898115
B,transport_all,2,E,AB/RAC1P,person_weighted,-0.056495761217901785
B,transport_all,2,A0,A/SEX,unweighted,-0.03280791932173355
B,transport_all,2,A0,A/SEX,person_weighted,-0.026659954392482477
B,transport_all,2,A0,A/RAC1P,unweighted,-0.0602134944910262
B,transport_all,2,A0,A/RAC1P,person_weighted,-0.05369821270916719
B,transport_all,2,A0,AB/SEX,unweighted,-0.029350500045100647
B,transport_all,2,A0,AB/SEX,person_weighted,-0.026468681540230743
B,transport_all,2,A0,AB/RAC1P,unweighted,-0.05248960087493604
B,transport_all,2,A0,AB/RAC1P,person_weighted,-0.04761795119228229
B,transport_all,2,L025,A/SEX,unweighted,-0.004355258757592351
B,transport_all,2,L025,A/SEX,person_weighted,-0.0020497741811955628
B,transport_all,2,L025,A/RAC1P,unweighted,-0.008974737756461737
B,transport_all,2,L025,A/RAC1P,person_weighted,-0.008104984675633142
B,transport_all,2,L025,AB/SEX,unweighted,-0.011456076216472266
B,transport_all,2,L025,AB/SEX,person_weighted,-0.008151164256847698
B,transport_all,2,L025,AB/RAC1P,unweighted,-0.013905393511804753
B,transport_all,2,L025,AB/RAC1P,person_weighted,-0.011704613331608993
B,transport_all,2,L20,A/SEX,unweighted,-0.007308459075575424
B,transport_all,2,L20,A/SEX,person_weighted,-0.0010085926300549275
B,transport_all,2,L20,A/RAC1P,unweighted,-0.00806774768294738
B,transport_all,2,L20,A/RAC1P,person_weighted,-0.006776037417524972
B,transport_all,2,L20,AB/SEX,unweighted,-0.015003340126547138
B,transport_all,2,L20,AB/SEX,person_weighted,-0.013209957227122482
B,transport_all,2,L20,AB/RAC1P,unweighted,-0.01917695693543764
B,transport_all,2,L20,AB/RAC1P,person_weighted,-0.013583058328007658
B,transport_all,2,J,A/SEX,unweighted,-0.00432208048543381
B,transport_all,2,J,A/SEX,person_weighted,-6.48265580504015e-05
B,transport_all,2,J,A/RAC1P,unweighted,-0.013099203748978105
B,transport_all,2,J,A/RAC1P,person_weighted,-0.012300367838724346
B,transport_all,2,J,AB/SEX,unweighted,-0.003400727576242546
B,transport_all,2,J,AB/SEX,person_weighted,-7.99955379712225e-05
B,transport_all,2,J,AB/RAC1P,unweighted,-0.01021043548281253
B,transport_all,2,J,AB/RAC1P,person_weighted,-0.00929592986531902
B,transport_all,2,spectral_S0,A/SEX,unweighted,-0.03394457405742213
B,transport_all,2,spectral_S0,A/SEX,person_weighted,-0.031010106907090718
B,transport_all,2,spectral_S0,A/RAC1P,unweighted,-0.07182461982529231
B,transport_all,2,spectral_S0,A/RAC1P,person_weighted,-0.0677137784939763
B,transport_all,2,spectral_S0,AB/SEX,unweighted,-0.028977022748290282
B,transport_all,2,spectral_S0,AB/SEX,person_weighted,-0.028132850415183874
B,transport_all,2,spectral_S0,AB/RAC1P,unweighted,-0.062394692777540284
B,transport_all,2,spectral_S0,AB/RAC1P,person_weighted,-0.057252039605176774
