seed,condition,kind,endpoint,budget,scope,weight,candidate_id,candidate_path,value,pass,status,reason
0,H,audit,A/RAC1P,360,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,360,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,360,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,360,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,360,expanded_catchup,unweighted,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/saved_start/nested360/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/RAC1P,360,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/RAC1P/saved_start/nested360/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,360,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,360,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,360,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,360,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,360,expanded_catchup,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/income_binary,360,expanded_catchup,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/income_binary/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,360,standard_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested360/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,360,standard_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested360/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,360,expanded_independent,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested360/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,360,expanded_independent,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested360/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,360,expanded_catchup,unweighted,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested360/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/civilian_at_work,360,expanded_catchup,PWGTP,wire__mlp_0,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/civilian_at_work/fresh/nested360/mlp_0,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,360,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,B/same_residence,360,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/B/same_residence/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
