left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,degenerate,adjusted_low,adjusted_high,family,critical_value
J,L025,recovery/AB/RAC1P,unweighted,-0.004624173284826344,-0.004443922477822375,-0.005733639347664243,-0.003694958028992411,0.0012399800910454163,-0.007022771037857822,-0.0020532844009472488,False,-0.008373599999376185,-0.0008747465702765014,F2_neural_replication,3.023779770035448
J,L025,recovery/AB/RAC1P,person_weighted,-0.005996114808697626,-0.0056451338774126045,-0.009934527082390572,-0.002408683466289703,0.0014718341437313554,-0.008842043505822603,-0.0031526885616268633,False,-0.010446617117359943,-0.0015456125000353092,F2_neural_replication,3.023779770035448
J,L20,utility/same_residence,unweighted,-0.0007539172251906554,0.00726552645882883,-0.01016691198518438,0.000639633850783583,0.0009451298725094748,-0.0025823277932500222,0.0010497433831867969,False,-0.003611781813740989,0.0021039473633596784,F2_neural_replication,3.023779770035448
J,L20,utility/same_residence,person_weighted,-0.001286748704128297,0.007293888193941389,-0.011399212793241076,0.00024507848691479595,0.00113031305500848,-0.003469002553892385,0.000928013820364757,False,-0.004704566453669898,0.0021310690454133044,F2_neural_replication,3.023779770035448
J,L20,recovery/A/SEX,unweighted,-0.0024475469015136572,-0.004356262114399372,0.0,-0.0029863785901415984,0.0013383372781446805,-0.005111702459611064,3.591541427756051e-05,False,-0.006494384088651849,0.0015992902856245342,F2_neural_replication,3.023779770035448
J,L20,recovery/A/SEX,person_weighted,-0.0024624966328016984,-0.006443723826400707,0.0,-0.000943766072004389,0.0015296409968109984,-0.0055231260081154395,0.00045304044132878784,False,-0.007087794134375653,0.0021628008687722563,F2_neural_replication,3.023779770035448
J,L20,recovery/AB/SEX,unweighted,-0.007117543312073269,-0.00415440374610861,-0.005595613639806599,-0.011602612550304599,0.0012697961469053643,-0.009655429901386866,-0.004618446570110012,False,-0.010957127213154668,-0.0032779594109918703,F2_neural_replication,3.023779770035448
J,L20,recovery/AB/SEX,person_weighted,-0.006106660949437749,-0.002454034172655238,-0.002735986986506714,-0.013129961689151294,0.001508446143780585,-0.00910452039244481,-0.003116906099173704,False,-0.010667869883189466,-0.0015454520156860324,F2_neural_replication,3.023779770035448
J,L20,recovery/A/RAC1P,unweighted,-0.0006578266224952698,-0.009179878180633066,0.002174942247116299,0.005031456066030959,0.001345286159847101,-0.003193187745629744,0.0020436856917585822,False,-0.0047256756975496104,0.0034100224525590705,F2_neural_replication,3.023779770035448
J,L20,recovery/A/RAC1P,person_weighted,-0.0031331339851833444,-0.013213671740707218,-0.0017100606360423015,0.005524330421199486,0.0016859590522421608,-0.006463092178020127,9.068771037384367e-05,False,-0.008231102860461324,0.0019648348900946355,F2_neural_replication,3.023779770035448
J,L20,recovery/AB/RAC1P,unweighted,-0.009363611062103358,-0.01326984856863734,-0.00585446316504766,-0.008966521452625074,0.001323201442416025,-0.01196921249824241,-0.006861077337226487,False,-0.013364680815362656,-0.005362541308844061,F2_neural_replication,3.023779770035448
J,L20,recovery/AB/RAC1P,person_weighted,-0.007161485406929897,-0.010842588249559429,-0.006354739508541797,-0.004287128462688465,0.0015327296868361436,-0.010117715497279248,-0.004060063824097009,False,-0.011796122426917799,-0.0025268483869419966,F2_neural_replication,3.023779770035448
spectral_C1,J,utility/same_residence,unweighted,-0.009316138012003114,-0.014133227539696591,-0.0020465070164430443,-0.011768679479869704,0.002083094814289557,-0.013468389998714591,-0.0052151530400345305,False,-0.01499983401461823,-0.003632442009387998,F3_secondary,2.728486463326703
spectral_C1,J,utility/same_residence,person_weighted,-0.008147583500035915,-0.014133843955128733,0.00022623877545557836,-0.010535145320434591,0.0025673971859276664,-0.013256447308442571,-0.003066731485328857,False,-0.01515269196782263,-0.0011424750322492003,F3_secondary,2.728486463326703
spectral_C1,J,recovery/A/SEX,unweighted,0.013008799019867368,0.020050239870836723,0.00344286635270385,0.015533290836061532,0.0020063376746453344,0.009132686880013199,0.017040836955016316,False,0.007534533833735201,0.018483064205999534,F3_secondary,2.728486463326703
spectral_C1,J,recovery/A/SEX,person_weighted,0.014394555268012223,0.02474634111249791,0.0009678733310052434,0.017469451360533513,0.0024349085162123094,0.00981470700372456,0.01943606409672769,False,0.00775094034208803,0.021038170193936417,F3_secondary,2.728486463326703
spectral_C1,J,recovery/AB/SEX,unweighted,0.006965726546809788,0.00877797873400947,0.0014002022171637658,0.010718998689256128,0.001998485438399402,0.0030818577792330196,0.010892184369067089,False,0.0015128860809814834,0.012418567012638092,F3_secondary,2.728486463326703
spectral_C1,J,recovery/AB/SEX,person_weighted,0.00892698628455923,0.011431953412910895,0.0011812646382771703,0.014167740802489625,0.002421191319723041,0.004414729793366624,0.013887813670827906,False,0.0023207985435707923,0.015533174025547668,F3_secondary,2.728486463326703
spectral_C1,J,recovery/A/RAC1P,unweighted,0.0376723696672678,0.04278886183595329,0.038265356228334324,0.03196289093751579,0.003029944273637109,0.03179321435292746,0.043603892129122544,False,0.029405207732014688,0.045939531602520914,F3_secondary,2.728486463326703
spectral_C1,J,recovery/A/RAC1P,person_weighted,0.03422174596917063,0.04228392737861221,0.033670190262852076,0.0267111202660476,0.003680034673085343,0.027137352318829508,0.041653565398653405,False,0.024180821179084357,0.044262670759256904,F3_secondary,2.728486463326703
spectral_C1,J,recovery/AB/RAC1P,unweighted,0.032679422719138686,0.033033747057527874,0.031822040854038176,0.03318248024585,0.00280014488558418,0.02733060852030728,0.03809614713254773,False,0.02503926530346874,0.04031958013480863,F3_secondary,2.728486463326703
spectral_C1,J,recovery/AB/RAC1P,person_weighted,0.02902748581202505,0.029588717513803306,0.02971133019004738,0.027782409732224463,0.0033781834321449096,0.02260960162708418,0.03586077591693066,False,0.01981015804678312,0.03824481357726698,F3_secondary,2.728486463326703
spectral_C1,spectral_L1,utility/same_residence,unweighted,0.0009359618424920426,0.0029965195304650916,0.000658230652256564,-0.0008468646552455272,0.0005592988916875673,-0.00010593100475890699,0.002062162674953029,False,-0.0008569650366300565,0.0027288887216141418,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,utility/same_residence,person_weighted,0.00014720013150750405,0.00011460708630040006,0.0012594046937663972,-0.000932411385544285,0.0007388622955043754,-0.0012879512556554335,0.0016206533173693692,False,-0.002221347507810297,0.0025157477708253055,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/A/SEX,unweighted,-0.0031818872563938137,-0.003055078736265999,-0.004551489299408164,-0.0019390937335072786,0.0006150428035778077,-0.004403058539261864,-0.0019905511055540504,False,-0.005153510641911385,-0.0012102638708762427,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/A/SEX,person_weighted,-0.003570774635413763,-0.0026192648270676605,-0.004705769669914435,-0.003387289409259194,0.0007363187414753933,-0.005002841808897405,-0.0022100207168191653,False,-0.005931168483521107,-0.001210380787306418,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/AB/SEX,unweighted,-0.004158481909409481,-0.002512415474886169,-0.005429365142755674,-0.004533665110586602,0.0006506812998077841,-0.005415179003002514,-0.002844276055987528,False,-0.006244350502224744,-0.0020726133165942183,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/AB/SEX,person_weighted,-0.003996388743099544,-0.0033827589522334167,-0.005230666813084064,-0.0033757404639811507,0.0007920791233373629,-0.0054816150692074015,-0.002364402233817151,False,-0.006535531894873103,-0.001457245591325984,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/A/RAC1P,unweighted,-0.011977571271887222,-0.01011334506745979,-0.015339984459988895,-0.010479384288212983,0.0011163865712914783,-0.014103897779209769,-0.009724054495017693,False,-0.015556336617050064,-0.00839880592672438,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/A/RAC1P,person_weighted,-0.012816130058313363,-0.012067827241129168,-0.01621773896415015,-0.01016282396966077,0.0012936561413428255,-0.015381679614816894,-0.01037620186279894,False,-0.01696316289286187,-0.008669097223764854,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/AB/RAC1P,unweighted,-0.012839021064360214,-0.005401076881928285,-0.017605745635503996,-0.015510240675648358,0.0010615408062237936,-0.014915972955190409,-0.010799439326930045,False,-0.016241969064169193,-0.009436073064551236,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L1,recovery/AB/RAC1P,person_weighted,-0.014680470929832599,-0.00860240314556402,-0.017596710891382164,-0.01784229875255161,0.0012870898397626747,-0.01720596691299727,-0.01218223980318301,False,-0.018806454377775048,-0.01055448748189015,F4_frozen_transfer,3.2056685714364974
