beta,seed,release,split,rank,rank_tolerance,metric,coordinate,value
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,2,0.4139776146995287
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,3,0.36216302670316664
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,4,0.27974940162389894
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,5,0.08199191241893114
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,6,0.25338726265951905
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,7,0.14083860235881412
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,8,0.10553901246082385
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,9,0.14908351076525397
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,10,0.05378646784962975
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,11,0.07090567284861661
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,12,0.06693567178642744
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,13,0.03253146756817619
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,14,0.049785229917064945
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,15,0.04127675066673276
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,0,0.15691650156784356
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,1,0.20133285995841277
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,2,0.21640457087017073
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,3,0.21930878359428946
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,4,0.20372245188588967
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,5,0.058852412400311895
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,6,0.1562456589468975
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,7,0.07116574970047113
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,8,0.08766657330944048
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,9,0.0848329557379952
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,10,0.03600805605796779
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,11,0.04471733375447117
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,12,0.05127129808987743
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,13,0.023367348414884196
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,14,0.041397742587236865
beta_0p1,0,beta_0p1_W,fit,17,1e-12,affine_per_coordinate_mse,15,0.02877980027771853
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,0,1.000000000000006
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,1,1.0000000000000002
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,2,0.9999999999999978
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,3,0.999999999999986
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,4,1.000000000000003
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,5,0.9999999999999908
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,6,0.999999999999999
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,7,1.0000000000000022
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,8,0.9999999999999969
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,9,0.9999999999999991
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,10,0.9999999999999928
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,11,1.0000000000000016
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,12,1.000000000000004
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,13,0.999999999999999
