seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,validation_auroc,validation_coverage_complete
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,10,120,0.6692407053817317,True,0.6541669887345161,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,15,180,0.6705073171625304,False,0.651154455951005,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,20,240,0.6716166603307829,False,0.6505091218602879,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,25,300,0.6725203806205948,False,0.6502565607467898,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,30,360,0.6739199047685037,False,0.6496157206260639,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,35,420,0.6757488924184727,False,0.6492674379517563,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,40,480,0.6771534531107141,False,0.6485344714462135,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,45,540,0.6790033896404022,False,0.6480904672110962,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,50,600,0.6829721294512712,False,0.6467265473188075,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,55,660,0.6854560668648011,False,0.6475943329240825,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,60,720,0.6869686364523833,False,0.6482504525427781,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,65,780,0.6904493258889121,False,0.6464978042462624,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,70,840,0.693766956858351,False,0.64739435125948,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,75,900,0.697766562725532,False,0.6443353058865614,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,80,960,0.7007699652635392,False,0.6431466508239245,True
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,85,1020,0.7054887221091551,False,0.644409456391414,True
