seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation,0,2434,2434.0,0.8156836461126006,2447,2447.0,0.9125459746628525,0.9174198849630238,0.9149764392542512,0.9020280869500261,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation,1,550,550.0,0.18431635388739948,537,537.0,0.6256983240223464,0.610909090909091,0.6182152713891444,0.9020280869500261,True,True,,396,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation,0,2439,2439.0,0.817907444668008,2479,2479.0,0.90883420734167,0.923739237392374,0.9162261081740545,0.8995535259219996,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation,1,543,543.0,0.18209255533199195,503,503.0,0.6302186878727635,0.583793738489871,0.6061185468451242,0.8995535259219996,True,True,,396,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2447,292601.0,0.914740551125936,0.9293315787463499,0.92197833994709,0.9069482112689411,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation_person_weighted,1,550,60383.0,0.17332012973965957,537,55789.0,0.6351789779347183,0.586853915837239,0.6100609441173432,0.9069482112689412,True,True,,396,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2479,280531.0,0.8993979275017734,0.9222662889518414,0.9106885686132257,0.8909850077674623,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,503,53610.0,0.6033202760678977,0.5340289931644817,0.5665639013452914,0.8909850077674624,True,True,,396,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation,0,981,981.0,0.32875335120643434,749,749.0,0.9425901201602136,0.7196738022426096,0.8161849710982659,0.8913869257276165,True,True,,665,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation,1,2003,2003.0,0.6712466487935657,2235,2235.0,0.8769574944071589,0.9785322016974538,0.924964605946201,0.8913869257276166,True,True,,1383,True
