release,role,target,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,macro_auroc,3,3,True,0.7357013621128935,0.007302930806227081
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,accuracy,3,3,True,0.7805126974912876,0.006578383405231243
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,balanced_accuracy,3,3,True,0.5988206245503328,0.002539703439479165
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,observed_balanced_accuracy,3,3,True,0.5988206245503328,0.002539703439479165
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,observed_macro_auroc,3,3,True,0.7357013621128935,0.007302930806227081
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,log_loss,3,3,True,0.4999019406666869,0.01427107350277745
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,auroc,3,3,True,0.7298032489404033,0.008820985948383667
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,macro_auroc,3,3,True,0.7298032489404033,0.008820985948383604
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,accuracy,3,3,True,0.7696784166375489,0.013442420628771483
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,balanced_accuracy,3,3,True,0.5928343931167631,0.005672978650781749
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,observed_balanced_accuracy,3,3,True,0.5928343931167631,0.005672978650781749
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation,observed_macro_auroc,3,3,True,0.7298032489404033,0.008820985948383604
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,log_loss,3,3,True,0.49625029787389163,0.007929498932947124
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,auroc,3,3,True,0.7253289301309285,0.009982081614400793
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,macro_auroc,3,3,True,0.7253289301309286,0.009982081614400808
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,accuracy,3,3,True,0.7707005921509894,0.004161203558266999
