seed,release,target,split,saved_log_loss,saved_candidate,fresh_log_loss,fresh_candidate,catchup_log_loss,catchup_candidate,inclusive_log_loss,inclusive_candidate,catchup_minus_saved,catchup_minus_fresh
0,beta_1_C_warmup_only,SEX,validation_person_weighted,0.6902976170199602,saved_adversary,0.6468895774552594,mlp_1,0.6680626802300381,catchup,0.6468895774552594,mlp_1,-0.022234936789922055,0.021173102774778685
0,beta_1_C_warmup_only,SEX,development_evaluation_person_weighted,0.6984459664046317,saved_adversary,0.6660674794064616,mlp_1,0.6829339360796619,catchup,0.6660674794064616,mlp_1,-0.015512030324969839,0.016866456673200303
0,beta_1_C_warmup_only,RAC1P,validation,1.2576329957979784,saved_adversary,1.2217553963965249,mlp_0,1.2383629751338772,catchup,1.2217553963965249,mlp_0,-0.019270020664101217,0.016607578737352302
0,beta_1_C_warmup_only,RAC1P,development_evaluation,1.2532753513065378,saved_adversary,1.2213614885972142,mlp_0,1.2320125270342515,catchup,1.2213614885972142,mlp_0,-0.021262824272286318,0.010651038437037297
0,beta_1_C_warmup_only,RAC1P,validation_person_weighted,1.2760789531018912,saved_adversary,1.2299554976454379,mlp_0,1.2470396724905233,catchup,1.2299554976454379,mlp_0,-0.029039280611367957,0.017084174845085398
0,beta_1_C_warmup_only,RAC1P,development_evaluation_person_weighted,1.2343261204051725,saved_adversary,1.2019531270202468,mlp_0,1.2137029586365873,catchup,1.2019531270202468,mlp_0,-0.020623161768585252,0.011749831616340467
0,beta_1_D_warmup_only,SEX,validation,0.6738659152493135,saved_adversary,0.6543030814735227,mlp_1,0.6569120020420552,catchup,0.6543030814735227,mlp_1,-0.016953913207258253,0.002608920568532569
0,beta_1_D_warmup_only,SEX,development_evaluation,0.6735385489217287,saved_adversary,0.6678072557298373,mlp_1,0.6631312020997393,catchup,0.6678072557298373,mlp_1,-0.010407346821989405,-0.004676053630098043
0,beta_1_D_warmup_only,SEX,validation_person_weighted,0.6723881253193653,saved_adversary,0.6527825669150339,mlp_1,0.6582442122053721,catchup,0.6527825669150339,mlp_1,-0.014143913113993212,0.005461645290338213
0,beta_1_D_warmup_only,SEX,development_evaluation_person_weighted,0.6709682672254383,saved_adversary,0.6730225633884043,mlp_1,0.6647285590276123,catchup,0.6730225633884043,mlp_1,-0.006239708197826044,-0.008294004360791973
0,beta_1_D_warmup_only,RAC1P,validation,1.226296711251301,saved_adversary,1.2385772520348695,mlp_0,1.2189030572773305,catchup,1.2189030572773305,catchup,-0.007393653973970515,-0.019674194757538954
0,beta_1_D_warmup_only,RAC1P,development_evaluation,1.235390691523174,saved_adversary,1.243708056197585,mlp_0,1.2347495271954885,catchup,1.2347495271954885,catchup,-0.0006411643276855727,-0.008958529002096594
0,beta_1_D_warmup_only,RAC1P,validation_person_weighted,1.2477058196938222,saved_adversary,1.2505977522008591,mlp_0,1.227626476963368,catchup,1.227626476963368,catchup,-0.020079342730454197,-0.022971275237491096
0,beta_1_D_warmup_only,RAC1P,development_evaluation_person_weighted,1.2142967991720457,saved_adversary,1.2149069889208075,mlp_0,1.2116458983816956,catchup,1.2116458983816956,catchup,-0.0026509007903501303,-0.003261090539111944
0,beta_1_C_persistent,SEX,validation,0.6838503209053505,saved_adversary,0.6485073259638563,mlp_1,0.663501430678553,catchup,0.6485073259638563,mlp_1,-0.020348890226797423,0.014994104714696754
0,beta_1_C_persistent,SEX,development_evaluation,0.6903549400760464,saved_adversary,0.6600600840568848,mlp_1,0.6698536028212845,catchup,0.6600600840568848,mlp_1,-0.020501337254761887,0.009793518764399711
0,beta_1_C_persistent,SEX,validation_person_weighted,0.6789365993926108,saved_adversary,0.6449864551514699,mlp_1,0.6621244070277893,catchup,0.6449864551514699,mlp_1,-0.016812192364821454,0.01713795187631939
0,beta_1_C_persistent,SEX,development_evaluation_person_weighted,0.6853382755099899,saved_adversary,0.6597375589928873,mlp_1,0.6675511851973469,catchup,0.6597375589928873,mlp_1,-0.017787090312643028,0.007813626204459578
0,beta_1_C_persistent,RAC1P,validation,1.2289009973539742,saved_adversary,1.2186974623907298,mlp_0,1.2211681724242618,catchup,1.2186974623907298,mlp_0,-0.00773282492971239,0.002470710033531942
0,beta_1_C_persistent,RAC1P,development_evaluation,1.2383737532208086,saved_adversary,1.2105411655838203,mlp_0,1.227749559339251,catchup,1.2105411655838203,mlp_0,-0.010624193881557664,0.017208393755430595
0,beta_1_C_persistent,RAC1P,validation_person_weighted,1.2559612102635853,saved_adversary,1.2254502911476692,mlp_0,1.230840707274953,catchup,1.2254502911476692,mlp_0,-0.02512050298863233,0.005390416127283748
0,beta_1_C_persistent,RAC1P,development_evaluation_person_weighted,1.2252504102493245,saved_adversary,1.1891142400070045,mlp_0,1.2104084272361975,catchup,1.1891142400070045,mlp_0,-0.014841983013127003,0.021294187229192962
0,beta_1_D_persistent,SEX,validation,0.6790375609555934,saved_adversary,0.6488642739946809,mlp_1,0.6613634789954262,catchup,0.6488642739946809,mlp_1,-0.017674081960167176,0.012499205000745306
0,beta_1_D_persistent,SEX,development_evaluation,0.6891953866451891,saved_adversary,0.6606035210915451,mlp_1,0.6677551723399113,catchup,0.6606035210915451,mlp_1,-0.02144021430527776,0.007151651248366253
0,beta_1_D_persistent,SEX,validation_person_weighted,0.6774695418872866,saved_adversary,0.6451465980484122,mlp_1,0.6624982113989877,catchup,0.6451465980484122,mlp_1,-0.014971330488298906,0.017351613350575446
0,beta_1_D_persistent,SEX,development_evaluation_person_weighted,0.6827109116730905,saved_adversary,0.6598364830406231,mlp_1,0.6662712265984362,catchup,0.6598364830406231,mlp_1,-0.01643968507465432,0.0064347435578130385
0,beta_1_D_persistent,RAC1P,validation,1.2360214599910484,saved_adversary,1.2192688681425952,mlp_0,1.2266038441025584,catchup,1.2192688681425952,mlp_0,-0.009417615888489994,0.007334975959963241
0,beta_1_D_persistent,RAC1P,development_evaluation,1.2352826714614338,saved_adversary,1.2111194892839057,mlp_0,1.2239355027220684,catchup,1.2111194892839057,mlp_0,-0.011347168739365365,0.012816013438162743
0,beta_1_D_persistent,RAC1P,validation_person_weighted,1.2554175903582159,saved_adversary,1.2258115385304238,mlp_0,1.2362111300420533,catchup,1.2258115385304238,mlp_0,-0.019206460316162577,0.010399591511629502
0,beta_1_D_persistent,RAC1P,development_evaluation_person_weighted,1.2163818370605914,saved_adversary,1.1897687831488657,mlp_0,1.2014347235959688,catchup,1.1897687831488657,mlp_0,-0.01494711346462263,0.011665940447103118
0,C_init,SEX,validation,0.6997237446048606,saved_adversary,0.6538122088125795,mlp_1,0.6692463243188701,catchup,0.6538122088125795,mlp_1,-0.030477420285990542,0.015434115506290591
0,C_init,SEX,development_evaluation,0.7203642962375214,saved_adversary,0.6582477031185273,mlp_1,0.6803325699376076,catchup,0.6582477031185273,mlp_1,-0.040031726299913806,0.022084866819080284
0,C_init,SEX,validation_person_weighted,0.6857970830971899,saved_adversary,0.651895819898491,mlp_1,0.6604983283778317,catchup,0.651895819898491,mlp_1,-0.025298754719358163,0.008602508479340742
0,C_init,SEX,development_evaluation_person_weighted,0.7222594307780204,saved_adversary,0.6596691311961996,mlp_1,0.6844762252601132,catchup,0.6596691311961996,mlp_1,-0.03778320551790715,0.02480709406391357
0,C_init,RAC1P,validation,1.2448985495550715,saved_adversary,1.2267270900218095,mlp_1,1.2236662056300542,catchup,1.2236662056300542,catchup,-0.021232343925017272,-0.0030608843917552253
