beta,seed,release,split,rank,rank_tolerance,rows,direct_mean_mse,affine_mean_mse,prior_mean_mse
beta_0p1,2,beta_0p1_D_persistent,development_evaluation,17,1e-12,2979,0.16666050880840075,0.114817214892737,1.0155605102798333
beta_1,0,beta_1_W,fit,17,1e-12,10513,0.01268643859731867,0.005873550916449947,0.9999999999999997
beta_1,0,beta_1_W,source_validation,17,1e-12,3004,0.013424603537717891,0.006404202015589928,0.9994813868876536
beta_1,0,beta_1_W,development_evaluation,17,1e-12,2982,0.012927784650751981,0.005853295328375462,1.008078499618399
beta_1,0,beta_1_C_warmup_only,fit,17,1e-12,10513,1.389017074466755,0.2635973444631351,0.9999999999999997
beta_1,0,beta_1_C_warmup_only,source_validation,17,1e-12,3004,1.3848119874184548,0.2650217918469486,0.9994813868876536
beta_1,0,beta_1_C_warmup_only,development_evaluation,17,1e-12,2982,1.4478458942059882,0.26970693612316987,1.008078499618399
beta_1,0,beta_1_D_warmup_only,fit,17,1e-12,10513,1.747623703921784,0.36058648412980504,0.9999999999999997
beta_1,0,beta_1_D_warmup_only,source_validation,17,1e-12,3004,1.737040082677325,0.3669967922704329,0.9994813868876536
beta_1,0,beta_1_D_warmup_only,development_evaluation,17,1e-12,2982,1.8323542746728259,0.3679180755879659,1.008078499618399
beta_1,0,beta_1_C_persistent,fit,17,1e-12,10513,0.010026485860144315,0.008434533475354646,0.9999999999999997
beta_1,0,beta_1_C_persistent,source_validation,17,1e-12,3004,0.010834056027854902,0.00919588273288903,0.9994813868876536
beta_1,0,beta_1_C_persistent,development_evaluation,17,1e-12,2982,0.01023885411226298,0.008652092632114331,1.008078499618399
beta_1,0,beta_1_D_persistent,fit,17,1e-12,10513,0.010155549739995261,0.008531948320538262,0.9999999999999997
beta_1,0,beta_1_D_persistent,source_validation,17,1e-12,3004,0.010973366751486075,0.009305895990514545,0.9994813868876536
beta_1,0,beta_1_D_persistent,development_evaluation,17,1e-12,2982,0.010385408979067302,0.008794995280766483,1.008078499618399
beta_1,1,beta_1_W,fit,17,1e-12,10428,0.013343602643890617,0.007035633591410558,0.9999999999999988
beta_1,1,beta_1_W,source_validation,17,1e-12,3010,0.01248555890080587,0.006384125098320455,0.9873457505540115
beta_1,1,beta_1_W,development_evaluation,17,1e-12,3015,0.012598467486869698,0.006562587919563281,0.9774213066931422
beta_1,1,beta_1_C_warmup_only,fit,17,1e-12,10428,1.655961642712348,0.258240154098463,0.9999999999999988
beta_1,1,beta_1_C_warmup_only,source_validation,17,1e-12,3010,1.612329485924294,0.25668945033669927,0.9873457505540115
beta_1,1,beta_1_C_warmup_only,development_evaluation,17,1e-12,3015,1.635655763238681,0.25770671893006175,0.9774213066931422
beta_1,1,beta_1_D_warmup_only,fit,17,1e-12,10428,2.6088128064028018,0.3708234757348136,0.9999999999999988
beta_1,1,beta_1_D_warmup_only,source_validation,17,1e-12,3010,2.536026529169919,0.37165334333277505,0.9873457505540115
beta_1,1,beta_1_D_warmup_only,development_evaluation,17,1e-12,3015,2.5930713867282726,0.3674664738589368,0.9774213066931422
beta_1,1,beta_1_C_persistent,fit,17,1e-12,10428,0.01084048632517239,0.008820797893998955,0.9999999999999988
beta_1,1,beta_1_C_persistent,source_validation,17,1e-12,3010,0.010503160456900569,0.008538400191043004,0.9873457505540115
beta_1,1,beta_1_C_persistent,development_evaluation,17,1e-12,3015,0.010474808280595306,0.008503830913524925,0.9774213066931422
