beta,seed,release,point,source_mapper_l2,source_first_weight_l2,reconstruction_mapper_l2,reconstruction_first_weight_l2,base_mapper_l2,base_first_weight_l2,protection_mapper_l2,protection_first_weight_l2,base_loss,normalized_adversary_ce,protected_objective,protection_source_decoder_gradient_l2,protection_source_decoder_gradients_all_absent,preservation_mapper_l2,applied_preservation_mapper_l2,preservation_loss,preservation_coefficient,preservation_nonmapper_gradients_all_absent,source_coefficient,reconstruction_coefficient,protection_coefficient,applied_protection_mapper_l2,training_state_unchanged,torch_rng_unchanged,optimizer_steps
beta_0p1,1,beta_0p1_D_warmup_only,final,0.327382892370224,0.25126951932907104,0.03249143064022064,0.008300651796162128,0.3288255035877228,0.25116318464279175,0.08219686895608902,0.030859576538205147,0.3353096842765808,0.8590797781944275,0.24940170347690582,0.0,True,6.30572509765625,0.0,2.1183340549468994,0.0,True,1.0,0.1,-0.1,0.08219686895608902,True,True,0
beta_0p1,1,beta_0p1_C_persistent,shared_fork,0.24504989385604858,0.15146119892597198,0.047252196818590164,0.015924545004963875,0.24892407655715942,0.15220215916633606,0.056255463510751724,0.01711435616016388,0.37265777587890625,0.9249204397201538,0.28016573190689087,0.0,True,0.6806554794311523,0.06806554645299911,0.20232443511486053,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,1,beta_0p1_C_persistent,final,0.343380868434906,0.24289697408676147,0.07420728355646133,0.017432864755392075,0.34772807359695435,0.24042099714279175,0.10271608084440231,0.039739299565553665,0.34697583317756653,0.8116644024848938,0.26580938696861267,0.0,True,0.6443181037902832,0.0644318088889122,0.16649608314037323,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,1,beta_0p1_D_persistent,shared_fork,0.24504989385604858,0.15146119892597198,0.047252196818590164,0.015924545004963875,0.24892407655715942,0.15220215916633606,0.056255463510751724,0.01711435616016388,0.37265777587890625,0.9249204397201538,0.28016573190689087,0.0,True,0.6806554794311523,0.06806554645299911,0.20232443511486053,0.1,True,1.0,0.1,-0.1,0.056255463510751724,True,True,0
beta_0p1,1,beta_0p1_D_persistent,final,0.3417741358280182,0.24205341935157776,0.08479620516300201,0.01697496697306633,0.3503233790397644,0.2405165582895279,0.09606827795505524,0.039179425686597824,0.3471664488315582,0.8346151113510132,0.26370492577552795,0.0,True,0.6093128323554993,0.06093128025531769,0.1717570722103119,0.1,True,1.0,0.1,-0.1,0.09606827795505524,True,True,0
beta_0p1,2,shared,initialization,0.28108009696006775,0.044185321778059006,0.009315593168139458,0.004052729345858097,0.2825962007045746,0.044585149735212326,0.0,0.0,0.8148577213287354,0.0,0.8148577213287354,0.0,False,3.8309256211732645e-08,3.830925354719739e-09,1.6932809067247328e-15,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,2,shared,after_base_warmup,0.21813371777534485,0.14654426276683807,0.04248107224702835,0.013062109239399433,0.2246062159538269,0.14743085205554962,0.0,0.0,0.38973361253738403,0.0,0.38973361253738403,0.0,False,0.830890953540802,0.08308909088373184,0.21291851997375488,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,2,shared,shared_fork,0.21813371777534485,0.14654426276683807,0.04248107224702835,0.013062109239399433,0.2246062159538269,0.14743085205554962,0.03086046874523163,0.013489575125277042,0.38973361253738403,0.8664326071739197,0.30309033393859863,0.0,True,0.830890953540802,0.08308909088373184,0.21291851997375488,0.1,True,1.0,0.1,-0.1,0.03086046874523163,True,True,0
beta_0p1,2,beta_0p1_C_warmup_only,shared_fork,0.21813371777534485,0.14654426276683807,0.04248107224702835,0.013062109239399433,0.2246062159538269,0.14743085205554962,0.03086046874523163,0.013489575125277042,0.38973361253738403,0.8664326071739197,0.30309033393859863,0.0,True,0.830890953540802,0.0,0.21291851997375488,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,2,beta_0p1_C_warmup_only,final,0.3260946571826935,0.23594413697719574,0.031071649864315987,0.009595873765647411,0.33132532238960266,0.23642337322235107,0.10455550998449326,0.03891149163246155,0.36196860671043396,0.8156886100769043,0.28039973974227905,0.0,True,2.2238049507141113,0.0,1.0146008729934692,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,2,beta_0p1_D_warmup_only,shared_fork,0.21813371777534485,0.14654426276683807,0.04248107224702835,0.013062109239399433,0.2246062159538269,0.14743085205554962,0.03086046874523163,0.013489575125277042,0.38973361253738403,0.8664326071739197,0.30309033393859863,0.0,True,0.830890953540802,0.0,0.21291851997375488,0.0,True,1.0,0.1,-0.1,0.03086046874523163,True,True,0
beta_0p1,2,beta_0p1_D_warmup_only,final,0.323422372341156,0.23543868958950043,0.03405720368027687,0.009913142770528793,0.3284236192703247,0.23573976755142212,0.0985853523015976,0.036052070558071136,0.36170512437820435,0.8313202857971191,0.27857309579849243,0.0,True,4.533113956451416,0.0,1.5416399240493774,0.0,True,1.0,0.1,-0.1,0.0985853523015976,True,True,0
beta_0p1,2,beta_0p1_C_persistent,shared_fork,0.21813371777534485,0.14654426276683807,0.04248107224702835,0.013062109239399433,0.2246062159538269,0.14743085205554962,0.03086046874523163,0.013489575125277042,0.38973361253738403,0.8664326071739197,0.30309033393859863,0.0,True,0.830890953540802,0.08308909088373184,0.21291851997375488,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,2,beta_0p1_C_persistent,final,0.33108821511268616,0.22342367470264435,0.06297440826892853,0.0236955676227808,0.3491169810295105,0.22818095982074738,0.09257148951292038,0.03567878156900406,0.3696901500225067,0.8021607398986816,0.2894740700721741,0.0,True,0.4726797640323639,0.04726797342300415,0.14689522981643677,0.1,True,1.0,0.1,0.0,0.0,True,True,0
beta_0p1,2,beta_0p1_D_persistent,shared_fork,0.21813371777534485,0.14654426276683807,0.04248107224702835,0.013062109239399433,0.2246062159538269,0.14743085205554962,0.03086046874523163,0.013489575125277042,0.38973361253738403,0.8664326071739197,0.30309033393859863,0.0,True,0.830890953540802,0.08308909088373184,0.21291851997375488,0.1,True,1.0,0.1,-0.1,0.03086046874523163,True,True,0
beta_0p1,2,beta_0p1_D_persistent,final,0.3255259394645691,0.22201202809810638,0.07259424030780792,0.02377414144575596,0.34693753719329834,0.22606533765792847,0.09651315957307816,0.037843968719244,0.3689956068992615,0.8137222528457642,0.2876233756542206,0.0,True,0.5025168061256409,0.05025168135762215,0.14785654842853546,0.1,True,1.0,0.1,-0.1,0.09651315957307816,True,True,0
