family,id,candidate,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,point_screen_passed,demonstrated_adverse,exact_zero_same_route,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
secondary,secondary|R4_vs_R1|R1|attack:A/SEX|U,R4_vs_R1,R4,P,R1,attack:A/SEX,U,guard,0.001,5.078401987959953e-05,0.0009695878507751616,-0.0033241151012823236,0.0034256831410415228,False,True,False,False,0.00018657663436128254,0.0,-3.422457472248395e-05
secondary,secondary|R4_vs_R1|R1|attack:A/SEX|PWGTP,R4_vs_R1,R4,P,R1,attack:A/SEX,PWGTP,guard,0.001,0.00010880380866733718,0.001032731043197126,-0.003485881383908204,0.0037034890012428785,False,True,False,False,0.0004963097305043188,0.0,-0.00016989830450230733
secondary,secondary|R4_vs_R1|R1|attack:A/RAC1P|U,R4_vs_R1,R4,P,R1,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|R4_vs_R1|R1|attack:A/RAC1P|PWGTP,R4_vs_R1,R4,P,R1,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|R4_vs_R1|R1|attack:AB/SEX|U,R4_vs_R1,R4,P,R1,attack:AB/SEX,U,target,-0.002,-0.0023695031657232214,0.0009641561469999838,-0.005725495849183183,0.0009864895177367399,False,True,False,False,-0.007108509497169664,0.0,0.0
secondary,secondary|R4_vs_R1|R1|attack:AB/SEX|PWGTP,R4_vs_R1,R4,P,R1,attack:AB/SEX,PWGTP,target,-0.002,-0.0016285332457046222,0.0010902388754584385,-0.005423389193723795,0.00216632270231455,False,False,False,False,-0.0048855997371138665,0.0,0.0
secondary,secondary|R4_vs_R1|R1|attack:AB/RAC1P|U,R4_vs_R1,R4,P,R1,attack:AB/RAC1P,U,guard,0.001,-0.001883392895369019,0.000804256858004569,-0.004682815104607785,0.0009160293138697469,True,True,False,False,-0.005650178686107057,0.0,0.0
secondary,secondary|R4_vs_R1|R1|attack:AB/RAC1P|PWGTP,R4_vs_R1,R4,P,R1,attack:AB/RAC1P,PWGTP,guard,0.001,-0.001798105785275842,0.0009454453798683703,-0.005088970846212209,0.0014927592756605252,False,True,False,False,-0.0053943173558275255,0.0,0.0
secondary,secondary|D1|D17|utility:A/same_residence|U,D1,D1,P,D17,utility:A/same_residence,U,task,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D1|D17|utility:A/same_residence|PWGTP,D1,D1,P,D17,utility:A/same_residence,PWGTP,task,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
