seed,role,release,target,family,selected,effective_family,fallback_reason,fit_rows,fit_support,fit_coverage_complete,split,eligible_n,missing_or_inapplicable,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,transfer,B_rich_bank,commute_over20,logistic,False,logistic,,2048,"[997,1051]",True,validation,1984,1000,1984,2,"[0,1]",False,1984.0,"[1009,975]","[1009.0,975.0]","[0.5085685483870968,0.49143145161290325]",True,True,"[true,true]",0.6756453338570579,1e-12,0.5695564516129032,0.5721775812558766,0.5721775812558766,0.6017305786384082,0.6017305786384082,0.6017305786384082
0,transfer,B_rich_bank,commute_over20,logistic,False,logistic,,2048,"[997,1051]",True,test,1971,1011,1971,2,"[0,1]",False,1971.0,"[959,1012]","[959.0,1012.0]","[0.4865550481988838,0.5134449518011162]",True,True,"[true,true]",0.6834628532404304,1e-12,0.5520040588533739,0.5472973947664522,0.5472973947664522,0.5767690735161379,0.5767690735161379,0.5767690735161379
0,transfer,B_rich_bank,commute_over20,logistic,False,logistic,,2048,"[997,1051]",True,test_person_weighted,1971,1011,1971,2,"[0,1]",True,226551.0,"[959,1012]","[110010.0,116541.0]","[0.48558602698730086,0.5144139730126991]",True,True,"[true,true]",0.683457587913769,1e-12,0.5475367577278405,0.5423062426240772,0.5423062426240772,0.5746165239277359,0.5746165239277359,0.5746165239277359
0,transfer,B_rich_bank,commute_over20,mlp,True,mlp,,2048,"[997,1051]",True,validation,1984,1000,1984,2,"[0,1]",False,1984.0,"[1009,975]","[1009.0,975.0]","[0.5085685483870968,0.49143145161290325]",True,True,"[true,true]",0.6734227495045424,1e-12,0.5861895161290323,0.5886686488272217,0.5886686488272217,0.5979370282839064,0.5979370282839064,0.5979370282839064
0,transfer,B_rich_bank,commute_over20,mlp,True,mlp,,2048,"[997,1051]",True,test,1971,1011,1971,2,"[0,1]",False,1971.0,"[959,1012]","[959.0,1012.0]","[0.4865550481988838,0.5134449518011162]",True,True,"[true,true]",0.6820876121511098,1e-12,0.5570776255707762,0.552483853816764,0.552483853816764,0.5709746854224798,0.5709746854224798,0.5709746854224798
0,transfer,B_rich_bank,commute_over20,mlp,True,mlp,,2048,"[997,1051]",True,test_person_weighted,1971,1011,1971,2,"[0,1]",True,226551.0,"[959,1012]","[110010.0,116541.0]","[0.48558602698730086,0.5144139730126991]",True,True,"[true,true]",0.6823149707629775,1e-12,0.5613261473134085,0.5560429155658656,0.5560429155658656,0.5676604943779635,0.567660541099371,0.567660541099371
0,audit,B_rich_bank,SEX,logistic,False,logistic,,2993,"[1512,1481]",True,validation,2985,0,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6717713716234334,1e-12,0.5926298157453936,0.5915889060059212,0.5915889060059212,0.6203217772393004,0.6203217772393004,0.6203217772393004
0,audit,B_rich_bank,SEX,logistic,False,logistic,,2993,"[1512,1481]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.677097834954751,1e-12,0.5747820254862508,0.5739634581169368,0.5739634581169368,0.6067565207056265,0.6067565207056265,0.6067565207056265
0,audit,B_rich_bank,SEX,logistic,False,logistic,,2993,"[1512,1481]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6755605032699302,1e-12,0.5748770728524785,0.5732554870461134,0.5732554870461134,0.6096731672618412,0.6096731672618412,0.6096731672618412
0,audit,B_rich_bank,SEX,mlp,True,mlp,,2993,"[1512,1481]",True,validation,2985,0,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6613494200702414,1e-12,0.6067001675041876,0.6063933913474899,0.6063933913474899,0.6436692995338854,0.6436692995338854,0.6436692995338854
