attribute_i,attribute_j,method,delta,r_squared,adj_pass,allowed_task_acc,delta_i,delta_j,r2_i,r2_j
race,capital-loss,sequential,0.046218,0.916256,False,0.810226,0.043329,0.046218,0.19853,0.916256
race,hours-per-week,additive,0.355865,0.258078,False,0.811089,0.049571,0.355865,0.21558,0.258078
race,hours-per-week,sequential,0.355002,0.257777,False,0.810226,0.043329,0.355002,0.19853,0.257777
race,native-country,additive,0.049571,0.23846,False,0.811089,0.049571,0.028169,0.21558,0.23846
race,native-country,sequential,0.043329,0.250563,False,0.810226,0.043329,0.026708,0.19853,0.250563
sex,capital-gain,additive,0.229853,0.422002,False,0.811089,0.229853,0.036702,0.422002,0.314019
sex,capital-gain,sequential,0.192336,0.360951,False,0.810226,0.192336,0.034378,0.360951,0.31588
sex,capital-loss,additive,0.229853,0.925432,False,0.811089,0.229853,0.046284,0.422002,0.925432
sex,capital-loss,sequential,0.192336,0.916256,False,0.810226,0.192336,0.046218,0.360951,0.916256
sex,hours-per-week,additive,0.355865,0.422002,False,0.811089,0.229853,0.355865,0.422002,0.258078
sex,hours-per-week,sequential,0.355002,0.360951,False,0.810226,0.192336,0.355002,0.360951,0.257777
sex,native-country,additive,0.229853,0.422002,False,0.811089,0.229853,0.028169,0.422002,0.23846
sex,native-country,sequential,0.192336,0.360951,False,0.810226,0.192336,0.026708,0.360951,0.250563
capital-gain,capital-loss,additive,0.046284,0.925432,False,0.811089,0.036702,0.046284,0.314019,0.925432
capital-gain,capital-loss,sequential,0.046218,0.916256,False,0.810226,0.034378,0.046218,0.31588,0.916256
capital-gain,hours-per-week,additive,0.355865,0.314019,False,0.811089,0.036702,0.355865,0.314019,0.258078
capital-gain,hours-per-week,sequential,0.355002,0.31588,False,0.810226,0.034378,0.355002,0.31588,0.257777
capital-gain,native-country,additive,0.036702,0.314019,False,0.811089,0.036702,0.028169,0.314019,0.23846
capital-gain,native-country,sequential,0.034378,0.31588,False,0.810226,0.034378,0.026708,0.31588,0.250563
capital-loss,hours-per-week,additive,0.355865,0.925432,False,0.811089,0.046284,0.355865,0.925432,0.258078
capital-loss,hours-per-week,sequential,0.355002,0.916256,False,0.810226,0.046218,0.355002,0.916256,0.257777
capital-loss,native-country,additive,0.046284,0.925432,False,0.811089,0.046284,0.028169,0.925432,0.23846
capital-loss,native-country,sequential,0.046218,0.916256,False,0.810226,0.046218,0.026708,0.916256,0.250563
hours-per-week,native-country,additive,0.355865,0.258078,False,0.811089,0.355865,0.028169,0.258078,0.23846
hours-per-week,native-country,sequential,0.355002,0.257777,False,0.810226,0.355002,0.026708,0.257777,0.250563
